Path,Bytes,Ignored,SHA256,Classification,Action,Destination,Reason
"AGENTS.md","5553","false","908001CE6A16D7C66A871F5DE75160E78366AA218FE8CB0E7885C10B60F28D9E","FINAL / REQUIRED","STAGE","","Current accepted-state documentation; reconcile narrowly."
"analysis/stage_2b_shared/analyze_stage2b_cerebellum_gate4b_network.m","31825","false","6854D5044B2E4B6F6B293846B95D471069F3BBDAC7A556A9625409D92C1A1AB2","PROVENANCE / RETAIN","ARCHIVE_AS_TEXT","workflows/history/stage_2b_cerebellum_gate4b/analyze_stage2b_cerebellum_gate4b_network.m.txt","Cache-generation provenance, including superseded Kao controller-summary defect; not an active/complete current workflow."
"analysis/stage_2b_shared/audit_stage2b_cerebellum_gate4b.m","23905","false","EFD9443E5872B62BE27DE8DC86492D4FC7A779D80E9F26E6BF1EE259D3E0E03F","FINAL / REQUIRED","STAGE","","Unique accepted scientific root/configuration/derivation/audit path; retain."
"analysis/stage_2b_shared/run_stage2b_cerebellum_gate4b_ensemble.m","9379","false","9092E4D6267D39EDA5AD201FA860395FC99A7DF20C998C2E1DBC603C1B9CF355","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Interrupted wrapper saves unrestricted Kao controllers; accepted audit replaces it."
"analysis/stage_2b_shared/summarize_stage2b_cerebellum_gate4b.m","6842","false","0DCAF9740D6F9346FEEA3544128D167D54DDCD42F92275649EDF41696F5CCA95","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Uncalled interrupted summary helper; accepted audit has final summaries."
"check_fields.m","175","false","BB680CBA6304609B605A31404A34180D305202E0715850094CBD3CA1B8E5D80C","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","One-off field inspection; no production callers."
"check_stab.m","1036","false","0374A87C3CF568F2178AB2BC9654AC875A2A91EB4F09FDDAA82A1D9B05D6937B","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Obsolete top-level model-field/PBH scratch path; superseded by accepted structural audit."
"config/stage_2b_cerebellum_config.m","3090","false","8DD69D8EDD977E00DCA5FBEF6D2BF8098C1A6441D17C02C43213C06AA60D39B4","FINAL / REQUIRED","STAGE","","Unique accepted scientific root/configuration/derivation/audit path; retain."
"figures/stage_2b_shared/create_stage2b_cerebellum_gate4b_figures.m","13659","false","C63AEE5428AA301970B346FEF52926C751844337A875B9F9A3E9ECB8BCCE14B5","PRESENTATION / REQUIRED","STAGE","","Final reviewed Gate-4D builder or one of four canonical FIG/PNG pairs."
"gate4b_reconcile_and_plot.m","9365","false","9B941C222ABCFB379EAC2E6AC0EF099B2A62A5D1F176CCDB6F5BEAB1EE1F267B","SUPERSEDED / SCRATCH","REMOVE_TO_RECOVERY","","Duplicate substantive simulations and alternate t95/bootstrap aggregation; superseded."
