"path","bytes","classification","sha256"
"analysis/paper_ready/paper_audit.m","5671","retained active implementation / independent audit","1C09BBCC6CEA17A94A898057A03912CAC55A5B3E97D4A74693421977867B75A5"
"analysis/paper_ready/paper_control_audit.m","4458","retained active implementation / independent audit","C52D65F533E83C63CE5A9CEF792BF0C9ECF1CE38FD25AB1F8EA0BD96BD9FB5EC"
"analysis/paper_ready/paper_controls.m","6426","retained active implementation / independent audit","3E3CCB39965FA26F1344DCD578FFB9BC9BE752769E4E6AD259D15889131643CF"
"analysis/paper_ready/paper_empirical_audit.m","1924","retained active implementation / independent audit","D5103EAFBC4C77310193AFE275C0773F41EB10C0593019FC4734E00C01C63A69"
"analysis/paper_ready/paper_empirical_extract.m","1759","retained active implementation / independent audit","5C4B0D536AB8AC3E7DFF3C043C431CBFB861F0F02AFC59B921D1F075A4F3FA64"
"analysis/paper_ready/paper_geometry.m","740","retained active implementation / independent audit","3E3E4739AA86CD26780E552F3F90D0C81373A06E7614793F530CA3859510D20C"
"analysis/paper_ready/paper_grid.m","7653","retained active implementation / independent audit","15C3D1A50AC52BCAD77BB72B534C2095EBBFBA58FD3F85B61E5E4478C50F66BF"
"analysis/paper_ready/paper_intact_components.m","1304","retained active implementation / independent audit","33F15324A5A0EE1620F5A020E7AD3EFB79DFB4D1063F75F2704BB2093F034F4B"
"analysis/paper_ready/paper_json.m","172","retained active implementation / independent audit","59F5CB45FCB0CD0B39C40A466E3DD2B761E8570BB19D6FDB481E09BCF8671470"
"analysis/paper_ready/paper_move.m","2654","retained active implementation / independent audit","889CEC80677BB73316F0FEC79C56ABDF4EC267EAFDF524DB9952C660C21D7955"
"analysis/paper_ready/paper_noise.m","528","retained active implementation / independent audit","A660744C46C6BD0435FE8AA4AA01EFB1A44955753D459B5C8A1BB3F65B86C5A0"
"analysis/paper_ready/paper_preflight.m","3217","retained active implementation / independent audit","0819114D1C7E9D0AD265EBB4FDF9AA2E8A8CDF870114EC3C841BDBA8B1DE3F10"
"analysis/paper_ready/paper_prepare.m","3693","retained active implementation / independent audit","2E727CE5EBCDF7E386C2FB0BCDD3EA2ACF0239F3FC7565BE9365BD3263495630"
"analysis/paper_ready/paper_report.m","4811","retained active implementation / independent audit","54E9B96DE418FB9A80D1E029E50BFE6649679AEDE6D280834D6AECF2ADB9856D"
"analysis/paper_ready/paper_run.m","1202","retained active implementation / independent audit","8A0126215F0C13E30747CF08868D736D2A0BE1C3C9CB5A3F3325D2A265BFF7E0"
"analysis/paper_ready/paper_source_data.m","1841","retained active implementation / independent audit","AAD2CDE688061BBAB2864C01BD2C66A2564798B29B6061D3C1974F166DC31448"
"analysis/paper_ready/paper_timing.m","4935","retained active implementation / independent audit","BBE692307AD83EAC4001E8AA1AE3699236E08735C665F0D5B55D4E63197234D0"
"figures/paper_ready/paper_figures.m","17267","retained active implementation / independent audit","2DD42312F047C791248230149B65830FD6FAE794A0F1D3F39D956D7FD2D13F29"
"plots/paper_ready/fig/main_modelling.fig","56692","retained current editable or rendered figure","5DBB58B9F1B7D16C3525F8B35AD2E7C81B94966AE0C7DF4EE23D52E2A4306C9E"
"plots/paper_ready/fig/support_calibration.fig","126487","retained current editable or rendered figure","F5FE0CB843BD4C263E5F5CBCAA49F91C01E6F291BD09CE90896D784B857EE7D1"
"plots/paper_ready/fig/support_movement_qc.fig","18295082","retained current editable or rendered figure","ECB137489A87F70188A84F4CB0C29007E884788AFED6CE2111FB7F906BE78D1B"
"plots/paper_ready/fig/support_noise_controls.fig","67618","retained current editable or rendered figure","C03F9036F9DFD3C55216734667E9747741E7C0987481E967EEC93F88B2839654"
"plots/paper_ready/png/main_modelling.png","346285","retained current editable or rendered figure","733CC0905AF3AB9AFD1CF5D423EC9484200A23AC21EBACB641CBB4DBFB3D3F88"
"plots/paper_ready/png/support_calibration.png","605068","retained current editable or rendered figure","6751268E66FDBD9DACF123BB955F6C2015339B44E0F9B51011DFAAAFEC7C2852"
"plots/paper_ready/png/support_movement_qc.png","1625244","retained current editable or rendered figure","8B756B3A4F62BBD4BBD97D0B146F2A8A28FE40A26CF92AC14C727C8E89E0C39C"
"plots/paper_ready/png/support_noise_controls.png","321359","retained current editable or rendered figure","FC4C9088EB0B30B38DD934640CB864154930A5A412DE3A735FE2FB735CFA504C"
"results/paper_ready/control_audit.json","226","retained source data / scientific result","BD2978B11BB2C947F16E4D84209DDA121F4721C2B6909894AC440F49AAC12EAD"
"results/paper_ready/controls.json","486384","retained source data / scientific result","B78A090182828F393DF40E59D2A21BAE15F2EC7FB573E8313D796F9141D80661"
"results/paper_ready/controls.mat","390922","retained source data / scientific result","196778EDED65E792C5F1A52151A56F90616868017C81527FC9E103070A7267E7"
"results/paper_ready/geometry_map.csv","107759","retained source data / scientific result","7A9A112E36C3AD757ABE10649D278DD4390A3DCB5CFC9CABE66A44170F05F405"
"results/paper_ready/geometry_progress.csv","107759","remove exact duplicate of final geometry_map.csv; no unique evidence","7A9A112E36C3AD757ABE10649D278DD4390A3DCB5CFC9CABE66A44170F05F405"
"results/paper_ready/geometry.json","4273","retained source data / scientific result","328CBA18E3B9F52E77C841B0BF63FC06FF9A5C02688298A062F3E9862A55951A"
"results/paper_ready/geometry.mat","4630046","retained source data / scientific result","68E63DB46253352F7B4BD008A76650FA44265778372C416FD9C24A17CDE8D498"
"results/paper_ready/independent_audit.json","339","retained source data / scientific result","D4544A0FFD2C7C9F612815B6E2C29B4B0D9039AE6759D38264C6BF464149C2F9"
"results/paper_ready/movement_target_qc.csv","18097","retained source data / scientific result","45079082CE37B1DF224F234F604690B6A82CE6D9E150ABB5999F47FDE19493CA"
"results/paper_ready/movement_trial_qc.csv","409960","retained source data / scientific result","F4AEFD572E8C355F161761918D231363CD5E51C1E8CE147EE9ED29936C3BA519"
"results/paper_ready/noise_controls.csv","17318","retained source data / scientific result","3798E8DE5C3208A64EF94188A4C594333C331DEC891C3C4A47C1D9D4DAF84E72"
"results/paper_ready/policy_source.csv","10426","retained source data / scientific result","08756C1538FF6DE34333637E7FA3C8661A6E133DD36BE0EBD09947E4E2031CAC"
"results/paper_ready/preflight.json","6324","retained source data / scientific result","216800019FD94007B5BE1566B618A590DB223DB835CDBEEA5549DDB7C6739246"
"results/paper_ready/preflight.mat","1799","retained source data / scientific result","8AD963405E682B0D67B7848A82E8FC975D9E31CAD1321197D58D3F73E37927F0"
"results/paper_ready/REPORT.json","20419","retained source data / scientific result","D70012ED539BD23D9B26E283FB0048567AEB0382B43AD061E886C7C13B95F788"
"results/paper_ready/SOURCE_DATA.json","171","retained source data / scientific result","A6CCADA54B366F60DB7661489B3C62A1676CE5C246DC1AE7A9ABF2557B06E292"
"results/paper_ready/stage2_panels_ab.csv","4662","retained source data / scientific result","D2716833C486B1FD3D73CA3C386CFD0DF8143C48243DBB21334685E77A8D68BB"
"results/paper_ready/stage2_panels_ab.mat","844733","retained source data / scientific result","8F127405CDDB8E2E8865637A6128D8E658F621C645D2B1FBAFD5B6381131A20F"
"results/paper_ready/cache/controls_n01.mat","258765490","retained local-only raw scientific evidence","B3A116EEB59E69794535C8544C426F19AA5D8B8B82B415B8D165801AF8EE4B2B"
"results/paper_ready/cache/controls_n02.mat","258776929","retained local-only raw scientific evidence","F83758717DFFA7BD534B8ACEF6E325082F030EC74EB521D75D36917CFC9AC3BC"
"results/paper_ready/cache/controls_n03.mat","258717651","retained local-only raw scientific evidence","46A81700A53963D6B01042E9CEF3B06774073C65B30794A846257A0981665C9A"
"results/paper_ready/cache/controls_n04.mat","258918386","retained local-only raw scientific evidence","054653B7562286ACEA3E0E4D0D4A3B4862A438A8066D1E2DBF35FDE47DE262EA"
"results/paper_ready/cache/controls_n05.mat","258921458","retained local-only raw scientific evidence","AC4B731F7B139669FD89D66B6728ECAB9346C4EAC49254543871F6D5040960D1"
"results/paper_ready/cache/controls_n06.mat","258600330","retained local-only raw scientific evidence","C6978D45630A6F596B1394C83E53366B5EA2DC7C38A25F2851E57E8022AEF330"
"results/paper_ready/cache/controls_n07.mat","258904569","retained local-only raw scientific evidence","8C963F34732646301B6C35631DFFF6174E87D3BBAE46BBFD34952B07AD11B78B"
"results/paper_ready/cache/controls_n08.mat","258855694","retained local-only raw scientific evidence","7727844ABA4040DF0E826A33A881DA4AE2FAA4977E4034D5DB8B8C1074E77F80"
"results/paper_ready/cache/controls_n09.mat","258775429","retained local-only raw scientific evidence","8A375AC9649D781DE65314165AE55FFB63C8293354E1464F4047675D59D81582"
"results/paper_ready/cache/controls_n10.mat","259481509","retained local-only raw scientific evidence","EE620F4CA3A75673098B0B10864E12CC93BE7B1A174753EE0CE9DDAC0DF1510C"
"results/paper_ready/cache/grid_n01.mat","1448098751","retained local-only raw scientific evidence","6412F61629810B049ED24B22787ECFB3A47D021E08DCF4C8C67E730D104C5B3B"
"results/paper_ready/cache/grid_n02.mat","1462349524","retained local-only raw scientific evidence","F66E1E903958F1317EC7A8E6C32DA06B72360393245B88F1B00930D793118E54"
"results/paper_ready/cache/grid_n03.mat","1405413837","retained local-only raw scientific evidence","FBC67AE18A4F22AFA9CFD882A9C9CAADE402F405FB282FFCAFD0E449D2A75292"
"results/paper_ready/cache/grid_n04.mat","1406146696","retained local-only raw scientific evidence","885B4E7313017980C2F13163171A7E900F63BC7F537A544072C250709D353814"
"results/paper_ready/cache/grid_n05.mat","1463080664","retained local-only raw scientific evidence","A30FED25B8E430E23E26CE1ECA73516F7791015A241F34F0FDA65D90BF3C4B3E"
"results/paper_ready/cache/grid_n06.mat","1405527954","retained local-only raw scientific evidence","E5A783EACDC9A3633D569F61EF234788659D91C11E6D8AFCB092DA6E1EB7F4AC"
"results/paper_ready/cache/grid_n07.mat","1462872156","retained local-only raw scientific evidence","C98D7C4DD1E5BB2B6DFE0DAA1B1858C60D19449E120EBFC76B18617870AF321B"
"results/paper_ready/cache/grid_n08.mat","1462601854","retained local-only raw scientific evidence","67A21231B5E46C7C103B3A12B8A132FA0AA1A8EBDABCDD4E681419881A642190"
"results/paper_ready/cache/grid_n09.mat","1462084621","retained local-only raw scientific evidence","26510E493B1CBCAC73D846B32AC84E103DFC969683105B17F9E7EC39E269A816"
"results/paper_ready/cache/grid_n10.mat","1463238681","retained local-only raw scientific evidence","7597D09EF8BCABF2298B7A8D31141D6479DA45905A8046D6E51E7BE2602A5282"
"results/paper_ready/empirical/dimensionality_alignment_epochs_raw_data.fig","48341","retained source data / scientific result","B2B1381FCFEFABBA5065E8D7617DB0D5A9E5EF08C6A120E539AE980C635A824F"
"results/paper_ready/empirical/empirical_source_review.png","145609","retained source data / scientific result","C8AF9A82576292B96240E0614CDFA46A010E87E043124A700993C5453F7C2E36"
"results/paper_ready/empirical/graphics_inventory.json","273419","retained source data / scientific result","8A2156EAC498DC495EAB25C78F1509ED0003F5A5EFC1F8F76494E9611D6E1610"
"results/paper_ready/empirical/graphics_inventory.mat","17861","retained source data / scientific result","C89D43C0DB9A04160C0F007CB54F92009B61598B62727E8B97534E39B94CD584"
"results/paper_ready/empirical/targets.json","1638","retained source data / scientific result","7D1A9D542FD035FEC1C77D1AD6C07C74481A5FE8DC514633AFB3BC2C55400B52"
"results/paper_ready/empirical/targets.mat","900","retained source data / scientific result","D33F9587B1178339575368BC5CA5F8D119B6C8515DEBF96BBCFD3F4F8119CC6D"
"results/paper_ready/timing/bounds.csv","10548","retained source data / scientific result","9419124C0C3231E191ABAA663F6A5818F4D9CCC6597079246FFAF3FDE65598F3"
"results/paper_ready/timing/timing.json","23082","retained source data / scientific result","1DC243E44C013D96FBB739476813D1CB51A8DD976302DB69B902AD7AF5B91F96"
"results/paper_ready/timing/timing.mat","4890282","retained source data / scientific result","19C5DDF97ADD412B283953CEB236E9BADB272143CB80A9387B8B2A0A493BDDAF"
"docs/paper_ready/EMPIRICAL_SOURCE.md","2156","retained locked plan / methods / captions / report","CFDD6B9A605A1A6D9372B0D105797EA8BB8F5202E5339CE2FA00F4EC0539A874"
"docs/paper_ready/FIGURE_LEGENDS.md","11160","retained locked plan / methods / captions / report","43536A5425B78DF6CFC671B2587E4CC1B3EB2A4DB76DC084D4838BB946F20808"
"docs/paper_ready/IMPLEMENTATION_NOTES.md","6063","retained locked plan / methods / captions / report","B5ECA88988246F0B9CF42188D334FF196882D577D818A70618DA975BF4FAAEF3"
"docs/paper_ready/PANEL_SOURCES.md","3293","retained locked plan / methods / captions / report","22CC239EEBDC4E50E06EE37AD319D46F0B8D8E5D04331C108923A728A9EBBB1B"
"docs/paper_ready/PLAN.md","9403","retained locked plan / methods / captions / report","6BCDC71D309E6C1362134C5A219EA5346CC1B243E52AC01E13B079D55085396D"
"docs/paper_ready/REPORT.md","16225","retained locked plan / methods / captions / report","ACC0B755FA5479279973C6C5F8775D0F1A3F25851E08E83E005994F93985E163"
"artifacts/manifests/paper_ready/cleanup.ps1","3657","retained provenance / validation evidence","F60AABE75A5BC868DAA21515D4128A041879ACA9DA2C29B4899135A1999B2794"
"artifacts/manifests/paper_ready/empirical_audit.log","573","retained provenance / validation evidence","3E819E187F5B6065280D6C650E2D570D46F3880F941C96149EDE21B936366461"
"artifacts/manifests/paper_ready/empirical_extraction.log","273420","retained provenance / validation evidence","8841E58AEE6E4E7987FD517901EA7E500403B2412322D5AF0868F80FD823C2B4"
"artifacts/manifests/paper_ready/FIGURES.json","1534","retained provenance / validation evidence","6AE4CCF91164A99FBAA7FDF624CA4D811B998D07B76990A6BDD3D0E7FFF6C57D"
"artifacts/manifests/paper_ready/INPUTS_BEFORE.csv","229809","retained provenance / validation evidence","FF8DFB83FA255C8F51CDBF1BFECF6740F8E1CF00DD6C80F56F7A9A1453B31728"
"artifacts/manifests/paper_ready/INVENTORY_BEFORE.csv","157540","retained provenance / validation evidence","F4BDAE41F5BE9F7D7FE0F04D054D9B76104D1602A0A0E33E3C9C9FF5863851F4"
"artifacts/manifests/paper_ready/NATIVE_IMAGE_AUDIT.json","878","retained provenance / validation evidence","63B94D99A609099A8896FD41ED68EE22B5CFC4D95721F03D898D3B0F7FAFDB1E"
"artifacts/manifests/paper_ready/numerical_preflight.log","0","retained provenance / validation evidence","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"artifacts/manifests/paper_ready/PREFLIGHT_PLAN.md","3619","retained provenance / validation evidence","28F015797BAA6237F0407BF09D1C84527511DECACD32A1116C74280246553B89"
"artifacts/manifests/paper_ready/PREFLIGHT_RECEIPT.json","1267","retained provenance / validation evidence","CA9E607AEE946CB60CE9609B516FFEAA51641073F199925D57D5B8AB08AEF811"
"artifacts/manifests/paper_ready/PRESERVATION.json","754","retained provenance / validation evidence","29E5857847C0CA495BF812AD76801DE2BDD1A613DE9F50A815FFDB7F523202C1"
"artifacts/manifests/paper_ready/preserve.ps1","2594","retained provenance / validation evidence","9A45E4E113EABC0AF4BEDE3E89855D27B69EE0FDC08DC7E8DE6D1E176F1F00C7"
"artifacts/manifests/paper_ready/production.log","1702","retained provenance / validation evidence","17DA41DA40D70822F53758564DD81A54B1A7CA928A60D3CA6D3DF4E971921273"
"artifacts/manifests/paper_ready/PUBLICATION.json","11613","retained provenance / validation evidence","416329EB913480B990A0315789E79AA39806F39797C9901557B2770070B416E4"
"artifacts/manifests/paper_ready/render_final.log","0","retained provenance / validation evidence","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"artifacts/manifests/paper_ready/RENDER_REVIEW_BEFORE.csv","2726","retained provenance / validation evidence","607605A7080C329CAC3FC796A0CF7F9FB2BFFB0BF2145A857037F085320CD193"
"artifacts/manifests/paper_ready/render_review.log","0","retained provenance / validation evidence","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"artifacts/manifests/paper_ready/report_audit.log","253","retained provenance / validation evidence","E990DE85A3ADD14CBBD8036C124CCD15788566E2859FB87AFA72C4220E86EC61"
"artifacts/manifests/paper_ready/smoke_static.log","656","retained provenance / validation evidence","42E95B4C3965DF20530A79017441E8F19F27A0D5E6F8F66A1FF63653CCAFDED1"
"artifacts/manifests/paper_ready/SMOKE.json","116","retained provenance / validation evidence","F786C565E2EE78181A5E0AC362EBA2EA9A9F701F9F817E20FAE3C5189667A62A"
"artifacts/manifests/paper_ready/STATIC_FINAL.json","440","retained provenance / validation evidence","99469B55DAE92BB1D759CBA04DC47134E44AAE25AA44D01C1C220B00397E199B"
"artifacts/manifests/paper_ready/static_final.log","50","retained provenance / validation evidence","B7CE699687A114ED92FC5049ED50445C0962957883768029AE026C20B52F034B"
"artifacts/manifests/paper_ready/STATIC_PREFLIGHT.json","1133","retained provenance / validation evidence","A44BD4EC38EA22239B61AF14CECB49C2596554C4F04AF487C7FE8DCA81850FEA"
"artifacts/manifests/paper_ready/static_preflight.log","823","retained provenance / validation evidence","3E17DE0681E34218D3419CB14C4BE1239BF989CEBF305AEFE8DDAA12FE0504E5"
"artifacts/manifests/paper_ready/STATIC_PRODUCTION.json","384","retained provenance / validation evidence","F1F8B71984F43E30175490C8C88C91077BD066140DA6F128B0A90B7995A6450E"
"artifacts/manifests/paper_ready/timing.log","422","retained provenance / validation evidence","EE8A0EB545F1801012B5A917942A335085F15119D9746C80FC69F99967CE1C75"
