"path","classification","disposition","bytes","sha256"
"analysis/paper_ready/alignment95/paper95_audit.m","Active corrective implementation","RETAIN","4147","3C51BFFE20E0134D088EC28CA5B7728F266F2E4EDA211FE5CA19EE2D0FED0D3A"
"analysis/paper_ready/alignment95/paper95_compare.m","Active corrective implementation","RETAIN","458","D9CBFD04FE32C670E9280CA5A41A98C8C4CBF02B56CBF7C49445258DD5F9D25F"
"analysis/paper_ready/alignment95/paper95_control_audit.m","Active corrective implementation","RETAIN","6453","88DBE27034273CA0DABA476AEF3027284C4E86EFC8F8AA38DE8B409B95BE702E"
"analysis/paper_ready/alignment95/paper95_controls.m","Active corrective implementation","RETAIN","8366","B05E6E7B5505B8DF3EE726E721D0C63432718156DC455677FF279C4BCA0EC20F"
"analysis/paper_ready/alignment95/paper95_direct.m","Active corrective implementation","RETAIN","625","C8D1CC3445BAE87AFEF4C90BA7764B5592A5C2FCCCA0407395D34EBDEFBD3A02"
"analysis/paper_ready/alignment95/paper95_geometry.m","Active corrective implementation","RETAIN","454","997C3AAC0C4F77F3A5247E3B23CA3A5A516611FB997DCB8CF1D1C1DFBEA5AA0E"
"analysis/paper_ready/alignment95/paper95_grid_audit.m","Active corrective implementation","RETAIN","3327","048D84CD53B4901ECDF4B2C8E9A9255196EACBD25A3355A4FBE449657993CB8A"
"analysis/paper_ready/alignment95/paper95_grid.m","Active corrective implementation","RETAIN","3959","8866B977B7C7300060BF42B6839518ACB0B777EFF7E187D7DFAEEB921624CBA8"
"analysis/paper_ready/alignment95/paper95_k.m","Active corrective implementation","RETAIN","134","47BB1A68EF9D9C2723829768A306FCD6433C70FF96D30206E9DD5900A276D020"
"analysis/paper_ready/alignment95/paper95_report.m","Active corrective implementation","RETAIN","6222","0C5969A9810B9BF73E2313DE5FC402A9F50E8806E03293A10F9A307069741CD0"
"analysis/paper_ready/alignment95/paper95_source_data.m","Active corrective implementation","RETAIN","1869","0A2F95A30C63E302FC59D0E776EFDF936F90FAB2FDB61CF2BBE2D75E0F11460E"
"artifacts/manifests/paper_ready/alignment95/FIGURES.json","Preservation, preflight, validation or publication receipt","RETAIN","1691","7D35AD61424B5A3A34B9A622247E3B138DE8F327FDB69BB48E6035D44ECAE9B3"
"artifacts/manifests/paper_ready/alignment95/INPUTS_BEFORE.csv","Preservation, preflight, validation or publication receipt","RETAIN","280884","BCEE759CC4EA8646C54D81E7862B74DC5E96428279B17624A51025069BFE1EAC"
"artifacts/manifests/paper_ready/alignment95/inventory.ps1","Preservation, preflight, validation or publication receipt","RETAIN","2265","1C25BD271326E54593B4D377ADF9570404C979AF36F0A97E830044F0F87F0C7C"
"artifacts/manifests/paper_ready/alignment95/NATIVE_IMAGE_AUDIT.json","Preservation, preflight, validation or publication receipt","RETAIN","964","29C1DDD82DBD07C0298C951F4C146AD075CB0B5DA50C5FEA654B05628751D591"
"artifacts/manifests/paper_ready/alignment95/PREFLIGHT.json","Preservation, preflight, validation or publication receipt","RETAIN","254","3C14A9DF2FE641A531B55B8B48ED4D2451DEF1C5D8FF20479A30A6804371D920"
"artifacts/manifests/paper_ready/alignment95/PRESERVATION.json","Preservation, preflight, validation or publication receipt","RETAIN","399","F4BB9341696D4CB07CADC965F08A2565F5A5910AA75D7DF73742D696FA29626D"
"artifacts/manifests/paper_ready/alignment95/preserve.ps1","Preservation, preflight, validation or publication receipt","RETAIN","2159","0D11D36BC841133F5086BC036F19825C47CE9686CECA00AE99E197E885D95EE0"
"artifacts/manifests/paper_ready/alignment95/PUBLICATION.json","Preservation, preflight, validation or publication receipt","RETAIN","1556","8384D3CF6BEE85F562E318119249F43B67D1BEA527C6B9B32297326D2B844EAA"
"artifacts/manifests/paper_ready/alignment95/SMOKE.json","Preservation, preflight, validation or publication receipt","RETAIN","116","F786C565E2EE78181A5E0AC362EBA2EA9A9F701F9F817E20FAE3C5189667A62A"
"artifacts/manifests/paper_ready/alignment95/STATIC_FINAL.json","Preservation, preflight, validation or publication receipt","RETAIN","38","66B5EDADE69DE72B0216C6B904458133F549FC1465CF955D1F6B662A8EAEE0F1"
"artifacts/manifests/paper_ready/alignment95/STATIC_PREFLIGHT.json","Preservation, preflight, validation or publication receipt","RETAIN","173","C666E8CFDC971820B0CBA46970560F71369135D2892DC509B1A993BC523C7B3B"
"artifacts/manifests/paper_ready/alignment95/STATIC_READY.json","Preservation, preflight, validation or publication receipt","RETAIN","305","6C7D82FCE79213A25356C47A306CAAFAE6D45F34AB30988F3D268D05C5C04FD8"
"artifacts/manifests/paper_ready/alignment95/static_ready.log","Preservation, preflight, validation or publication receipt","RETAIN","493","E12887F09EEED40F891D85A22A86DB0DDD980543493494C40B40279F90534A75"
"artifacts/manifests/paper_ready/alignment95/static.log","Preservation, preflight, validation or publication receipt","RETAIN","267","4BD50A423733E785E2DE162BAD4794E26437E1DC78150008B2B6C64711ECDE17"
"artifacts/manifests/paper_ready/alignment95/TITLE_REPAIR.json","Preservation, preflight, validation or publication receipt","RETAIN","405","4B5517CDBB7FA3210CDA06C8B9496287C2B11EB3923D6DB69BBAA3164129C6AF"
"docs/paper_ready/alignment95/FIGURE_LEGENDS.md","Current methods, results, legends and provenance","RETAIN","9440","FD39857EF47F088F8E3D0435EDC942040467BF2E388BDBA557BFE5112EF48A52"
"docs/paper_ready/alignment95/IMPLEMENTATION_NOTES.md","Current methods, results, legends and provenance","RETAIN","4483","4426B2AE89E5023709B974D6E8F8AF1E48AD8CFEEB071D7708A33C2631EF8439"
"docs/paper_ready/alignment95/PANEL_SOURCES.md","Current methods, results, legends and provenance","RETAIN","3329","FE1399266E4177943ADBF0E6EBD5ECB7C04754BEBB1FF2006BEA4E1BEDCE8FFF"
"docs/paper_ready/alignment95/PLAN.md","Current methods, results, legends and provenance","RETAIN","4433","482FC2AA3BF0ECD41476A5B470D107A198DE2DC116FE787F431F43CA549E096E"
"docs/paper_ready/alignment95/REPORT.md","Current methods, results, legends and provenance","RETAIN","16266","FA7F14599F662D7F612208B64EF346CC714C178F6A8D1AD487CD17B872BE9B7A"
"figures/paper_ready/alignment95/paper95_figures.m","Active corrective implementation","RETAIN","17365","07DC692B2A322FA91A32A6B612729DEA2B75D0ADE7343E7E51C802902AF504D2"
"plots/paper_ready/fig/main_modelling_alignment95.fig","Current editable/PNG figure pair","RETAIN","56852","1A552481DBB1C17479FFE56BD25A90398D60A3B2F5D08B7A8B7249D9A22509C6"
"plots/paper_ready/fig/support_calibration_alignment95.fig","Current editable/PNG figure pair","RETAIN","126146","E3D9B6EA1EF78B634D3C875BD9BE57A995C5AA2A87F21A73D50A2A31D4D04BE3"
"plots/paper_ready/fig/support_movement_qc_alignment95.fig","Current editable/PNG figure pair","RETAIN","18300307","1D14FCA92E017A8D0FAE028C9A19DB5ADC837869FEB2134F9173B2F04FEA882F"
"plots/paper_ready/fig/support_noise_controls_alignment95.fig","Current editable/PNG figure pair","RETAIN","67639","A3C908A063AB59E1D0AB2F9AAC00492D8C4D0DAECFF8B0F8EB105D5DDAF19ABD"
"plots/paper_ready/png/main_modelling_alignment95.png","Current editable/PNG figure pair","RETAIN","341140","3F1F5FF7AD47CF7FBD0EA4091B14181288BFB501B31EEC3A362D73B732E67F55"
"plots/paper_ready/png/support_calibration_alignment95.png","Current editable/PNG figure pair","RETAIN","588954","961064EFAE1D59C6B2DADFFE5F19E5704B6B53232C52607F727EBC81C1DDAB74"
"plots/paper_ready/png/support_movement_qc_alignment95.png","Current editable/PNG figure pair","RETAIN","1680766","25B42D85976AB8EE7DF89DD4F57FAC123371A816B37CE11FB0240708C4F2685B"
"plots/paper_ready/png/support_noise_controls_alignment95.png","Current editable/PNG figure pair","RETAIN","335712","08DB8C44980500A6B3C36E8B4EB7F72C3500EC85392ABE1F697B4038EE49F832"
"results/paper_ready/alignment95/control_audit.json","Compact corrected scientific results and independent audit","RETAIN","224","C14ADFFFEDD392502FD56EA6E691DDCD998CE98B00DD017E7EDA0911B69580E9"
"results/paper_ready/alignment95/controls.json","Compact corrected scientific results and independent audit","RETAIN","491609","D60F2070FCE553E6A6BC3E22CC25F9FDC63650214D0E2D98E12632D3B001DA39"
"results/paper_ready/alignment95/controls.mat","Compact corrected scientific results and independent audit","RETAIN","397590","F3B3C5223DCE45080552331575401B5D13D050C4D9006F66537AF7FA62C43FE1"
"results/paper_ready/alignment95/geometry_map.csv","Compact corrected scientific results and independent audit","RETAIN","140243","3068D6F82AF316B5DF2A02615E6B6FF57FA4D9995185B23C9838E031926201D4"
"results/paper_ready/alignment95/geometry.json","Compact corrected scientific results and independent audit","RETAIN","5049","B937135B360C078E04B1FD78119BEC44F1C9C6C180994855381A778EC19CC73E"
"results/paper_ready/alignment95/geometry.mat","Compact corrected scientific results and independent audit","RETAIN","4666998","DB9D809C7608535F285FFC84A94EB314C0FA6EDAD197B7FD0AE6903B280989D9"
"results/paper_ready/alignment95/grid_audit.json","Compact corrected scientific results and independent audit","RETAIN","202","D1AF264BB43FF29A08231B3CFE4EAC6CAEDA4F9AE07B603489672AE50E924188"
"results/paper_ready/alignment95/independent_audit.json","Compact corrected scientific results and independent audit","RETAIN","414","9830F55767E722D162799AD0CD4B7A4FC02EC6054EEB168FD9A41D8B7111EEB6"
"results/paper_ready/alignment95/movement_target_qc.csv","Compact corrected scientific results and independent audit","RETAIN","18106","31902A326673A8523D1DB9693190830604AE80B20F0404A17F2001FADF386378"
"results/paper_ready/alignment95/movement_trial_qc.csv","Compact corrected scientific results and independent audit","RETAIN","409903","7FE24A70DE923C6CD76240D3A0B3F0763D4CE3801A58C3477F6EF8D83D3529D2"
"results/paper_ready/alignment95/noise_controls.csv","Compact corrected scientific results and independent audit","RETAIN","17296","6F6C69E3B356C917238067FCBE161542B506968B925464D1E61EB580A25D63E5"
"results/paper_ready/alignment95/policy_source.csv","Compact corrected scientific results and independent audit","RETAIN","10440","6774D71CAC0745EE68D563A3BCAA15993391B9DA7032B1D7B8CEBC8517016787"
"results/paper_ready/alignment95/REPORT.json","Compact corrected scientific results and independent audit","RETAIN","22031","53B6CC63A10C53F0C4DA2CA4A3D497854F7618C682BC2FA541E744EE531EDF1B"
"results/paper_ready/alignment95/selected_K_audit.csv","Compact corrected scientific results and independent audit","RETAIN","918","327731253FCADA98D1E4BDE3B98968B1CEC5FA3CC5FB4E627090F0F8FEB593B4"
"results/paper_ready/alignment95/SOURCE_DATA.json","Compact corrected scientific results and independent audit","RETAIN","171","A6CCADA54B366F60DB7661489B3C62A1676CE5C246DC1AE7A9ABF2557B06E292"
"results/paper_ready/alignment95/stage2_panels_ab.csv","Compact corrected scientific results and independent audit","RETAIN","4662","D2716833C486B1FD3D73CA3C386CFD0DF8143C48243DBB21334685E77A8D68BB"
"results/paper_ready/alignment95/stage2_panels_ab.mat","Compact corrected scientific results and independent audit","RETAIN","844733","50615C4C0D9CF8348DD2FE235FD8C33F2349E72D551505D373723C37CAB58AA6"
"results/paper_ready/cache/alignment95/alignment_n01.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264791","4B36C8757C5B84C5421626FCB9CFAC176A6F3552445357BCBB8A4677D4389A7C"
"results/paper_ready/cache/alignment95/alignment_n02.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264658","D5296DBE381B7687F8081FE32DD9BE47E7973B238C1794F9CC77E9405DF9AFB7"
"results/paper_ready/cache/alignment95/alignment_n03.mat","Required local raw/replay/null evidence; ignored","RETAIN","2846146","24AFCD3049A0ADBA18E8A76FCC78A71FC67059DFF4C336A07B7AC6788A5C3E01"
"results/paper_ready/cache/alignment95/alignment_n04.mat","Required local raw/replay/null evidence; ignored","RETAIN","2846577","9D89A5427CC87F82E542E66F2DAAE7CDF3044A47729B2864E34B0570D78948C4"
"results/paper_ready/cache/alignment95/alignment_n05.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264960","2731C242D289D038BD62B885C1C30027FA9D737957E64D380FABE6134BB82B4F"
"results/paper_ready/cache/alignment95/alignment_n06.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264862","55B8673547EA91258348787BCF56564825F21C43501F115DC30E01F1E272320C"
"results/paper_ready/cache/alignment95/alignment_n07.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264995","C21ACB443D9D1E1553524CF59038293A0ECEEF77578D80A480DC3A5DFFC2D756"
"results/paper_ready/cache/alignment95/alignment_n08.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264837","27D9128E23D047AD7A3FFE49667567396A0973144186C9C176D453FC750EA0BB"
"results/paper_ready/cache/alignment95/alignment_n09.mat","Required local raw/replay/null evidence; ignored","RETAIN","2264693","9154AA3FA1B4B86EEE5334C09E26FC471A70EEA98955AB91631D07B4C3BE4C8F"
"results/paper_ready/cache/alignment95/alignment_n10.mat","Required local raw/replay/null evidence; ignored","RETAIN","2846094","C72150F57164CFD85B894B27F02EE41E0B27CB605A7CF10FE95C83ED720AB1DF"
"results/paper_ready/cache/alignment95/controls_n01.mat","Required local raw/replay/null evidence; ignored","RETAIN","260013316","B50D7AF172B5BE733F30999D5BC779320EB2BFCE19EC7A235FBA7DA5F8CB64B9"
"results/paper_ready/cache/alignment95/controls_n02.mat","Required local raw/replay/null evidence; ignored","RETAIN","260041669","F3132E89CBFCE5E29C27FB2CCFDC1381C8585B7472D4F1B6ADA407669ADA7B03"
"results/paper_ready/cache/alignment95/controls_n03.mat","Required local raw/replay/null evidence; ignored","RETAIN","259986204","486B703C6F41A192184CDFAB2C1FD3838A731CF07B07456F6A224D5C80FA973D"
"results/paper_ready/cache/alignment95/controls_n04.mat","Required local raw/replay/null evidence; ignored","RETAIN","260185667","2E02240FEDB12FE9FBC0639AF4DAF8FF24F6DE5832E2F2E5DE902B13D17353DC"
"results/paper_ready/cache/alignment95/controls_n05.mat","Required local raw/replay/null evidence; ignored","RETAIN","260173067","D355E36CA82DF6C49673BEC0B84792242CC027B2025DDE5B4AB88D5306D7F212"
"results/paper_ready/cache/alignment95/controls_n06.mat","Required local raw/replay/null evidence; ignored","RETAIN","259871715","9E19D9B1E1D63545017CBA3DAAA348D7E30AC7167BCE012312A86EE5B3AA7FE3"
"results/paper_ready/cache/alignment95/controls_n07.mat","Required local raw/replay/null evidence; ignored","RETAIN","260155697","E1CCF93F6934182099C54A0C034F3B752772A68D7E19CC4AED0079B5FF509678"
"results/paper_ready/cache/alignment95/controls_n08.mat","Required local raw/replay/null evidence; ignored","RETAIN","260119487","FCBA12F8329E850E0A5E70F1691EB143BACE82796D0600DEA7C7EE14343BB2D3"
"results/paper_ready/cache/alignment95/controls_n09.mat","Required local raw/replay/null evidence; ignored","RETAIN","260033631","A4D43397AF56CBFB1D685550898F959A348641BA796AE71879A27D1B9688588E"
"results/paper_ready/cache/alignment95/controls_n10.mat","Required local raw/replay/null evidence; ignored","RETAIN","260149226","3752C6029928222DCE9DD980F378B5D034740706E64177F7624680C7B1C888DF"
