"path","bytes","sha256","attributes","gitState","classification","action"
".gitattributes","359","B84A629210385B68E50E24FD118D6DBEDF28377BF95DF7196B85596C3BFFC927","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
".gitignore","1588","01A4348A733520720E306623D8CF980AB306FF97C3442E4450A0B681F6449AFE","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"AGENTS.md","13430","833E2A54D9AA28687110772ED7FFD183958F367C2BE2641450216438A465D7E7","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_audit.m","4147","3C51BFFE20E0134D088EC28CA5B7728F266F2E4EDA211FE5CA19EE2D0FED0D3A","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_compare.m","458","D9CBFD04FE32C670E9280CA5A41A98C8C4CBF02B56CBF7C49445258DD5F9D25F","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_control_audit.m","6453","88DBE27034273CA0DABA476AEF3027284C4E86EFC8F8AA38DE8B409B95BE702E","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_controls.m","8366","B05E6E7B5505B8DF3EE726E721D0C63432718156DC455677FF279C4BCA0EC20F","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_direct.m","625","C8D1CC3445BAE87AFEF4C90BA7764B5592A5C2FCCCA0407395D34EBDEFBD3A02","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_geometry.m","454","997C3AAC0C4F77F3A5247E3B23CA3A5A516611FB997DCB8CF1D1C1DFBEA5AA0E","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_grid_audit.m","3327","048D84CD53B4901ECDF4B2C8E9A9255196EACBD25A3355A4FBE449657993CB8A","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_grid.m","3959","8866B977B7C7300060BF42B6839518ACB0B777EFF7E187D7DFAEEB921624CBA8","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_k.m","134","47BB1A68EF9D9C2723829768A306FCD6433C70FF96D30206E9DD5900A276D020","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_report.m","6222","0C5969A9810B9BF73E2313DE5FC402A9F50E8806E03293A10F9A307069741CD0","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/alignment95/paper95_source_data.m","1869","0A2F95A30C63E302FC59D0E776EFDF936F90FAB2FDB61CF2BBE2D75E0F11460E","Archive","tracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_analyze.m","7264","E4269B5C546E642261B2E63E9595ED942AB152EAF4D7CC040DA51C7A8B760F79","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_audit.m","11982","E793DBB16499DE370B971CE6AE18997D44462490719A3E6B96340D21BFE68925","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_case.m","1467","67AE69FEB52D44D257C46597198383E4CCDC4CB28BD88833E05A865E65AD3789","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_controls.m","682","381116747A2C78B870C281E2E4C67BC6CCB8A83791E7EBC5F745FC5B4518E40D","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_convergence_audit.m","1777","16D6218AAC4EC4631B76B0203B7969D6B7502A03CD131B084F0D59F98C9C02EA","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_finish.ps1","1409","8C053AE3970FE7644A44C62B7B0CBEED4D50BA5F1BE502DDFE7448FBD68F69E5","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_fit_audit.m","1332","4B4CF325C2FB4AF6D903E2505F73D4E52343569CD3FBBCA541019810C0811F0E","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
"analysis/paper_ready/noise_sensitivity/ns_launch.ps1","1245","BCA4DF60BBA8012646E9882BD9AC4282854D32BDF000CADAA203B5D8A03B3E2F","Archive","untracked","durable science/code/documentation/infrastructure","retain; no deletion authorized by classification alone"
