Attempt,RecurrentSeed,CalibrationSeed,AcceptedMember,Pass,FailureReason,MaxAngleErrorDeg,MaxRadiusErrorM,MaxEndpointErrorM,WeightedTorqueCost,SourceMovementCost,CalibrationIterations,CalibrationStopReason,FinalGradientNorm,ReadoutNullResidual,RecurrentIterations,SpectralAbscissaW,ArchitecturePass,RecurrentStabilityPass,FiniteDynamicsPass,SourceMovementCostPass,WeightedTorquePass
1,2026083110,2026084110,1,1,,1.11090296897743,0.00267021343640932,0.00273375613491132,0.000488025326969838,0.000488025326969838,40,source movement-cost threshold,0.0033365779802433,8.60488527465992e-14,221,0.808658810161086,1,1,1,1,1
2,2026083111,2026084111,2,1,,1.16805245840564,0.00259128335411188,0.00262064811502248,0.000499406465879074,0.000499406465879074,42,source movement-cost threshold,0.00146461411953097,8.15869507001473e-14,267,0.808625334526001,1,1,1,1,1
3,2026083112,2026084112,3,1,,1.60837211500777,0.0012162245255026,0.00281391853662273,0.000489999915687446,0.000489999915687446,63,source movement-cost threshold,0.00150086614092495,7.19050696645344e-14,244,0.809338114127061,1,1,1,1,1
4,2026083113,2026084113,4,1,,1.05294509267338,0.00159699585682155,0.00241727404472475,0.000474765382798835,0.000474765382798836,70,source movement-cost threshold,0.00207734993700772,1.06965130681093e-13,219,0.807979458724476,1,1,1,1,1
5,2026083114,2026084114,5,1,,1.30156758984907,0.00258183452341029,0.00336749204678778,0.000481332605231436,0.000481332605231436,42,source movement-cost threshold,0.0019679352500122,6.21440215735054e-14,220,0.807817410232591,1,1,1,1,1
6,2026083115,2026084115,6,1,,1.59239345992796,0.0022035310539575,0.00294763023177756,0.000495143271302257,0.000495143271302258,37,source movement-cost threshold,0.00332465116813144,4.73111533568514e-14,276,0.807532473889799,1,1,1,1,1
7,2026083116,2026084116,7,1,,1.80643778214232,0.00125435058515939,0.00317500471743207,0.000499408007562968,0.000499408007562968,41,source movement-cost threshold,0.00278956523821167,6.19274473519177e-14,222,0.808851889019809,1,1,1,1,1
8,2026083117,2026084117,8,1,,1.41252768452068,0.0019676942165347,0.00288239014732757,0.000498075583052245,0.000498075583052244,41,source movement-cost threshold,0.00179024036763889,4.04322944568169e-14,252,0.808130563333105,1,1,1,1,1
9,2026083118,2026084118,9,1,,1.49588832399397,0.0018468104299859,0.00277185418915038,0.00049453012961293,0.00049453012961293,41,source movement-cost threshold,0.00192592332591956,3.90419262115394e-14,229,0.80808056159061,1,1,1,1,1
10,2026083119,2026084119,10,1,,1.45793495471241,0.00265269019590086,0.00363730971888357,0.000495307311607658,0.000495307311607658,41,source movement-cost threshold,0.00800759894587589,7.08522135149073e-14,255,0.808012510836402,1,1,1,1,1
