Attempt,AcceptedMember,RecurrentSeed,CalibrationSeed,Target,DesiredAngleDeg,ActualAngleDeg,AngularErrorDeg,DesiredRadiusM,ActualRadiusM,RadiusErrorM,EndpointErrorM,HandTrajectoryRmseM,TorqueRmse,Pass
1,1,2026083110,2026084110,1,270,269.750841055291,-0.249158944709393,0.1,0.100235027020409,0.000235027020409326,0.000499304649248852,0.000462877609962565,0.0102310021173893,1
1,1,2026083110,2026084110,2,315,315.090207138736,0.0902071387362753,0.1,0.100603429722934,0.000603429722934298,0.000632900959102287,0.000284774378231797,0.0171806698073079,1
1,1,2026083110,2026084110,3,0,0.317939661735033,0.317939661735039,0.1,0.0993821796749708,-0.000617820325029203,0.00082225279489947,0.000347526548337717,0.0172908765562354,1
1,1,2026083110,2026084110,4,45,46.1109029689774,1.11090296897743,0.1,0.101221791212849,0.0012217912128485,0.00230666883108915,0.000906083227051977,0.0147770314684457,1
1,1,2026083110,2026084110,5,90,88.9529397207336,-1.04706027926645,0.1,0.100867729874812,0.000867729874811776,0.00203412131287382,0.000967419988073743,0.0059502609598764,1
1,1,2026083110,2026084110,6,135,134.40031089495,-0.59968910504972,0.1,0.0976399349312553,-0.0023600650687447,0.0025680508720263,0.00114324864878175,0.01538008496251,1
1,1,2026083110,2026084110,7,180,180.364463631034,0.364463631033516,0.1,0.0973297865635907,-0.00267021343640932,0.00273375613491132,0.000870559403460091,0.0124473115485371,1
1,1,2026083110,2026084110,8,225,225.712888776031,0.712888776031008,0.1,0.10011975848144,0.000119758481439539,0.00125159146251086,0.000672064038225937,0.0208765757521472,1
2,2,2026083111,2026084111,1,270,269.140812524579,-0.859187475420867,0.1,0.100223427222084,0.00022342722208428,0.00151911114293513,0.00064388631159101,0.00738228418261201,1
2,2,2026083111,2026084111,2,315,315.042605364001,0.0426053640011332,0.1,0.101668381432502,0.00166838143250245,0.00167951154933144,0.000568944213003681,0.0158759270884044,1
2,2,2026083111,2026084111,3,0,359.57132901017,-0.428670989830493,0.1,0.10166223171797,0.00166223171797,0.00183399800174346,0.000693877559845759,0.0201658312763166,1
2,2,2026083111,2026084111,4,45,45.7537736451744,0.753773645174419,0.1,0.100113542687584,0.000113542687583595,0.00132199246897906,0.000535898111292085,0.0167523077274374,1
2,2,2026083111,2026084111,5,90,90.0422711406762,0.0422711406762346,0.1,0.10112552148329,0.00112552148328991,0.0011373993504274,0.000596663758663737,0.00688540620931489,1
2,2,2026083111,2026084111,6,135,134.95426737924,-0.0457326207600488,0.1,0.100240537200292,0.000240537200292268,0.000262454228385717,0.000229173934188293,0.0146940741431175,1
2,2,2026083111,2026084111,7,180,180.182391719444,0.182391719443871,0.1,0.102591283354112,0.00259128335411188,0.00262064811502248,0.000932575967706386,0.0161938608166009,1
2,2,2026083111,2026084111,8,225,226.168052458406,1.16805245840564,0.1,0.101494984301714,0.00149498430171392,0.00254577385096234,0.00117365629381631,0.0190257987960418,1
3,3,2026083112,2026084112,1,270,269.568647822107,-0.431352177893416,0.1,0.100988379712285,0.000988379712285006,0.00125220062839004,0.000533432292545758,0.00725779098561178,1
3,3,2026083112,2026084112,2,315,314.688054332697,-0.31194566730278,0.1,0.0989601402323893,-0.00103985976761069,0.00116406398084099,0.000610022585549612,0.0119939430217405,1
3,3,2026083112,2026084112,3,0,359.964044351588,-0.035955648412255,0.1,0.101130546362263,0.00113054636226341,0.00114174745391728,0.000511647311035326,0.0200233936160261,1
3,3,2026083112,2026084112,4,45,45.3266896910952,0.326689691095169,0.1,0.0998877291231101,-0.000112270876889933,0.000579034373846685,0.000342465021649656,0.0163119871894278,1
3,3,2026083112,2026084112,5,90,89.6782172347068,-0.32178276529325,0.1,0.101216224525503,0.0012162245255026,0.00134963363131787,0.000632120885578711,0.00755433958260868,1
3,3,2026083112,2026084112,6,135,134.806757592881,-0.193242407118703,0.1,0.100292868224041,0.000292868224040524,0.000453292650671149,0.000232456740860542,0.0113854679922751,1
3,3,2026083112,2026084112,7,180,180.731604171776,0.731604171776297,0.1,0.0992535142135697,-0.000746485786430315,0.00147014134669831,0.000725115977891266,0.0142090936587817,1
3,3,2026083112,2026084112,8,225,226.608372115008,1.60837211500777,0.1,0.100155278042903,0.00015527804290269,0.00281391853662273,0.00116569380657773,0.0191255606355233,1
4,4,2026083113,2026084113,1,270,269.350523959294,-0.649476040705849,0.1,0.0995579110847804,-0.000442088915219574,0.00121090491815569,0.000467466751188051,0.0116132710748837,1
4,4,2026083113,2026084113,2,315,315.045418496031,0.0454184960307202,0.1,0.0995875117131108,-0.000412488286889182,0.000410721833266677,0.000300223906956461,0.0188989741176317,1
4,4,2026083113,2026084113,3,0,1.05294509267337,1.05294509267338,0.1,0.0984030041431785,-0.00159699585682155,0.00241727404472475,0.00073471422715289,0.0215533855287179,1
4,4,2026083113,2026084113,4,45,44.9577337251878,-0.0422662748121638,0.1,0.100841926483328,0.000841926483327801,0.000854598695178334,0.000366964383539505,0.0156583436057536,1
4,4,2026083113,2026084113,5,90,90.5752084423101,0.575208442310071,0.1,0.100013449171534,1.34491715338136e-05,0.00100420519779603,0.000382004578046948,0.0124517989563803,1
4,4,2026083113,2026084113,6,135,134.451520694147,-0.54847930585322,0.1,0.0998269262590451,-0.000173073740954904,0.000970294045573294,0.000525023823719849,0.0165365284698394,1
4,4,2026083113,2026084113,7,180,179.93347436984,-0.0665256301601005,0.1,0.100554360575935,0.000554360575934623,0.000575711484431889,0.000241445773477777,0.0190965245264848,1
4,4,2026083113,2026084113,8,225,224.926738415331,-0.0732615846690976,0.1,0.100453279215323,0.000453279215323329,0.000480151932409619,0.000171153159136549,0.0212225024498479,1
5,5,2026083114,2026084114,1,270,269.639191657525,-0.360808342475366,0.1,0.101106771234859,0.00110677123485917,0.00128330497879321,0.000421360530210998,0.0101264952606403,1
5,5,2026083114,2026084114,2,315,315.227233171291,0.227233171291061,0.1,0.10140344310588,0.00140344310587952,0.00146825219111821,0.000515317188325431,0.0161978015396432,1
5,5,2026083114,2026084114,3,0,359.499040570095,-0.500959429904697,0.1,0.100484885954375,0.000484885954374556,0.00100621668094186,0.000392483670473283,0.0189352142488269,1
5,5,2026083114,2026084114,4,45,46.3015675898491,1.30156758984907,0.1,0.0996740547700783,-0.000325945229921729,0.00228978055940939,0.000658884520626222,0.0122690691144336,1
5,5,2026083114,2026084114,5,90,90.5416147483627,0.541614748362719,0.1,0.100828075560102,0.000828075560102157,0.00126584008381434,0.000440056034076464,0.00651320699015595,1
5,5,2026083114,2026084114,6,135,133.738361346916,-1.26163865308365,0.1,0.0974181654765897,-0.00258183452341029,0.00336749204678778,0.00129350470996587,0.0153907485561285,1
5,5,2026083114,2026084114,7,180,179.262002713315,-0.737997286685044,0.1,0.102504440823352,0.00250444082335166,0.00283197999922292,0.000896283970205111,0.0227364672662013,1
5,5,2026083114,2026084114,8,225,225.056327971372,0.056327971371843,0.1,0.100191235993273,0.000191235993272657,0.000223516881153222,0.000268018897871346,0.0182462296599506,1
6,6,2026083115,2026084115,1,270,269.457617182988,-0.542382817012083,0.1,0.100826105269994,0.000826105269994479,0.00126554095354984,0.000502895628981788,0.0131086413521809,1
6,6,2026083115,2026084115,2,315,313.786841077857,-1.21315892214329,0.1,0.0993841360163439,-0.000615863983656081,0.00219607680970045,0.000796718459722322,0.0160448550512692,1
6,6,2026083115,2026084115,3,0,358.896414398239,-1.10358560176087,0.1,0.102203531053958,0.0022035310539575,0.00294763023177756,0.00107165543672228,0.0176137327411723,1
6,6,2026083115,2026084115,4,45,44.5458518251036,-0.454148174896432,0.1,0.100001705734493,1.70573449324862e-06,0.000792683888441176,0.000230475600058675,0.0136945195606383,1
6,6,2026083115,2026084115,5,90,89.028261887197,-0.971738112803024,0.1,0.099560313532136,-0.000439686467863978,0.00174600622510316,0.000621542988818082,0.0100470784494513,1
6,6,2026083115,2026084115,6,135,134.071345275501,-0.928654724498671,0.1,0.100932630728946,0.000932630728945935,0.00188115339611957,0.000739476559973232,0.0152899736339067,1
6,6,2026083115,2026084115,7,180,179.260947152446,-0.739052847553637,0.1,0.101975618673296,0.001975618673296,0.0023742420117059,0.000875715267527837,0.0188412217014823,1
6,6,2026083115,2026084115,8,225,226.592393459928,1.59239345992796,0.1,0.0993372807031355,-0.000662719296864511,0.00284580028505518,0.00108973796506655,0.0229471806743194,1
7,7,2026083116,2026084116,1,270,269.803118803212,-0.196881196788354,0.1,0.100497089450973,0.000497089450972765,0.000612568488830206,0.000390428557075489,0.00891444332206663,1
7,7,2026083116,2026084116,2,315,314.183836585291,-0.816163414709195,0.1,0.100017247415484,1.72474154839369e-05,0.00142476758039732,0.000548504422895322,0.0144545895641653,1
7,7,2026083116,2026084116,3,0,358.952708794343,-1.04729120565662,0.1,0.101254350585159,0.00125435058515939,0.00223154722749583,0.00103858668110928,0.0216164832124614,1
7,7,2026083116,2026084116,4,45,44.9312123844413,-0.0687876155587048,0.1,0.101120587442221,0.00112058744222093,0.00113647332209071,0.000439037293053195,0.0141242318596547,1
7,7,2026083116,2026084116,5,90,89.0085418544554,-0.991458145544641,0.1,0.100836324289948,0.000836324289948329,0.00193245496446338,0.000765701464166472,0.0106647817940742,1
