"Path","GitAtStart","Bytes","BeforeSHA256","AfterSHA256","Status"
"analysis/published_generator/analyze_published_generator.m","TRACKED","13189","F3550EA52EFD16D409226D14A7D34E918B3AFA898EEEB6C832F4083762603E17","F3550EA52EFD16D409226D14A7D34E918B3AFA898EEEB6C832F4083762603E17","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/compare_native_matlab.m","TRACKED","1927","DD9848EB0F2A730086C8CB3F4B3901BF63C79E2E57205E27BFD96784E59FA2D8","DD9848EB0F2A730086C8CB3F4B3901BF63C79E2E57205E27BFD96784E59FA2D8","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/evaluate_stage1_gate1_candidate.m","TRACKED","6124","7CE99878C761FF2E893966C7FE3155D5E1F1CB0013B71FAB98D5540329BD8952","7CE99878C761FF2E893966C7FE3155D5E1F1CB0013B71FAB98D5540329BD8952","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/hash_tree.m","TRACKED","1061","8C5C4BF0060DEE2B1A8FEE7D1005AA754DDF02018CF262E39946AC77CAEFBBD1","8C5C4BF0060DEE2B1A8FEE7D1005AA754DDF02018CF262E39946AC77CAEFBBD1","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/run_stage1_smoke_tests.m","TRACKED","1513","49B9A32829E8460C8F7D903CE19312960EA9E298C9AEE9059632BDD34EAD0E46","49B9A32829E8460C8F7D903CE19312960EA9E298C9AEE9059632BDD34EAD0E46","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/sha256_file.m","TRACKED","393","7098A1265DF82D07F14A6EADC873846F0198DDD94AA117D18CC747F1B43792F6","7098A1265DF82D07F14A6EADC873846F0198DDD94AA117D18CC747F1B43792F6","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/summarize_saved_potency_trials.m","TRACKED","1832","26D16049E984CE850CFD1DD3DB5AA5BB070F086D94C3F7E0465183309EE0844A","26D16049E984CE850CFD1DD3DB5AA5BB070F086D94C3F7E0465183309EE0844A","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/summarize_target_torque_benchmark.m","TRACKED","4488","D8C46AA787A7FE4EDE0024F1D93BCBF0A4CABB6122B21037C6859D7E3D13C321","D8C46AA787A7FE4EDE0024F1D93BCBF0A4CABB6122B21037C6859D7E3D13C321","UNCHANGED_R1_VALIDATED"
"analysis/published_generator/verify_pinned_reference.m","TRACKED","1486","59AA2C0C7556EAAE88758B42149C759E1844A4C2B10F06DA8F0EB6127B1A7F2D","59AA2C0C7556EAAE88758B42149C759E1844A4C2B10F06DA8F0EB6127B1A7F2D","UNCHANGED_R1_VALIDATED"
"config/published_generator_config.m","TRACKED","2042","43D5033477E4E4396C96AD62265217D0EC825000F3F2ED923C0527636B16A56D","43D5033477E4E4396C96AD62265217D0EC825000F3F2ED923C0527636B16A56D","UNCHANGED_R1_VALIDATED"
"config/require_kao_reference.m","TRACKED","698","A210729F45EE1B32AADAE4316A72AAB59FEC1646C0676E4992081023AD6F9832","A210729F45EE1B32AADAE4316A72AAB59FEC1646C0676E4992081023AD6F9832","UNCHANGED_R1_VALIDATED"
"figures/apply_plot_style.m","TRACKED","456","FF0890F133AF06F4FF987E7CD88D2FCA3C1B46042A4770E81C22F11CDFD72DC1","FF0890F133AF06F4FF987E7CD88D2FCA3C1B46042A4770E81C22F11CDFD72DC1","UNCHANGED_R1_VALIDATED"
"figures/published_generator/create_stage1_figures.m","TRACKED","10810","9ED7ABCA6C6BD29821641EE2107CBC8EADAF467247D1C50D703C361CB9059695","9ED7ABCA6C6BD29821641EE2107CBC8EADAF467247D1C50D703C361CB9059695","UNCHANGED_R1_VALIDATED"
"figures/save_figure_bundle.m","TRACKED","549","EEB25792FF3D719A9C5BCD697BDB7E624778BAFFE57BA2374A62A820A96A46E3","EEB25792FF3D719A9C5BCD697BDB7E624778BAFFE57BA2374A62A820A96A46E3","UNCHANGED_R1_VALIDATED"
"plots/stage_1/diagnostics/active_set_gate2/fig/stage1_representative_active_set_raster_and_rate_heatmap.fig","TRACKED","71245","32DEF06D98A2FCED588723703B6E0E2054EEF3BE754C34E6FFC520691B4DB76E","32DEF06D98A2FCED588723703B6E0E2054EEF3BE754C34E6FFC520691B4DB76E","UNCHANGED_R1_VALIDATED"
