path,bytes,sha256,disposition
"AGENTS.md","7683","94765C999789F77ADCB8312AF9BCAC2D5E660B12A5F8561E3FF8BBEA22BF04DC","current documentation"
"analysis/stage_3/run_stage3_biological.m","5040","46CA9C7FC998F9497E2BC1332AFC9B196C4E2CD88145A5612BA50366DF4E2568","retain candidate implementation and provenance"
"analysis/stage_3/stage3_bio_checkpoint_check.m","1904","73CC34698531076D6278714E8730B3336D2F495111D33497679EB1D6F337EF83","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_load.m","459","FBE3753C3C87B9781764692760E3372C8F6A9CE1231F5B50E66640C7EBA42EAD","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_map.m","7719","196A0544F61A5F64A341089A79A22C8CE0F9B92A6F1943BB292C47F7F5ED9B8D","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_movement.m","2904","394B3FC768316C3CD4F36FBC387915B5C8825E01E4D1D2F6712FD5CB5ED688A3","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_paths.m","710","C3CBAF78484448CB311704091254EFCD52CE93D0ACD7BE8E938E19214683712F","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_population.m","5932","EC07852E09872680D7A1569EF85C5C7C83571FD46A6C0212F47335CB7A26D171","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_prepare_all.m","4171","28BE3E9388027D9E84FE7E3305156A32C33314D957F3EDC585F8AE47E61457A9","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_projector.m","530","B0185768C00FD8207D9D2806C11164CBCCC9381FD7B4650E3129FECBA06394D0","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_publication_check.m","4927","AF046F077DDF4F57E8075779A4EC86EBA4C5A431AE003AC6EA301806F9755466","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_resume_audit.m","12557","DDE41EE00364B6BAF9DAF5E8A546F9C80A28D3B2936D25F415F57BF59CE04310","current implementation/validation/routing"
"analysis/stage_3/stage3_bio_summary.m","2786","9A624001221019D59C60253463811DD1365EFB51308AAA50D3B7C7769F2FBE10","current implementation/validation/routing"
"analysis/stage_3/stage3_biological_audit.m","7422","CBB89F289A569EEFC39767A3294BFABD58E31BEE7F5BBB8C113B7B4B14E89254","retain candidate implementation and provenance"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_INPUTS_BEFORE.csv","99292","F213A4C4CAE3D81396D0B1155562A0258DD30EE031B8FF4D08B5F042416701B3","retain plan/audit/provenance"
