network,policy,PR,observed,expected,deficit,normalizedResidualVariance,meanEndpointRmsMM,medianMOms,medianPeakMs,medianPeakMps,separationToScatter,half1PR,half2PR,half1CaptureControlK,half2CaptureControlK,half1OntoHalf2,halfNull
1,1,3.43857966718901,0.999999999999999,0.51204268743308,-0.487957312566919,0.114393995890315,21.0939117386408,56,200,0.419719750722633,6.82421523632302,3.47069917067613,3.47785964666313,0.967622326046782,0.968845847199803,0.980458190504877,0.510970039975717
1,2,3.46146637740327,0.997592775311362,0.51204268743308,-0.485550087878282,0.126301161863863,30.3416438688498,55,200,0.423786337229285,4.85891015994015,3.50106581084202,3.50046700438182,0.966961231921866,0.967999610766313,0.978001701663213,0.510081377766217
1,3,5.90505984908556,0.325395368802915,0.51204268743308,0.186647318630165,0.11440111483537,21.0188063666496,43,190,0.282958791286786,4.53773666650052,5.92500715301458,5.93824738474124,0.996020125135271,0.996274933289429,0.984581872265468,0.182982716810382
1,4,6.75789524213918,0.317370500727709,0.51204268743308,0.194672186705371,0.12634614367259,30.1434245325945,54.5,211,0.221499359201592,3.06517234477692,6.77567584701691,6.79396595964775,0.995177950565167,0.995602837495177,0.980244356873711,0.134342793110218
2,1,3.90382172766591,1,0.526482765883759,-0.473517234116241,0.123582118665323,18.5014548728588,55,200.5,0.417342962926864,7.87091926502034,3.96543589974019,3.91636636571014,0.975224860515294,0.976681472410758,0.981400515185592,0.523594862790173
2,2,3.91157745359446,0.997439938281472,0.526482765883759,-0.470957172397713,0.134659723136025,27.660785579521,55,200,0.417649947013699,5.22364721631175,3.96892593816399,3.93113582100651,0.974471182358848,0.976078783194194,0.980457970175682,0.524531520924315
2,3,5.90171036698322,0.286269230625563,0.526482765883759,0.240213535258196,0.123761922289232,18.4718799979038,41,192,0.297999943145724,5.08003627969108,5.94083514968978,5.91260022219321,0.996693355170899,0.996757647371929,0.984695809219537,0.187388346332466
2,4,6.80018712106041,0.300675851768438,0.526482765883759,0.225806914115321,0.134895966176123,27.4014171777417,51,213,0.238561081872838,2.92110790329567,6.82917445198061,6.82017468566088,0.995805765583391,0.995907329887523,0.981580423361885,0.134227150757003
3,1,3.25011152703259,1,0.485603285380704,-0.514396714619297,0.113263859618599,17.4326987075806,56,201,0.416793616791471,8.43424084548965,3.28081311486401,3.2935678114359,0.97972944172253,0.977946163853152,0.979935690562995,0.537781213530162
3,2,3.28799552700476,0.997940428533959,0.485603285380704,-0.512337143153255,0.123019454945252,24.7577008237767,56,201,0.416395812245965,5.91759089412511,3.32422467609032,3.33285321962445,0.97926258502637,0.977066779090356,0.977565450201425,0.535464677551363
3,3,5.77121251135565,0.355621810535225,0.485603285380704,0.129981474845478,0.113187185350566,17.1668134200224,44,187,0.295212468368349,5.55582380469862,5.80416800065288,5.79068220192314,0.996989919730078,0.996691185872816,0.983538090411495,0.205796075957668
3,4,6.71763165853323,0.335505667223444,0.485603285380704,0.150097618157259,0.122931172731215,24.1383839056735,57,211,0.202389749505863,3.16347435206583,6.76068882220416,6.7289153112793,0.996118001971366,0.995897855197365,0.978673477732472,0.13912691591822
