network,alpha,betaNormalized,kControl,beforeControl,captureControl,captureBlockControlK,denominator
1,0.5,1,6,0.930901554890907,0.971051877753667,0.876601830668756,73.4094703586681
2,0.5,1,6,0.944568436696516,0.978731639131508,0.882788255664021,82.3596491601413
3,0.5,1,5,0.910388884184795,0.952218745578718,0.760366509099319,73.4003468330817
4,0.5,1,5,0.907058827472172,0.951124242561186,0.765858575374516,74.7113791818769
5,0.5,1,6,0.948166343671039,0.977532300851065,0.881054294960801,82.5766047768532
6,0.5,1,6,0.92568145990193,0.96707359090872,0.880060998943979,84.180556190687
7,0.5,1,6,0.947856681199033,0.977790097601752,0.880927494095557,78.3995363550286
8,0.5,1,6,0.941593013994893,0.970873943255039,0.879504009775301,75.6528358452803
9,0.5,1,6,0.933821372731912,0.966736117523028,0.87874228787531,77.3598650494832
10,0.5,1,5,0.921981688420074,0.957286585875971,0.765715137277914,81.8547247451875
