network,lambda,PR,deltaPR,observedPct,expectedPct,deficitPP
1,0.10000000000000001,3.713065411780252,0,99.999999999999957,44.169023620832668,-55.830976379167282
1,0.20000000000000001,3.7252281024844236,0.012162690704171641,99.678556285897187,44.169023620832668,-55.509532665064519
1,0.5,3.7090022057602248,-0.004063206020027188,97.740610685063984,44.169023620832668,-53.571587064231316
1,1,3.6595731748121825,-0.053492236968069484,94.526134806372085,44.169023620832668,-50.357111185539416
1,2,3.5747669686833574,-0.13829844309689454,89.740751118259553,44.169023620832668,-45.571727497426885
1,5,3.4292106289789532,-0.28385478280129872,82.22422447914613,44.169023620832668,-38.055200858313455
1,10,3.3335793608716702,-0.37948605090858178,76.964063583928649,44.169023620832668,-32.795039963095974
1,100,3.2921524945871763,-0.42091291719307566,67.553405012035995,48.438832975914373,-19.114572036121626
2,0.10000000000000001,3.4304774651516259,0,100.00000000000003,49.847654104841716,-50.152345895158312
2,0.20000000000000001,3.4293907329743814,-0.0010867321772445315,99.861454941513912,49.847654104841716,-50.013800836672196
2,0.5,3.4355021137353208,0.0050246485836948906,99.189054964744955,49.847654104841716,-49.341400859903231
2,1,3.4404598017495522,0.0099823365979263556,98.088735405025545,49.847654104841716,-48.241081300183836
2,2,3.4379905291515209,0.0075130639998950421,96.179371578115337,49.847654104841716,-46.331717473273621
2,5,3.4101734488875999,-0.020304016264026004,92.230176472320096,49.847654104841716,-42.382522367478373
2,10,3.3681023061581494,-0.062375158993476454,88.492954392665339,49.847654104841716,-38.64530028782363
2,100,3.2450309983364902,-0.18544646681513566,76.999987462795588,49.847654104841716,-27.152333357953879
3,0.10000000000000001,3.6771923138239533,0,99.999999999999901,45.467856420012367,-54.532143579987533
3,0.20000000000000001,3.6877193088826279,0.010526995058674604,99.710732507385785,45.467856420012367,-54.242876087373425
3,0.5,3.6807632565879946,0.0035709427640413516,98.384507069925675,45.467856420012367,-52.916650649913308
3,1,3.6634202797920778,-0.013772034031875435,96.581764399966275,45.467856420012367,-51.113907979953908
3,2,3.6431027714154798,-0.034089542408473505,93.934107676155563,45.467856420012367,-48.466251256143202
3,5,3.6152350631400467,-0.061957250683906562,89.050575353417699,45.467856420012367,-43.582718933405332
3,10,3.5974934803737533,-0.079698833450200013,84.64960724060434,45.467856420012367,-39.181750820591979
3,100,3.6202948359499927,-0.0568974778739606,72.085377878627526,49.971156591543497,-22.114221287084035
4,0.10000000000000001,3.0669336424969709,0,99.999999999999872,49.779315055258259,-50.220684944741613
4,0.20000000000000001,3.0328119039104915,-0.034121738586479378,99.5616838212039,49.779315055258259,-49.782368765945634
4,0.5,2.9635771509720237,-0.10335649152494719,97.142823594392752,49.779315055258259,-47.3635085391345
4,1,2.8864854173478567,-0.18044822514911418,93.566473970805973,49.779315055258259,-43.787158915547714
4,2,2.8097741930081872,-0.25715944948878366,88.718399635522488,49.779315055258259,-38.939084580264222
4,5,2.7528871958482046,-0.31404644664876624,80.985814983403799,49.779315055258259,-31.206499928145533
4,10,2.7561873024850274,-0.31074634001194346,75.290274958092468,49.779315055258259,-25.510959902834212
4,100,2.9072459075958337,-0.15968773490113719,66.556042702904776,54.653557894541457,-11.902484808363312
5,0.10000000000000001,4.0542783282506676,0,99.999999999999915,46.255334074930147,-53.744665925069768
5,0.20000000000000001,4.0520624993491756,-0.0022158289014919674,99.799704874587121,46.255334074930147,-53.544370799656974
5,0.5,4.0522110185418834,-0.0020673097087842152,98.878013608556159,46.255334074930147,-52.622679533626005
5,1,4.0590404983031858,0.004762170052518222,97.521591903682662,46.255334074930147,-51.266257828752515
5,2,4.0702539796996691,0.015975651449001482,95.386062728245903,46.255334074930147,-49.130728653315749
5,5,4.0764210961636094,0.022142767912941785,91.261955571091974,46.255334074930147,-45.006621496161827
5,10,4.0687557397114835,0.014477411460815937,87.425575770577112,46.255334074930147,-41.170241695646965
