network,target,IntactTrialIndex,BlockTrialIndex
1,1,6,26
1,1,28,2
1,1,12,19
1,1,10,9
1,1,22,28
1,1,5,30
1,1,14,21
1,1,27,20
1,2,43,59
1,3,79,69
1,3,64,85
1,4,100,113
1,4,120,111
1,4,93,109
1,4,107,119
1,4,99,105
1,4,116,97
1,4,94,98
1,4,108,106
1,4,113,110
1,4,95,120
1,4,102,118
1,5,146,130
1,5,142,129
1,5,125,140
1,5,122,147
1,5,128,131
1,5,141,142
1,5,137,122
1,5,139,144
1,5,138,134
1,5,134,126
1,5,150,150
1,5,132,136
1,5,124,139
1,5,145,148
1,5,123,138
1,5,130,145
1,5,143,127
1,6,167,170
1,6,172,157
1,6,163,158
1,6,151,152
1,6,177,155
1,7,203,182
1,7,210,210
1,7,187,190
1,7,189,208
1,7,194,195
1,7,206,193
1,8,239,238
1,8,229,224
1,8,219,220
1,8,240,231
1,8,220,219
2,1,8,19
2,1,28,14
2,1,13,13
2,1,2,2
2,1,18,24
2,1,10,8
2,1,3,15
2,1,30,4
2,1,20,18
2,1,4,10
2,1,21,20
2,2,48,59
2,2,41,40
2,2,32,36
2,3,61,68
2,3,74,77
2,3,87,72
2,3,67,69
2,4,93,108
2,4,103,100
2,4,115,114
2,4,108,104
2,4,116,115
2,4,95,111
2,4,107,120
2,5,130,141
2,5,141,124
2,5,129,150
2,5,122,122
2,5,135,140
2,5,133,127
2,5,149,136
2,5,126,135
2,5,121,138
2,5,147,134
2,5,128,123
2,5,134,147
2,5,123,132
2,5,148,145
2,6,153,156
2,6,177,159
2,6,154,157
2,6,171,170
2,6,162,167
2,6,158,175
2,6,178,162
2,6,165,169
2,7,207,207
2,7,181,196
2,7,205,189
2,7,182,184
2,7,198,188
2,7,184,185
3,1,28,28
3,1,17,4
3,1,23,26
3,1,24,22
3,1,27,12
3,1,30,21
3,1,1,30
3,1,3,3
3,1,18,29
3,1,22,17
3,1,8,15
3,1,26,6
3,1,16,20
3,1,13,14
3,1,5,16
3,1,2,9
3,1,25,25
3,1,20,10
3,1,9,11
3,2,50,56
3,2,54,34
3,3,63,70
3,3,75,72
3,3,61,84
3,3,72,87
3,3,64,67
3,3,67,61
3,3,69,86
3,3,68,64
3,3,86,75
3,3,83,65
3,3,76,74
3,3,65,85
3,3,70,73
3,3,81,76
3,4,102,96
3,4,103,99
3,4,93,101
3,4,107,120
3,4,117,98
3,4,110,104
3,4,108,113
3,4,115,115
3,4,116,94
3,4,101,103
3,5,140,132
3,5,122,148
3,5,130,143
3,5,149,128
3,5,134,146
3,5,133,136
3,5,141,135
3,5,143,142
3,6,162,179
3,6,157,161
3,6,152,156
3,6,177,178
3,7,196,208
3,7,181,200
3,7,201,196
3,7,205,187
3,7,207,189
3,8,222,225
3,8,218,231
3,8,229,238
3,8,225,236
3,8,214,226
3,8,238,222
3,8,228,228
3,8,221,233
3,8,213,232
3,8,233,227
3,8,239,212
4,1,30,10
4,1,21,4
4,1,4,9
4,1,1,8
4,1,11,12
4,2,33,43
4,2,37,53
4,3,87,79
4,3,82,80
4,3,84,83
4,3,62,61
4,3,83,66
4,3,67,69
4,3,64,63
4,3,73,87
4,3,69,67
4,3,75,90
4,4,94,108
4,4,92,111
4,4,102,115
4,4,104,95
4,4,112,100
4,4,115,109
4,5,145,121
4,5,143,139
4,5,137,128
4,5,121,123
4,6,152,170
4,6,168,171
4,6,162,162
4,6,155,168
4,6,153,160
4,6,179,177
4,6,163,155
4,6,165,178
4,6,170,151
4,6,176,161
4,6,160,173
4,6,177,165
4,6,173,154
4,6,174,157
4,6,158,163
4,6,151,174
4,6,157,180
4,6,166,167
4,6,156,158
4,7,203,191
4,7,202,205
4,7,198,190
4,8,234,232
4,8,231,238
4,8,232,212
4,8,213,222
5,1,29,3
5,1,1,2
5,1,2,17
5,2,43,46
5,2,39,54
5,3,79,87
5,3,69,90
5,3,67,77
5,3,83,72
5,3,80,74
5,3,72,76
5,4,110,108
5,4,91,112
5,4,96,115
5,4,117,103
5,4,107,109
5,4,92,119
5,4,100,104
5,4,112,101
5,4,105,105
5,5,143,148
5,5,145,144
5,6,167,168
5,6,170,156
5,6,163,172
5,6,179,152
5,6,169,159
5,6,156,176
5,6,175,165
5,6,166,154
5,6,162,163
5,6,168,158
5,6,174,157
5,6,165,169
5,7,199,183
5,7,186,185
5,7,204,188
5,7,191,187
5,7,182,186
5,8,216,235
5,8,235,229
6,1,19,4
6,1,3,21
6,1,22,19
6,1,27,28
6,1,6,7
6,1,5,23
6,1,16,16
6,1,11,6
6,1,23,18
6,1,2,3
6,1,13,14
6,2,44,44
6,2,57,31
6,2,43,40
6,2,33,56
6,2,60,47
6,2,50,41
6,2,47,34
6,2,32,51
6,3,70,90
6,4,120,97
6,4,114,107
6,4,118,100
6,4,99,92
6,4,109,94
6,4,104,117
6,4,100,110
6,5,147,142
6,5,130,129
6,5,137,133
6,5,145,145
6,5,136,128
6,5,139,141
6,6,177,159
6,6,166,172
6,6,175,168
6,6,167,153
6,6,171,160
6,6,163,155
6,6,170,179
6,6,162,158
6,7,194,187
6,7,208,189
6,7,191,191
6,7,210,183
6,7,189,201
6,7,187,210
6,7,186,185
6,7,200,196
6,7,206,181
6,7,197,202
6,8,222,231
6,8,212,226
6,8,226,232
6,8,215,238
6,8,218,229
6,8,228,215
6,8,220,216
6,8,227,237
6,8,225,233
6,8,236,212
6,8,231,225
6,8,232,214
6,8,211,213
6,8,216,228
7,1,15,20
7,1,14,27
7,1,13,14
7,1,18,10
7,1,23,17
7,1,3,3
7,1,19,25
7,1,22,23
7,1,8,7
7,1,11,28
7,1,12,12
7,1,1,16
7,1,21,4
7,1,20,1
7,1,29,22
7,1,6,26
7,2,53,38
7,2,42,32
7,3,61,87
7,3,90,83
7,3,78,65
7,3,71,85
7,3,88,76
7,4,105,118
7,4,92,98
7,4,114,115
7,4,100,106
7,4,97,104
7,4,107,113
7,4,116,95
7,4,96,103
7,4,119,107
7,4,101,119
7,4,98,91
7,4,120,96
7,4,94,92
7,4,93,109
7,5,122,147
7,5,142,148
7,5,145,135
7,5,127,130
7,5,135,146
7,5,121,149
7,5,123,123
7,6,152,169
7,6,154,151
7,7,186,190
7,7,181,189
7,7,192,202
7,7,197,201
7,7,199,204
7,7,195,199
7,7,198,193
7,8,239,233
7,8,232,232
7,8,238,221
7,8,212,218
7,8,222,217
7,8,235,222
7,8,230,227
7,8,226,231
7,8,223,238
7,8,216,235
7,8,227,219
7,8,214,223
7,8,220,213
8,1,19,2
8,1,17,30
8,1,1,6
8,1,12,28
8,1,3,11
8,1,8,14
8,1,26,4
8,2,59,40
8,2,51,39
8,2,43,36
8,3,73,80
8,3,89,65
8,4,114,108
8,5,144,131
8,5,126,132
8,5,133,146
8,5,135,150
8,5,129,140
8,5,136,134
8,5,143,141
8,6,168,158
8,6,180,166
8,6,170,162
8,6,178,180
8,6,167,174
8,6,160,173
8,6,175,151
8,6,152,165
8,6,159,179
8,6,165,152
8,6,176,163
8,7,205,199
8,7,183,204
8,7,209,185
8,8,238,237
8,8,236,217
8,8,218,239
8,8,221,231
8,8,216,232
8,8,225,223
9,1,28,26
9,1,1,10
9,1,4,25
9,1,30,20
9,1,17,8
9,1,12,16
9,1,19,27
9,2,43,59
9,2,50,49
9,2,49,53
9,2,60,60
9,2,48,55
9,2,51,41
9,2,56,43
9,2,36,46
9,2,33,32
9,3,82,82
9,3,75,73
9,3,72,67
9,3,66,83
9,3,71,66
9,3,62,89
9,3,70,64
9,3,79,62
9,4,102,106
9,4,113,95
9,4,101,104
9,4,117,117
9,6,168,152
9,6,163,157
9,6,173,177
9,6,152,166
9,6,153,169
9,8,212,236
9,8,220,218
9,8,221,227
10,1,26,14
10,1,6,20
10,1,19,24
10,2,32,39
10,2,55,40
10,2,56,31
10,2,40,58
10,2,33,38
10,2,35,45
10,2,47,50
10,2,31,56
10,2,34,37
10,2,39,41
10,2,38,35
10,3,87,77
10,3,88,65
10,3,74,66
10,3,83,61
10,3,75,69
10,3,79,82
10,4,93,103
10,4,119,95
10,4,103,116
10,4,116,104
10,4,100,106
10,4,108,108
10,5,149,148
10,5,143,123
10,5,126,135
10,5,125,150
10,5,128,134
10,5,145,140
10,5,121,142
10,5,144,133
10,5,150,128
10,5,138,124
10,6,151,155
10,6,175,168
10,6,176,179
10,6,178,156
10,6,160,151
10,7,200,194
10,7,196,192
10,7,201,196
10,7,183,191
10,7,189,203
10,7,204,186
10,7,210,183
10,8,240,227
10,8,212,212
10,8,213,230
10,8,226,240
10,8,211,226
10,8,222,217
10,8,219,222
