gridIndex,alpha,betaNormalized,deltaPR,deficitPP,loss
1,0.10000000000000001,0.10000000000000001,3.3756840790055316,2.5132557889861546,0.79944149483803961
2,0.10000000000000001,0.25,3.5141480065999211,17.834832877375458,0.11164542707279088
3,0.10000000000000001,0.5,3.4574613078833347,31.212063363399807,0.82976252774838211
4,0.10000000000000001,0.75,3.4076273176525871,35.482713305982379,1.3191202404820002
5,0.10000000000000001,1,3.3917594347551598,37.387899529403498,1.5806865970606674
6,0.10000000000000001,1.25,3.3888312032965637,38.361867480918036,1.7254627878924047
7,0.20000000000000001,0.10000000000000001,1.6769438745729404,-19.052831446601154,4.6877519628375888
8,0.20000000000000001,0.25,2.589671860887059,-3.7435204101871342,1.4956816805154021
9,0.20000000000000001,0.5,3.3033952383155891,15.919101705552713,0.06464547574645621
10,0.20000000000000001,0.75,3.3968839883894537,26.018709166433574,0.38160192783033237
11,0.20000000000000001,1,3.3916391726007058,31.246524267321522,0.81862581546662694
12,0.20000000000000001,1.25,3.3870613943597156,34.477005974460567,1.1851884979228628
13,0.34999999999999998,0.10000000000000001,0.51640776758189122,-30.803589673909304,8.6753175429123175
14,0.34999999999999998,0.25,1.199195993477012,-19.577817321409377,4.9869219546807004
15,0.34999999999999998,0.5,2.4245434266244779,-1.4979280574026588,1.1932156842856634
16,0.34999999999999998,0.75,3.0945580522582423,11.413030706440264,0.1317130217447971
17,0.34999999999999998,1,3.3400122710135371,19.93627023272991,0.10375448705804155
18,0.34999999999999998,1.25,3.3871354081241662,25.432285621230733,0.34245039588474546
19,0.5,0.10000000000000001,0.13391331918893012,-34.367575146178574,10.175919496193625
20,0.5,0.25,0.57969369825959505,-26.428887456286709,7.2297837587115419
21,0.5,0.5,1.5945644891856905,-11.976961016353771,3.0915387027916306
22,0.5,0.75,2.4181940869258653,-0.051649404688705602,1.0135300412322876
23,0.5,1,2.9457303767758987,9.392704474087715,0.20736137819237835
24,0.5,1.25,3.2357604186198508,16.409285208138037,0.050363119828606938
25,0.75,0.10000000000000001,-0.09148227737128356,-37.164161063551575,11.386437124440656
26,0.75,0.25,0.14639438109220193,-32.10739666731552,9.3657559399519563
27,0.75,0.5,0.80338145201828226,-22.136206931289003,5.8554582990732271
28,0.75,0.75,1.5455956206376313,-12.330763563292997,3.1791643937311957
29,0.75,1,2.1618191744430995,-3.6078607438233794,1.5089670831192821
30,0.75,1.25,2.6451078270622705,4.0050609470661822,0.58008712277638985
31,1,0.10000000000000001,-0.087983479049910995,-38.286264535447422,11.817159305627639
32,1,0.25,0.041476782712290605,-35.324195509387167,10.593508688909539
33,1,0.5,0.42317561135079074,-26.616554729987065,7.3832883261137816
34,1,0.75,0.96193095677202289,-18.238466863893319,4.7541975653250947
35,1,1,1.5165920029864315,-10.947069751744483,2.909605772282049
36,1,1.25,2.0183414601334047,-4.4310674551063522,1.6531651468479722
