network,target,policy,trials,dispersionCM
1,1,1,30,0.54860054798492264
1,2,1,30,0.49476230109607811
1,3,1,30,0.6267835604857952
1,4,1,30,0.61982277700989585
1,5,1,30,0.76994080887843996
1,6,1,30,0.69501398453284036
1,7,1,30,0.59674793733834863
1,8,1,30,0.41259270989945734
1,1,4,30,3.0377462770222423
1,2,4,30,3.5414488334362217
1,3,4,30,4.096342564649416
1,4,4,30,3.350066358924106
1,5,4,30,6.4130956205708332
1,6,4,30,2.7000482220830171
1,7,4,30,2.1752224127618849
1,8,4,30,3.3557141205583618
2,1,1,30,0.57651648413985412
2,2,1,30,0.41000963035459326
2,3,1,30,0.56284636327463455
2,4,1,30,0.51331522074135483
2,5,1,30,0.61364074631456178
2,6,1,30,0.57388499214068978
2,7,1,30,0.60196497599719168
2,8,1,30,0.43609677223580912
2,1,4,30,3.6014561776232115
2,2,4,30,2.1143033425019766
2,3,4,30,3.6407666154271974
2,4,4,30,3.6005048650847171
2,5,4,30,1.6311012893459824
2,6,4,30,3.3525801224979612
2,7,4,30,1.6642390920473635
2,8,4,30,1.9822949710134781
3,1,1,30,0.59603180923421029
3,2,1,30,0.48506027257630718
3,3,1,30,0.53302955738390556
3,4,1,30,0.49321492887261092
3,5,1,30,0.48890517468380845
3,6,1,30,0.54625961768932885
3,7,1,30,0.48843274584846919
3,8,1,30,0.45024240775339114
3,1,4,30,1.4294431341586513
3,2,4,30,2.6459112595527579
3,3,4,30,4.0125272683322653
3,4,4,30,4.9219442587456674
3,5,4,30,2.1245925341630851
3,6,4,30,2.0980870440046617
3,7,4,30,2.89455074142835
3,8,4,30,2.4977443026068897
4,1,1,30,0.55351911280497501
4,2,1,30,0.43108511088696666
4,3,1,30,0.69613829229306479
4,4,1,30,0.54915594142773039
4,5,1,30,0.62408232798931473
4,6,1,30,0.67972893795890688
4,7,1,30,0.51128772847361814
4,8,1,30,0.51478666236216131
4,1,4,30,4.1904316042489853
4,2,4,30,2.0347733551839817
4,3,4,30,3.6170381855290001
4,4,4,30,3.5443097314649208
4,5,4,30,4.0516812050644688
4,6,4,30,3.7837454333478173
4,7,4,30,3.6085305047343974
4,8,4,30,2.4790304888795629
5,1,1,30,0.50799500238063966
5,2,1,30,0.55563711491459189
5,3,1,30,0.6296839893437548
5,4,1,30,0.54106843837963736
5,5,1,30,0.51969641822279733
5,6,1,30,0.65311019443214091
5,7,1,30,0.771075900974447
5,8,1,30,0.4782637443312146
5,1,4,30,2.6161345516561201
5,2,4,30,1.811187711160978
5,3,4,30,3.0805218021220582
5,4,4,30,2.1842524626369606
5,5,4,30,2.2114136792174035
5,6,4,30,4.0604862950782046
5,7,4,30,3.5428781009238595
5,8,4,30,2.2256450725959342
6,1,1,30,0.51464644749189647
6,2,1,30,0.40040146668868976
6,3,1,30,0.43232637338332225
6,4,1,30,0.5748902841175535
6,5,1,30,0.48511026634546112
6,6,1,30,0.60447200084015529
6,7,1,30,0.53478494811056887
6,8,1,30,0.44748123444804838
6,1,4,30,1.9608098427339669
6,2,4,30,3.814996095492766
6,3,4,30,2.9807917374790205
6,4,4,30,2.1159595695006961
6,5,4,30,3.2226199049384516
6,6,4,30,1.7700691814657998
6,7,4,30,4.8798474605682021
6,8,4,30,2.8791695448701136
7,1,1,30,0.47036885638908432
7,2,1,30,0.42001722018368259
7,3,1,30,0.69840168722762408
7,4,1,30,0.60053138021766661
7,5,1,30,0.57418067538267092
7,6,1,30,0.4816081487674026
7,7,1,30,0.48167236968864324
7,8,1,30,0.544502196799034
7,1,4,30,1.76906441454318
7,2,4,30,3.4774482807334346
7,3,4,30,3.4823357941739115
7,4,4,30,2.3775675485374648
7,5,4,30,4.5715120683545472
7,6,4,30,2.021348289767126
7,7,4,30,2.0845748051515036
7,8,4,30,2.0904724361904337
8,1,1,30,0.56134353129396186
8,2,1,30,0.43754167701266145
8,3,1,30,0.59272875020842442
8,4,1,30,0.52954299066561406
8,5,1,30,0.5084352331355606
8,6,1,30,0.60629426347761839
8,7,1,30,0.55176961365631016
8,8,1,30,0.53496423604582033
8,1,4,30,3.3378216667696332
8,2,4,30,2.6853390171637401
8,3,4,30,3.0693801905106479
8,4,4,30,2.8469736588022498
8,5,4,30,3.3709473984383851
8,6,4,30,2.2563951480993398
8,7,4,30,3.6218164390637826
8,8,4,30,3.4228973343509344
9,1,1,30,0.60315855964055753
9,2,1,30,0.38923625366944775
9,3,1,30,0.54076949705728328
9,4,1,30,0.57112605428194196
9,5,1,30,0.56277381932550774
9,6,1,30,0.60704428553976675
9,7,1,30,0.43886680122820776
9,8,1,30,0.36962880667284465
9,1,4,30,4.4235500605896423
9,2,4,30,2.8328518643066358
9,3,4,30,3.5865479370087416
9,4,4,30,2.392781289859895
9,5,4,30,3.0662673976852068
9,6,4,30,3.9308213743031626
9,7,4,30,2.8766022281400452
9,8,4,30,3.6003438651125852
10,1,1,30,0.58024907686661342
10,2,1,30,0.7135566951790322
10,3,1,30,0.63380178136008103
10,4,1,30,0.48973176954955372
10,5,1,30,0.58554956783582501
10,6,1,30,0.56918163070952577
10,7,1,30,0.69240221501756827
10,8,1,30,0.45687429302219218
10,1,4,30,3.537840867599972
10,2,4,30,5.5113035737141098
10,3,4,30,3.6445586033836608
10,4,4,30,1.977379632627924
10,5,4,30,3.2321804084127179
10,6,4,30,4.0341000976353101
10,7,4,30,3.783033682621479
10,8,4,30,5.4813749605073143
