gridIndex,alpha,betaNormalized,deltaPR,deficitPP,loss
1,0.1,0.1,3.37568407900553,2.51325578898615,0.79944149483804
2,0.1,0.25,3.51414800659992,17.8348328773755,0.111645427072791
3,0.1,0.5,3.45746130788333,31.2120633633998,0.829762527748382
4,0.1,0.75,3.40762731765259,35.4827133059824,1.319120240482
5,0.1,1,3.39175943475516,37.3878995294035,1.58068659706067
6,0.1,1.25,3.38883120329656,38.361867480918,1.7254627878924
7,0.2,0.1,1.67694387457294,-19.0528314466012,4.68775196283759
8,0.2,0.25,2.58967186088706,-3.74352041018713,1.4956816805154
9,0.2,0.5,3.30339523831559,15.9191017055527,0.0646454757464562
10,0.2,0.75,3.39688398838945,26.0187091664336,0.381601927830332
11,0.2,1,3.39163917260071,31.2465242673215,0.818625815466627
12,0.2,1.25,3.38706139435972,34.4770059744606,1.18518849792286
13,0.35,0.1,0.516407767581891,-30.8035896739093,8.67531754291232
14,0.35,0.25,1.19919599347701,-19.5778173214094,4.9869219546807
15,0.35,0.5,2.42454342662448,-1.49792805740266,1.19321568428566
16,0.35,0.75,3.09455805225824,11.4130307064403,0.131713021744797
17,0.35,1,3.34001227101354,19.9362702327299,0.103754487058042
18,0.35,1.25,3.38713540812417,25.4322856212307,0.342450395884745
19,0.5,0.1,0.13391331918893,-34.3675751461786,10.1759194961936
20,0.5,0.25,0.579693698259595,-26.4288874562867,7.22978375871154
21,0.5,0.5,1.59456448918569,-11.9769610163538,3.09153870279163
22,0.5,0.75,2.41819408692587,-0.0516494046887056,1.01353004123229
23,0.5,1,2.9457303767759,9.39270447408772,0.207361378192378
24,0.5,1.25,3.23576041861985,16.409285208138,0.0503631198286069
25,0.75,0.1,-0.0914822773712836,-37.1641610635516,11.3864371244407
26,0.75,0.25,0.146394381092202,-32.1073966673155,9.36575593995196
27,0.75,0.5,0.803381452018282,-22.136206931289,5.85545829907323
28,0.75,0.75,1.54559562063763,-12.330763563293,3.1791643937312
29,0.75,1,2.1618191744431,-3.60786074382338,1.50896708311928
30,0.75,1.25,2.64510782706227,4.00506094706618,0.58008712277639
31,1,0.1,-0.087983479049911,-38.2862645354474,11.8171593056276
32,1,0.25,0.0414767827122906,-35.3241955093872,10.5935086889095
33,1,0.5,0.423175611350791,-26.6165547299871,7.38328832611378
34,1,0.75,0.961930956772023,-18.2384668638933,4.75419756532509
35,1,1,1.51659200298643,-10.9470697517445,2.90960577228205
36,1,1.25,2.0183414601334,-4.43106745510635,1.65316514684797
