network,s_init,s_temporal,policy,PR,observedPct,expectedPct,deficitPP,K95,C,R2,shuffleR2,matchedR2,peakSpeedMps,endpointRmsM,targetSeparationScatter,nearZero,missingWindow,boundaryPeak,multipleLargePeak,undefinedC,prepPC75,movePC75,predictionEvaluable
1,0.050000000000000003,0.10000000000000001,1,3.4399427088586454,99.999999999999929,45.298320706428221,-54.701679293571708,7,-4.6304875336026656,0.93331782259141638,-0.011843719522224738,0.92808759589737178,0.42315873688515127,0.029353859926409698,5.0373190295392725,0,0,0,0,0,13,8,1
1,0.050000000000000003,0.10000000000000001,4,6.7189829415709426,33.68289321435477,45.298320706428221,11.615427492073451,7,-5.4870734955551148,0.84611841830758805,-0.010857575040440381,0.91101746330273481,0.28105654226545018,0.069478945019889299,1.544079274112838,0,0,26,87,0,11,12,1
1,0.10000000000000001,0.10000000000000001,1,3.4532640112905146,100.00000000000007,45.252547718849911,-54.74745228115016,7,-1.9403211415111312,0.93144680768500865,-0.011633956069546758,0.92523102776770194,0.42329048130783631,0.029409284981963685,5.0329707766047367,0,0,0,0,0,14,8,1
1,0.10000000000000001,0.10000000000000001,2,3.3011872570450609,85.789621225252617,45.252547718849911,-40.537073506402706,7,-2.4873576790406853,0.908982119232976,-0.011638939343708743,NaN,0.48106743822527198,0.074191636748410048,2.576408232772315,0,0,1,26,0,12,9,1
1,0.10000000000000001,0.10000000000000001,3,5.8319937190786941,17.184391444299067,45.252547718849911,28.068156274550844,7,-1.9255424240440191,0.96107751067865144,-0.011059090740531463,NaN,0.28078927007129323,0.029229808157110806,2.5754994564256246,0,0,2,59,0,7,7,1
1,0.10000000000000001,0.10000000000000001,4,6.7391023256525315,33.339455759592809,45.252547718849911,11.913091959257102,7,-2.3737396227599548,0.83373425005343882,-0.010897934673469556,0.91166528920470113,0.28412947563948704,0.07131296176833804,1.5021639845664037,0,0,27,86,0,12,13,1
1,0.20000000000000001,0.10000000000000001,1,3.4866535746456693,100.00000000000003,45.038713280700513,-54.961286719299515,7,-0.70371720229995594,0.90485414920566565,-0.0113136929221761,0.90207547125880161,0.42393186130375327,0.029666083265956263,5.0180479473686068,0,0,0,0,0,16,10,1
1,0.20000000000000001,0.10000000000000001,4,6.7766399317136736,32.580762966554005,45.038713280700513,12.457950314146508,7,-0.96213412692697864,0.80668959729818657,-0.0107816369789282,0.8694702693782318,0.29840496033386749,0.078523366750928109,1.3945200736210039,0,0,33,79,0,15,15,1
1,0.10000000000000001,0.050000000000000003,1,3.3808605333990718,99.999999999999872,41.466095269130513,-58.533904730869359,6,-0.87491575992526671,0.98555956844684656,-0.012405288256652436,0.98555956844684656,0.42034231369435615,0.014711205365804609,9.9722219497683309,0,0,0,0,0,5,3,1
1,0.10000000000000001,0.050000000000000003,4,6.7168899622959044,33.45205500267528,41.466095269130513,8.0140402664552326,6,-1.1772727843939133,0.87755164853980328,-0.011388993700602201,0.94409949651063019,0.23861922258073656,0.039585454251743313,2.6826699967917516,0,0,13,94,0,6,6,1
1,0.10000000000000001,0.20000000000000001,1,3.6833441952049233,100,43.099625520113058,-56.900374479886942,7,-4.05709172236027,0.73508290375358676,-0.010682217738708033,0.73508290375358676,0.43267792671055411,0.058020934028234342,2.6571328785799642,0,0,1,15,0,27,20,1
1,0.10000000000000001,0.20000000000000001,4,6.7997471749007694,33.857931016360908,43.099625520113058,9.2416945037521501,7,-4.6984042410840985,0.63689683679576681,-0.01050865478938412,0.66191862265648105,0.41814762136854378,0.13243633062647775,0.90910765809282956,0,0,48,80,0,27,23,1
2,0.050000000000000003,0.10000000000000001,1,3.3998163799864178,99.999999999999872,45.70486181404177,-54.295138185958102,6,-4.4908496318278646,0.90837617654811154,-0.0093622646543963794,0.88735253636032341,0.41987822991512125,0.025878533888946807,5.7379971656392623,0,0,0,1,0,12,9,1
2,0.050000000000000003,0.10000000000000001,4,6.6296216073790601,33.145002499386273,45.70486181404177,12.559859314655498,6,-5.2082729770797265,0.84087375291432043,-0.010475595372533841,0.89084069968074819,0.31487603184716073,0.058430259759261916,1.1410274691450133,0,0,14,86,0,9,12,1
2,0.10000000000000001,0.10000000000000001,1,3.400723032724712,99.999999999999972,45.664091959300464,-54.335908040699508,6,-1.8405463462570064,0.90311145907776025,-0.0090478343859466959,0.89089561753264457,0.41979476613234956,0.025837006956749568,5.7433889405202132,0,0,0,1,0,13,9,1
2,0.10000000000000001,0.10000000000000001,2,3.1581140063376676,87.196196638315783,45.664091959300464,-41.532104679015319,6,-2.2787372598205917,0.92688447942704899,-0.0094064103344733141,NaN,0.42471572284089815,0.060097009125395687,2.1455171825200723,0,0,1,42,0,11,8,1
2,0.10000000000000001,0.10000000000000001,3,6.0100101225637017,19.353970509650189,45.664091959300464,26.310121449650275,6,-1.8657583184321929,0.96269028505588783,-0.010164020831173071,NaN,0.31440644127075346,0.026075492473954767,3.615923560123222,0,0,0,45,0,7,7,1
2,0.10000000000000001,0.10000000000000001,4,6.6220227100820539,33.120068601382499,45.664091959300464,12.544023357917965,6,-2.2307810674299069,0.84625849273388876,-0.0099611512398045665,0.88838888056381737,0.31740196813223859,0.06022869064847404,1.0929972221415087,0,0,15,89,0,10,12,1
2,0.20000000000000001,0.10000000000000001,1,3.4107116624272993,99.999999999999886,45.49661889436728,-54.503381105632606,6,-0.64419631496875762,0.88965346130142975,-0.0093940185673372367,0.87380576540301713,0.41968244394980453,0.025754781270735282,5.7471426872283695,0,0,0,1,0,16,10,1
2,0.20000000000000001,0.10000000000000001,4,6.6040859101419596,33.120775003432357,45.49661889436728,12.375843890934924,6,-0.86813994970413344,0.82014291896267155,-0.010298709260913697,0.86700600988768595,0.3266555954930242,0.066887022889078315,0.96751838771648058,0,0,18,83,0,13,14,1
2,0.10000000000000001,0.050000000000000003,1,3.3845007147107986,100.0000000000002,46.080656613952812,-53.919343386047387,6,-0.80605161266020597,0.97919281753465337,-0.0092643555997392601,0.97919281753465337,0.41919523007382825,0.013070826011982582,11.250155372286445,0,0,0,0,0,4,3,1
