network,policy,target,endpointRmsMM,medianMOms,medianPeakMs,medianPeakSpeedMps,nearZero,boundaryPeak,missingWindow
1,1,1,19.8504181044337,57,201,0.432373682719812,0,0,0
1,1,2,23.6602454444208,56.5,200,0.418915011581239,0,0,0
1,1,3,21.7442777269734,56,204,0.423566780060657,0,0,0
1,1,4,24.8078334752939,56,201,0.423742108298938,0,0,0
1,1,5,22.4987598208174,56,201,0.438099755796308,0,0,0
1,1,6,18.6169810375841,56,201,0.403773151619334,0,0,0
1,1,7,19.946634508378,56.5,201,0.413981919788239,0,0,0
1,1,8,17.6261437912248,54.5,198,0.420334912594157,0,0,0
1,2,1,26.3465666350913,57,202,0.434060431355183,0,0,0
1,2,2,32.6126029350216,56.5,199.5,0.42800596700169,0,0,0
1,2,3,34.1039532598594,55.5,204.5,0.431453200033626,0,0,0
1,2,4,33.1117566775761,54.5,200.5,0.414473790557885,0,0,0
1,2,5,34.416154946128,56,199.5,0.434583227007064,0,0,0
1,2,6,27.8456778836529,54.5,201.5,0.405890700772526,0,0,0
1,2,7,29.8077590788886,56,202,0.424416264871099,0,0,0
1,2,8,24.4886795345805,54,197,0.416917252967994,0,0,0
1,3,1,20.0688862319821,47,191.5,0.289996534797497,0,0,0
1,3,2,23.2381238560598,40,190.5,0.301541546295638,0,0,0
1,3,3,21.4111832920862,46,191,0.273525164374495,0,0,0
1,3,4,24.8540351294765,41,187.5,0.266966459281144,0,0,0
1,3,5,22.7663321469626,46,191,0.298698969816633,0,0,0
1,3,6,18.3131896976484,42.5,188,0.269023064908886,0,0,0
1,3,7,19.6459664167675,42.5,189,0.314096576941825,0,0,0
1,3,8,17.7956329962104,47,193,0.272998406658737,0,0,0
1,4,1,26.6081430573081,62,209.5,0.238725172748611,0,0,0
1,4,2,30.7356009421436,54,216.5,0.209672629444261,0,0,0
1,4,3,32.51780530883,58.5,207.5,0.214313941144247,0,1,0
1,4,4,32.4607430585395,49,204.5,0.20000566219417,0,2,0
1,4,5,35.590390246765,55,203,0.247490790304154,0,0,0
1,4,6,27.6523328444623,51,198,0.209061793354462,0,0,0
1,4,7,29.502249648185,51,197.5,0.232811519592646,0,2,0
1,4,8,25.4337883280529,59,219.5,0.208184131523081,0,0,0
2,1,1,20.6924801755871,56,200,0.42844337116103,0,0,0
2,1,2,17.2266703849748,56.5,200,0.416671612128841,0,0,0
2,1,3,18.4760979676626,54.5,203,0.419295030871821,0,0,0
2,1,4,21.3640634780709,57.5,201,0.406403956825188,0,0,0
2,1,5,19.2857611203656,54,199,0.411640584199186,0,0,0
2,1,6,17.308784770699,55,201.5,0.414785190961259,0,0,0
2,1,7,18.4859992485283,56,200,0.417886067477338,0,0,0
2,1,8,15.1717818369825,55,199,0.42379664289291,0,0,0
2,2,1,32.0533608580537,54.5,199.5,0.436803020143613,0,0,0
2,2,2,26.8000581972703,56.5,200,0.420639665005416,0,0,0
2,2,3,27.7844891225805,54,202,0.418820185271845,0,0,0
2,2,4,29.8268847492481,58,199.5,0.393628990648932,0,0,0
2,2,5,29.3050920755122,54,197.5,0.412364689656479,0,0,0
2,2,6,24.3294296508352,54,201,0.4222036281247,0,0,0
2,2,7,28.2907247994092,56,200,0.418139488161544,0,0,0
2,2,8,22.8962451832589,54.5,198.5,0.417554151751831,0,0,0
2,3,1,21.2649877807356,41,182,0.286244060583043,0,0,0
2,3,2,17.1146758439198,43,193,0.333399589993661,0,0,0
2,3,3,18.5981671894064,41,187,0.272870146441407,0,0,0
2,3,4,21.1414437833549,43.5,183.5,0.266434322340837,0,0,0
2,3,5,19.2166453625441,44.5,197.5,0.301747819783984,0,0,0
2,3,6,17.0785014888353,41,187.5,0.276278507621925,0,0,0
2,3,7,18.1233748389466,40,191,0.32993819727608,0,0,0
2,3,8,15.2018306876438,43,197.5,0.282500658067821,0,0,0
2,4,1,32.5642065239693,47,189.5,0.230480376325303,0,0,0
2,4,2,25.7584649248413,56,208,0.241751758874742,0,0,0
2,4,3,27.0890807275615,52,198.5,0.17400638978475,0,2,0
2,4,4,28.7654725071207,51.5,190.5,0.192003047808626,0,0,0
2,4,5,29.5170245419153,49,208,0.285547580193681,0,0,0
2,4,6,24.3610748162808,52,201.5,0.204653210619286,0,0,0
2,4,7,28.1240613749386,54,207.5,0.239136325202298,0,0,0
2,4,8,22.8877364732285,57,217,0.219068878802909,0,0,0
3,1,1,20.1807331495177,56,202,0.418235630310446,0,0,0
3,1,2,18.5319529666979,56.5,199.5,0.416115662798992,0,0,0
3,1,3,17.6317681469775,56,204,0.423513155783726,0,0,0
3,1,4,16.2720731045133,55,197,0.408487246998613,0,0,0
3,1,5,15.341419313979,56,201,0.425340730210277,0,0,0
3,1,6,15.6123362606174,56,202.5,0.41553442195574,0,0,0
3,1,7,17.9735550847898,56,201,0.408024882346643,0,0,0
3,1,8,17.917751633552,55.5,199.5,0.421013646581127,0,0,0
3,2,1,27.0060670187975,57,202.5,0.417712599878066,0,0,0
3,2,2,26.7856467499908,56,199,0.41707739610815,0,0,0
3,2,3,23.587063018566,56,206,0.432136576450534,0,0,0
3,2,4,25.1094117183403,54.5,196,0.404434144229265,0,0,0
3,2,5,22.7612640821847,56,202,0.426125495794986,0,0,0
3,2,6,22.6743560087784,56,202,0.413323644781781,0,0,0
3,2,7,27.1742816986003,56,201,0.409651465170724,0,0,0
3,2,8,22.9635162949557,55.5,199,0.420849151440528,0,0,0
3,3,1,20.3807787081241,50,199,0.301285985063303,0,0,0
3,3,2,18.5803695350685,42,193,0.32522958343599,0,0,0
3,3,3,17.0215428856203,39,183,0.29182665508714,0,0,0
3,3,4,15.956150629889,43.5,178,0.224752252912588,0,0,0
3,3,5,14.8564870175462,48,192,0.252010320790439,0,0,0
3,3,6,15.2231321471996,43,188.5,0.300659843922808,0,0,0
3,3,7,17.6490491502024,43,189,0.301762563887526,0,0,0
3,3,8,17.8303112643369,42,187,0.278944095066385,0,0,0
3,4,1,26.9157110897649,59,214.5,0.284076001116932,0,0,0
3,4,2,25.8101214878015,57,206.5,0.204284050452945,0,0,0
3,4,3,21.4221369380937,50.5,188.5,0.179733323517193,0,0,0
3,4,4,25.0387710495686,56.5,193,0.170301431407335,0,3,0
3,4,5,21.7835852009402,61.5,207,0.198091207209324,0,2,0
3,4,6,21.6406936217359,52,197,0.215305860393543,0,0,0
3,4,7,27.0848044502408,59.5,197.5,0.171977189764232,0,0,0
3,4,8,23.2032656783766,52,193,0.189903104675348,0,0,0
4,1,1,21.8065860752516,56,200,0.418299060797514,0,0,0
4,1,2,20.37132291575,56,198,0.416387868714875,0,0,0
4,1,3,20.072414398407,54,201,0.409263849559554,0,0,0
4,1,4,18.389425486339,58,201.5,0.421930888959106,0,0,0
4,1,5,20.7615605663821,56,200.5,0.418305410085305,0,0,0
4,1,6,20.600378435886,57,202,0.4141016137254,0,0,0
4,1,7,20.6390978189123,55,201.5,0.415523041847721,0,0,0
4,1,8,20.0045882181197,55,198,0.41061791060161,0,0,0
4,2,1,29.0153451776097,55,200.5,0.416697881395015,0,0,0
4,2,2,29.0853779056571,56,196.5,0.4130819131823,0,0,0
