network,policy,target,trial,MOms,peakMs,peakMps,nearZero,boundaryPeak,missingWindow,numberLargePeaks
1,1,1,1,53,200,0.447643343730638,0,0,0,1
1,1,1,2,55,203,0.487791355306905,0,0,0,1
1,1,1,3,58,209,0.459199885692268,0,0,0,1
1,1,1,4,57,203,0.464861883337413,0,0,0,1
1,1,1,5,56,199,0.451296290212615,0,0,0,1
1,1,1,6,59,202,0.393909443644501,0,0,0,1
1,1,1,7,53,195,0.445074436034005,0,0,0,1
1,1,1,8,57,201,0.439268192890312,0,0,0,1
1,1,1,9,59,204,0.458913179452451,0,0,0,1
1,1,1,10,53,197,0.433195410450969,0,0,0,1
1,1,1,11,57,199,0.395481977710113,0,0,0,1
1,1,1,12,60,201,0.414116320328258,0,0,0,1
1,1,1,13,55,209,0.473314775850223,0,0,0,1
1,1,1,14,59,194,0.352192982233366,0,0,0,1
1,1,1,15,53,199,0.487490582699601,0,0,0,1
1,1,1,16,57,202,0.420612647041674,0,0,0,1
1,1,1,17,58,196,0.381163157515833,0,0,0,1
1,1,1,18,51,191,0.431551954988654,0,0,0,1
1,1,1,19,53,207,0.519885066476058,0,0,0,1
1,1,1,20,51,191,0.437969053815433,0,0,0,1
1,1,1,21,55,193,0.381086240383999,0,0,0,1
1,1,1,22,55,198,0.422050252949643,0,0,0,1
1,1,1,23,57,204,0.425508566981175,0,0,0,1
1,1,1,24,56,194,0.404883499752531,0,0,0,1
1,1,1,25,57,200,0.426026022664424,0,0,0,1
1,1,1,26,59,204,0.456415457843987,0,0,0,1
1,1,1,27,61,204,0.400443406546142,0,0,0,1
1,1,1,28,59,205,0.394986865198474,0,0,0,1
1,1,1,29,58,204,0.463221554429535,0,0,0,1
1,1,1,30,60,204,0.424992761644313,0,0,0,1
1,1,2,1,53,196,0.414270734381891,0,0,0,1
1,1,2,2,58,204,0.419699668518761,0,0,0,1
1,1,2,3,59,200,0.41912080560841,0,0,0,1
1,1,2,4,56,200,0.419739832926505,0,0,0,1
1,1,2,5,57,199,0.39513640925871,0,0,0,1
1,1,2,6,58,202,0.417788112103994,0,0,0,1
1,1,2,7,56,195,0.403261800451303,0,0,0,1
1,1,2,8,55,198,0.425168008793114,0,0,0,1
1,1,2,9,53,196,0.416228876078464,0,0,0,1
