eta,s_init,s_temporal,condition,metric,median,bootstrapSE,availableN
0,0.050000000000000003,0.10000000000000001,1,convergence,-2.2322545156474267,0.043809438702892341,10
1,0.050000000000000003,0.10000000000000001,1,convergence,-0.55133561013113708,0.012626582127274725,10
0,0.10000000000000001,0.10000000000000001,1,convergence,-1.3265285865773802,0.032020245661831641,10
1,0.10000000000000001,0.10000000000000001,1,convergence,-0.098670012425897693,0.0088598670446753194,10
0,0.20000000000000001,0.10000000000000001,1,convergence,-0.54011541713076761,0.021917672858152461,10
1,0.20000000000000001,0.10000000000000001,1,convergence,0.35342770277036822,0.0050039094767652895,10
0,0.10000000000000001,0.050000000000000003,1,convergence,-0.61010442268054588,0.027293642873524235,10
1,0.10000000000000001,0.050000000000000003,1,convergence,0.34124224918916624,0.0046044226804789253,10
0,0.10000000000000001,0.20000000000000001,1,convergence,-2.0295056891664438,0.031404614503359567,10
1,0.10000000000000001,0.20000000000000001,1,convergence,-0.5376002713577771,0.011962246796159129,10
0,0.050000000000000003,0.10000000000000001,2,convergence,-2.5006436045659601,0.03908447586201818,10
1,0.050000000000000003,0.10000000000000001,2,convergence,-0.61443843846682877,0.012770596432847345,10
0,0.10000000000000001,0.10000000000000001,2,convergence,-1.5130774455464917,0.03174155936894249,10
1,0.10000000000000001,0.10000000000000001,2,convergence,-0.14132228173010114,0.0087483086874501938,10
0,0.20000000000000001,0.10000000000000001,2,convergence,-0.67667401315255238,0.025543371111447423,10
1,0.20000000000000001,0.10000000000000001,2,convergence,0.329959299854093,0.0043889878703761501,10
0,0.10000000000000001,0.050000000000000003,2,convergence,-0.75750169091813757,0.030883608165695346,10
1,0.10000000000000001,0.050000000000000003,2,convergence,0.31796861294681883,0.0043713609058894827,10
0,0.10000000000000001,0.20000000000000001,2,convergence,-2.2510074245340128,0.025590232972696154,10
1,0.10000000000000001,0.20000000000000001,2,convergence,-0.59797544751025733,0.012273328189662891,10
0,0.050000000000000003,0.10000000000000001,1,pr,3.4454617151671538,0.080256555942332303,10
1,0.050000000000000003,0.10000000000000001,1,pr,3.4632970060568056,0.12858613057425333,10
0,0.10000000000000001,0.10000000000000001,1,pr,3.4646663736575589,0.081004622841790427,10
1,0.10000000000000001,0.10000000000000001,1,pr,3.4631909034010406,0.12857273020809135,10
0,0.20000000000000001,0.10000000000000001,1,pr,3.5140850730570001,0.084304846358834076,10
1,0.20000000000000001,0.10000000000000001,1,pr,3.4631399814969308,0.12852859512367509,10
0,0.10000000000000001,0.050000000000000003,1,pr,3.3890429835193148,0.084971528989421299,10
1,0.10000000000000001,0.050000000000000003,1,pr,3.428014067885043,0.1268568220152804,10
0,0.10000000000000001,0.20000000000000001,1,pr,3.7168229049853547,0.081051620973705094,10
1,0.10000000000000001,0.20000000000000001,1,pr,3.5929167381142708,0.13193814632444023,10
0,0.050000000000000003,0.10000000000000001,2,pr,6.3286071000634747,0.10759388894376633,10
1,0.050000000000000003,0.10000000000000001,2,pr,6.7538796864075969,0.018877542144504187,10
0,0.10000000000000001,0.10000000000000001,2,pr,6.3279745541160981,0.11463153932356589,10
1,0.10000000000000001,0.10000000000000001,2,pr,6.754079754956595,0.018891808347633418,10
0,0.20000000000000001,0.10000000000000001,2,pr,6.347735599888118,0.12595283186282522,10
1,0.20000000000000001,0.10000000000000001,2,pr,6.7545089128245763,0.018927555405366978,10
0,0.10000000000000001,0.050000000000000003,2,pr,6.3300147925139019,0.10647967380347734,10
1,0.10000000000000001,0.050000000000000003,2,pr,6.7294724686777112,0.016236975862738142,10
0,0.10000000000000001,0.20000000000000001,2,pr,6.4181823782403011,0.11717948375081413,10
1,0.10000000000000001,0.20000000000000001,2,pr,6.8371834384285233,0.024296329191713963,10
0,0.050000000000000003,0.10000000000000001,1,r2,0.93159068732036543,0.0045987124698824693,10
1,0.050000000000000003,0.10000000000000001,1,r2,0.99470587481379824,0.00062325151885470379,10
0,0.10000000000000001,0.10000000000000001,1,r2,0.92424551001304156,0.0065456126935906659,10
1,0.10000000000000001,0.10000000000000001,1,r2,0.99468040688101,0.00062830568170149203,10
0,0.20000000000000001,0.10000000000000001,1,r2,0.90829781002994281,0.005857660076326732,10
1,0.20000000000000001,0.10000000000000001,1,r2,0.99461826703748057,0.00064163996973324699,10
0,0.10000000000000001,0.050000000000000003,1,r2,0.98935506568325238,0.0020029888019607984,10
1,0.10000000000000001,0.050000000000000003,1,r2,0.9963056533618101,0.00069458272556617757,10
0,0.10000000000000001,0.20000000000000001,1,r2,0.73596133708081368,0.0038888931375109506,10
1,0.10000000000000001,0.20000000000000001,1,r2,0.87889175119737462,0.0047479816233120869,10
0,0.050000000000000003,0.10000000000000001,2,r2,0.81531438541833379,0.015744414883850765,10
1,0.050000000000000003,0.10000000000000001,2,r2,0.96551454308338847,0.011533618716966567,10
0,0.10000000000000001,0.10000000000000001,2,r2,0.81265178109621594,0.01319275657352933,10
1,0.10000000000000001,0.10000000000000001,2,r2,0.9655442804482558,0.011582924551003081,10
0,0.20000000000000001,0.10000000000000001,2,r2,0.78295596595402361,0.012590814372338463,10
1,0.20000000000000001,0.10000000000000001,2,r2,0.96539595725906735,0.011510340342748074,10
0,0.10000000000000001,0.050000000000000003,2,r2,0.95163771371381922,0.013969119631316741,10
1,0.10000000000000001,0.050000000000000003,2,r2,0.93938534359715065,0.01449890940465175,10
0,0.10000000000000001,0.20000000000000001,2,r2,0.60360588240278967,0.0062978188822693255,10
1,0.10000000000000001,0.20000000000000001,2,r2,0.71270810066576729,0.0068228384947067273,10
0,0.050000000000000003,0.10000000000000001,1,bias,0.72360970449820805,0.038185629059634699,10
1,0.050000000000000003,0.10000000000000001,1,bias,0.099179680567696549,0.001360610800132483,10
0,0.10000000000000001,0.10000000000000001,1,bias,0.7227548733530782,0.036997921809673658,10
1,0.10000000000000001,0.10000000000000001,1,bias,0.099014140113120264,0.0013680918698739893,10
0,0.20000000000000001,0.10000000000000001,1,bias,0.72005236803238537,0.034805589094010096,10
1,0.20000000000000001,0.10000000000000001,1,bias,0.09818400729170218,0.0013892531047650593,10
0,0.10000000000000001,0.050000000000000003,1,bias,0.70412128604976854,0.040043459475522923,10
1,0.10000000000000001,0.050000000000000003,1,bias,0.06188614697770161,0.0011687528622181754,10
0,0.10000000000000001,0.20000000000000001,1,bias,0.79221550136403163,0.029825378496983898,10
1,0.10000000000000001,0.20000000000000001,1,bias,0.18331603884469949,0.0020210052149854637,10
0,0.050000000000000003,0.10000000000000001,2,bias,0.80672997109887734,0.021859186239314932,10
1,0.050000000000000003,0.10000000000000001,2,bias,0.10327275927009044,0.00091299635474585694,10
0,0.10000000000000001,0.10000000000000001,2,bias,0.80581175962243767,0.023245567151817997,10
1,0.10000000000000001,0.10000000000000001,2,bias,0.10297500171340995,0.0009108039176248155,10
0,0.20000000000000001,0.10000000000000001,2,bias,0.80180393405396388,0.027118700501603706,10
1,0.20000000000000001,0.10000000000000001,2,bias,0.10196032450749726,0.00088772420686802737,10
0,0.10000000000000001,0.050000000000000003,2,bias,0.78721466965604869,0.025848220357386268,10
1,0.10000000000000001,0.050000000000000003,2,bias,0.067322655547558924,0.0015805270467666916,10
0,0.10000000000000001,0.20000000000000001,2,bias,0.85949771460469004,0.020928814332608094,10
1,0.10000000000000001,0.20000000000000001,2,bias,0.18595037101626738,0.0025471626004175876,10
0,0.050000000000000003,0.10000000000000001,1,dispersion,2.8920191326884641,0.023463528455449419,10
1,0.050000000000000003,0.10000000000000001,1,dispersion,1.3488263284182709,0.012168652059842577,10
0,0.10000000000000001,0.10000000000000001,1,dispersion,2.980436581883029,0.024529629558372752,10
1,0.10000000000000001,0.10000000000000001,1,dispersion,1.349757787371102,0.012312470732437812,10
0,0.20000000000000001,0.10000000000000001,1,dispersion,3.3296560054638875,0.033991871834845797,10
1,0.20000000000000001,0.10000000000000001,1,dispersion,1.3533216022030867,0.012746064651174128,10
0,0.10000000000000001,0.050000000000000003,1,dispersion,1.6718835786363779,0.016373080234619891,10
1,0.10000000000000001,0.050000000000000003,1,dispersion,0.67673979048481381,0.0063595150768613849,10
0,0.10000000000000001,0.20000000000000001,1,dispersion,5.6921425121163409,0.043135127830761302,10
1,0.10000000000000001,0.20000000000000001,1,dispersion,2.6964565611421394,0.024544272215198271,10
0,0.050000000000000003,0.10000000000000001,2,dispersion,3.1856803316136908,0.036533647361509734,10
1,0.050000000000000003,0.10000000000000001,2,dispersion,1.4099508751858538,0.011272400123314949,10
0,0.10000000000000001,0.10000000000000001,2,dispersion,3.3072604244542418,0.039674024993309749,10
1,0.10000000000000001,0.10000000000000001,2,dispersion,1.4113458156951473,0.011480704513866824,10
0,0.20000000000000001,0.10000000000000001,2,dispersion,3.737260639363436,0.053852241160148417,10
1,0.20000000000000001,0.10000000000000001,2,dispersion,1.4164015474637663,0.012094101614934448,10
0,0.10000000000000001,0.050000000000000003,2,dispersion,1.8793095525061831,0.029403813912405489,10
1,0.10000000000000001,0.050000000000000003,2,dispersion,0.7082049899560896,0.0060452416625007659,10
0,0.10000000000000001,0.20000000000000001,2,dispersion,6.2285123335813566,0.061741322977576327,10
1,0.10000000000000001,0.20000000000000001,2,dispersion,2.8190224962231998,0.022536759710094587,10
0,0.050000000000000003,0.10000000000000001,1,mo,55.75,0.37353022214766851,10
1,0.050000000000000003,0.10000000000000001,1,mo,55.75,0.23354625213261196,10
0,0.10000000000000001,0.10000000000000001,1,mo,56,0.37794578801313156,10
1,0.10000000000000001,0.10000000000000001,1,mo,55.75,0.3738180225609789,10
0,0.20000000000000001,0.10000000000000001,1,mo,56,0.24547263733778454,10
1,0.20000000000000001,0.10000000000000001,1,mo,56,0.37985548438702582,10
0,0.10000000000000001,0.050000000000000003,1,mo,55.5,0.43411086455452252,10
1,0.10000000000000001,0.050000000000000003,1,mo,56,0.24411464355076798,10
0,0.10000000000000001,0.20000000000000001,1,mo,57,0.31096075963761532,10
