network,eta,s_init,s_temporal,deltaC,deltaR2,lossPct,lossDefined,Control95K,observed,expected,deficit
1,0,0.050000000000000003,0.10000000000000001,-0.32385901504765435,-0.13734511688377748,14.715792794187731,1,7,0.4054118329853782,0.45298320706428225,0.04757137407890405
1,0,0.10000000000000001,0.10000000000000001,-0.22916030851219649,-0.13669445729672314,14.675497963910537,1,7,0.4021826747516048,0.45252547718849911,0.050342802436894318
1,0,0.20000000000000001,0.10000000000000001,-0.16744952521509116,-0.12414719777780681,13.720133558186205,1,7,0.39461655661903799,0.45038713280700515,0.055770576187967158
1,0,0.10000000000000001,0.050000000000000003,-0.16499325824620881,-0.016867865439732066,1.7115013622478759,1,6,0.40238159603327162,0.4146609526913051,0.01227935665803348
1,0,0.10000000000000001,0.20000000000000001,-0.28100190993291241,-0.12609183574648941,17.153416995909037,1,7,0.40756821014861816,0.43099625520113061,0.023428045052512447
1,1,0.050000000000000003,0.10000000000000001,-0.070559532677629377,-0.02885558694459911,2.8972930183843015,1,6,0.31730131743931878,0.51204433483940148,0.19474301740008271
1,1,0.10000000000000001,0.10000000000000001,-0.046871740889742886,-0.028810536535688325,2.892750031891115,1,6,0.31737050072770912,0.51204268743307935,0.19467218670537023
1,1,0.20000000000000001,0.10000000000000001,-0.028589293270240068,-0.028901521728798452,2.9018711608334629,1,6,0.31754841214998758,0.51201866633122872,0.19447025418124114
1,1,0.10000000000000001,0.050000000000000003,-0.027045819814686789,-0.057541448884544377,5.7716795326261074,1,6,0.31596336686515408,0.51452437681799201,0.19856100995283793
1,1,0.10000000000000001,0.20000000000000001,-0.066019813560609597,-0.16869008983605438,18.646261300469376,1,6,0.32192561633860972,0.50312809320130969,0.18120247686269997
2,0,0.050000000000000003,0.10000000000000001,-0.27575568339976142,-0.07206984274679118,7.9339203963561946,1,6,0.40118669321142192,0.4570486181404177,0.055861924928995776
2,0,0.10000000000000001,0.10000000000000001,-0.20377290791265512,-0.090570011544576223,10.028663752873268,1,6,0.40110309647709774,0.45664091959300462,0.055537823115906881
2,0,0.20000000000000001,0.10000000000000001,-0.14302854003862941,-0.11079478054537684,12.453700835750212,1,6,0.40197994746049481,0.4549661889436728,0.052986241483177987
2,0,0.10000000000000001,0.050000000000000003,-0.14235969669526316,-0.10661469018669667,10.888017995794133,1,6,0.39856847288006453,0.46080656613952808,0.062238093259463556
2,0,0.10000000000000001,0.20000000000000001,-0.23347326147753744,-0.10999147334466364,15.451472691130972,1,6,0.4033433044704321,0.4424590145085231,0.039115710038091001
2,1,0.050000000000000003,0.10000000000000001,-0.05913815842829262,-0.10504670175660769,10.568079861644788,1,6,0.30074933724560632,0.52648480997065605,0.22573547272504974
2,1,0.10000000000000001,0.10000000000000001,-0.0404064311035396,-0.10460103170918134,10.523413775900025,1,6,0.30067585176843842,0.52648276588375886,0.22580691411532045
2,1,0.20000000000000001,0.10000000000000001,-0.023244046319655265,-0.10372462202903066,10.435708319746624,1,6,0.30056747283083429,0.52645569180025942,0.22588821896942513
2,1,0.10000000000000001,0.050000000000000003,-0.02665535555349946,-0.09458873851753713,9.549466876416691,1,6,0.30056526558932867,0.52888446600968853,0.22831920042035986
2,1,0.10000000000000001,0.20000000000000001,-0.058582567255581197,-0.16781137777241806,19.108982322765716,1,6,0.3031770343230305,0.51823224199071161,0.2150552076676811
3,0,0.050000000000000003,0.10000000000000001,-0.32663593494744569,-0.17165090349993795,18.601559258068804,1,6,0.32470120060901614,0.41503444964096292,0.090333249031946783
3,0,0.10000000000000001,0.10000000000000001,-0.23680552963388002,-0.16323956261672568,17.965413740332746,1,6,0.32313454209587789,0.4147140162591858,0.091579474163307917
3,0,0.20000000000000001,0.10000000000000001,-0.16365112997395226,-0.1764749446200059,19.690927792553467,1,6,0.31970297334593756,0.41265378639457845,0.09295081304864089
3,0,0.10000000000000001,0.050000000000000003,-0.16203236866352155,-0.037632244227759348,3.7981101594621487,1,6,0.32299025599457359,0.41793675521215473,0.094946499217581137
3,0,0.10000000000000001,0.20000000000000001,-0.27495316954611271,-0.16524285846702469,22.353044676834848,1,7,0.32761831844168271,0.44344527657810234,0.11582695813641963
3,1,0.050000000000000003,0.10000000000000001,-0.045161267423032836,-0.11894892444474425,11.936632484325616,1,5,0.33543917831221237,0.48558683592501367,0.1501476576128013
3,1,0.10000000000000001,0.10000000000000001,-0.031103642850265414,-0.11946476655874749,11.988498913515638,1,5,0.33550566722344455,0.48560328538070396,0.15009761815725942
3,1,0.20000000000000001,0.10000000000000001,-0.019397867363846022,-0.12043143239930587,12.085794965619503,1,5,0.33565334239690842,0.48562910042202767,0.14997575802511925
3,1,0.10000000000000001,0.050000000000000003,-0.02057695116181596,-0.045613269019138869,4.5675850119970267,1,5,0.33458332323030082,0.48665147915685336,0.15206815592655254
3,1,0.10000000000000001,0.20000000000000001,-0.046638876384979655,-0.20011154259895292,22.359412890224142,1,6,0.33156145908192741,0.53325599038240401,0.2016945313004766
4,0,0.050000000000000003,0.10000000000000001,-0.22195288884095543,-0.17936225488849178,18.865354277859009,1,6,0.38359111457118783,0.45437374482803783,0.070782630256849999
4,0,0.10000000000000001,0.10000000000000001,-0.17603960335305668,-0.17731061816301463,18.664474838370328,1,6,0.38420606667833029,0.45388945913336448,0.069683392455034188
4,0,0.20000000000000001,0.10000000000000001,-0.13191745479392514,-0.18644934678548553,20.134821876299103,1,6,0.38663790507668511,0.45258525548385936,0.065947350407174254
4,0,0.10000000000000001,0.050000000000000003,-0.12583976842369382,-0.097479671036512339,9.8264912632339563,1,6,0.38565463736432232,0.45906883682097216,0.073414199456649842
4,0,0.10000000000000001,0.20000000000000001,-0.20070315604540889,-0.160779950917187,21.235571153862502,1,7,0.38462050921782559,0.48902782105484427,0.10440731183701868
4,1,0.050000000000000003,0.10000000000000001,-0.049874317311720207,-0.032028302603881897,3.2185547451503753,1,5,0.34274687058463288,0.4829712994901505,0.14022442890551762
4,1,0.10000000000000001,0.10000000000000001,-0.034941376061737792,-0.034282537458750539,3.4451226210763792,1,5,0.34278365695638008,0.48299041658581554,0.14020675962943546
4,1,0.20000000000000001,0.10000000000000001,-0.022100995879229923,-0.034469611472536577,3.4640313318760318,1,5,0.34287185991236535,0.48300922286883863,0.14013736295647328
4,1,0.10000000000000001,0.050000000000000003,-0.019081262844423574,-0.056635973897389169,5.6864217838183144,1,5,0.34089701961455199,0.48502075825808882,0.14412373864353684
4,1,0.10000000000000001,0.20000000000000001,-0.053619604214492078,-0.20718012385456985,23.414790681135447,1,6,0.34002266497301809,0.52918384450566391,0.18916117953264583
5,0,0.050000000000000003,0.10000000000000001,-0.24498924412884593,-0.1145759105154962,12.265974324527123,1,7,0.28520737692772197,0.45090292378634012,0.16569554685861815
5,0,0.10000000000000001,0.10000000000000001,-0.17032861449220782,-0.12163081384239627,13.009564669322662,1,7,0.28457312676185953,0.44992853331341565,0.16535540655155612
