network,eta,s_init,s_temporal,condition,target,goBias,cueEqDistance,relativeBias,dispersion,C,endpointRmsM
1,0,0.050000000000000003,0.10000000000000001,1,1,2.1974278732095205,2.0830273445019727,1.0549203201818262,2.8726518067184128,-2.2287020904533343,0.026556861229687437
1,0,0.050000000000000003,0.10000000000000001,1,2,2.9108545401595523,3.256710404129969,0.89380208214650503,2.9297183816191255,-2.5236139292418467,0.031753594329333133
1,0,0.050000000000000003,0.10000000000000001,1,3,2.5612973779140833,2.870440238140243,0.89230123793608285,2.9483586725430744,-2.2236784138820398,0.032640802083458854
1,0,0.050000000000000003,0.10000000000000001,1,4,1.7599941218886295,2.5624824793304231,0.68683167049341787,2.965117901747448,-2.3950694682794005,0.032214977761141107
1,0,0.050000000000000003,0.10000000000000001,1,5,2.645445022106069,2.9547417558016322,0.89532190652930688,2.9274009420044633,-2.4302973173836291,0.033351027929090435
1,0,0.050000000000000003,0.10000000000000001,1,6,2.5560568690365799,2.9725615420443363,0.8598835828571908,2.8237228448599545,-2.1604183718626473,0.025711796459124376
1,0,0.050000000000000003,0.10000000000000001,1,7,2.3193445917681874,3.1076688598083217,0.74632938591508835,2.9508790920924612,-2.3474126504617527,0.027955730744793114
1,0,0.050000000000000003,0.10000000000000001,1,8,2.0834630145124224,2.6604722164658208,0.78311774940469059,2.9221960569352223,-2.3379926814016905,0.024646088874649117
1,0,0.050000000000000003,0.10000000000000001,2,1,2.5356895254952336,2.6930219532760287,0.94157774035618158,3.2506583031671634,-2.5883460651518089,0.057517046955541093
1,0,0.050000000000000003,0.10000000000000001,2,2,2.3378896631072821,2.8364432426616868,0.82423283778223333,3.2636428819684333,-2.6893175717275724,0.067084936138751772
1,0,0.050000000000000003,0.10000000000000001,2,3,1.9295665159635143,2.7523191909349238,0.70106930995458705,3.2899868412559701,-2.4917903383310187,0.075540539974999807
1,0,0.050000000000000003,0.10000000000000001,2,4,2.6746401552359975,2.6829943803129663,0.99688623087015404,3.358351649420225,-2.7945837581187991,0.070611887630660605
1,0,0.050000000000000003,0.10000000000000001,2,5,2.6840480461514482,2.9014349519303479,0.92507607119219737,3.3192100866984262,-2.7570358286224805,0.085762040713274826
1,0,0.050000000000000003,0.10000000000000001,2,6,2.6766715968616497,2.8678923123803592,0.93332360678494386,3.1980569627431743,-2.4720153758301588,0.068415271773232741
1,0,0.050000000000000003,0.10000000000000001,2,7,2.2156588840902773,2.899200135747356,0.76423109145554891,3.3497667014228747,-2.7632918118391934,0.071340555451895479
1,0,0.050000000000000003,0.10000000000000001,2,8,2.3292320802402195,2.8333777085941612,0.8220690355455349,3.2924925865049075,-2.6816762937265444,0.060429514305948423
1,0,0.10000000000000001,0.10000000000000001,1,1,2.195953054680162,2.0937255051148562,1.0488256695137779,2.942061355580154,-1.3545852155536384,0.02645829991629731
1,0,0.10000000000000001,0.10000000000000001,1,2,2.916098986885209,3.2688063510108782,0.89209903363758625,3.0295798005589964,-1.4937475443534962,0.031936974907258192
1,0,0.10000000000000001,0.10000000000000001,1,3,2.5816725991438219,2.8729261487974851,0.89862128903815619,3.0657295630132055,-1.3306430184912859,0.032888149832246923
