network,policy,PR,observed,expected,deficit,normalizedResidualVariance,meanEndpointRmsMM,medianMOms,medianPeakMs,medianPeakMps,separationToScatter,half1PR,half2PR,half1Capture15,half2Capture15,half1OntoHalf2,halfNull
1,1,3.43857966718901,0.999999999999999,0.84824643432485,-0.151753565675149,0.114393995890315,21.0939117386408,56,200,0.419719750722633,6.82421523632302,3.47069917067613,3.47785964666313,0.998329279831732,0.998369997160005,0.976628582350294,0.843922838290329
1,2,3.46146637740327,0.998030835277711,0.84824643432485,-0.149784400952861,0.126301161863863,30.3416438688498,55,200,0.423786337229285,4.85891015994014,3.50106581084202,3.50046700438181,0.998307203607327,0.998344517596717,0.973878844509744,0.842858572925723
1,3,3.92791004742876,0.555643434375919,0.84824643432485,0.292602999948931,0.114402930193193,21.0116687208992,43,190,0.287949910308978,4.43440647408315,3.98846376185648,3.97853651612238,0.997554240002158,0.997650360546939,0.966431964076926,0.525027168667446
1,4,5.65925179313986,0.622808573630838,0.84824643432485,0.225437860694012,0.126346181089187,30.0626316792858,55,206,0.216085434866317,2.81298386545454,5.7181556591696,5.75640048822102,0.996706407813692,0.9968263344168,0.949286473416404,0.451407761470971
2,1,3.90382172766591,1,0.87272674582846,-0.127273254171541,0.123582118665323,18.5014548728588,55,200.5,0.417342962926864,7.87091926502034,3.96543589974019,3.91636636571014,0.998513672356279,0.998459568843969,0.977673203527319,0.866884166209659
2,2,3.91157745359446,0.99800545257913,0.87272674582846,-0.125278706750671,0.134659723136025,27.660785579521,55,200,0.417649947013699,5.22364721631175,3.96892593816399,3.93113582100651,0.998494987967924,0.998441439123961,0.976227382445102,0.866884477119549
2,3,3.94875129498929,0.542248996048175,0.87272674582846,0.330477749780285,0.123762022070265,18.4674533719233,42,189,0.29233809379307,4.89206147258948,4.01611830067764,3.98713543781706,0.997934510423718,0.997853643469402,0.968308423069199,0.542675194400397
2,4,5.89105649033349,0.616939480062161,0.87272674582846,0.255787265766299,0.134895543876,27.383390236232,52,203,0.218893826111415,2.54753875642112,5.97732114791344,5.94979253155995,0.997083776059338,0.99697743290569,0.952973432335457,0.459442633290898
3,1,3.25011152703259,1,0.873455528736765,-0.126544471263236,0.113263859618599,17.4326987075806,56,201,0.416793616791471,8.43424084548965,3.28081311486401,3.2935678114359,0.998387770203481,0.998365232361942,0.976239736829475,0.868416948354349
3,2,3.28799552700476,0.998124756309368,0.873455528736765,-0.124669227572603,0.123019454945252,24.7577008237767,56,201,0.416395812245965,5.91759089412511,3.32422467609032,3.33285321962444,0.998358184030667,0.998353382417881,0.973696519749956,0.867061334425558
3,3,3.72858167318132,0.564457030605215,0.873455528736765,0.30899849813155,0.113187185350567,17.1872276672484,43.5,189,0.291924400685723,5.1281863203935,3.78960050444809,3.77431605279053,0.997804121844524,0.997735395448277,0.966739363633516,0.5601808899879
3,4,5.50576935483689,0.638449306653775,0.873455528736765,0.23500622208299,0.122931172731215,24.1123861895653,56,201,0.196811052667206,2.96347834298075,5.62698433577676,5.55149940383986,0.996816378702302,0.996738303545837,0.947240269834821,0.458488111003339
4,1,3.34468987266365,1,0.878513612520482,-0.121486387479519,0.125863051974729,20.330671739381,56,200,0.416213349310234,7.08964855308412,3.39398751925369,3.37276338017292,0.998342458393366,0.998395708193287,0.974587067247113,0.872535427661172
4,2,3.36453933285217,0.996981339986822,0.878513612520482,-0.11846772746634,0.137293604680406,29.0334059031357,55,199.5,0.414434234768858,4.86805771689789,3.42120461042342,3.39037173676305,0.998309276273152,0.998380226725376,0.971788628491017,0.872140510862961
4,3,4.29435024585376,0.571965433546865,0.878513612520482,0.306548178973617,0.125831260200117,20.1885312673124,41,187,0.274499086163613,4.11278048117451,4.39391106174004,4.32125624437648,0.997512868769296,0.997564408246729,0.959928797207503,0.516990598185396
4,4,5.52234109222757,0.658248952285197,0.878513612520482,0.220264660235285,0.137257449058848,28.1500402063707,52,198,0.199658984811743,2.36883189103939,5.64668858466468,5.55632228141366,0.996718770399632,0.996814552523834,0.941489024363121,0.467298816133706
5,1,3.98170929917181,1,0.861744482869178,-0.138255517130822,0.136646020363604,20.2396383032618,55,200,0.415208613813511,7.22544043960213,4.05147613961583,4.01078157457431,0.998339905514425,0.998366934408982,0.970339556801637,0.853479825404897
5,2,4.01438747099676,0.997550614552394,0.861744482869178,-0.135806131683216,0.148647282304283,31.681008104298,55,201,0.417303763197058,4.77448816608611,4.09730855400921,4.03713163730434,0.998304043340384,0.9983324476825,0.967947232897397,0.851079630569099
5,3,4.21339193978058,0.546562711663432,0.861744482869178,0.315181771205746,0.136756074879503,19.997928480008,43,189.5,0.287370231486793,4.6436757386272,4.34318736102073,4.2286680109424,0.997541471600268,0.997592132893818,0.955634767430347,0.526177860990974
5,4,5.94246389351161,0.614401586066607,0.861744482869178,0.247342896802572,0.148801312771956,30.4875192853103,55,205,0.218155034410799,2.4044391345441,6.08142152267217,5.9886993328888,0.996709546952861,0.996732781140969,0.936212519754781,0.443778852443999
6,1,3.87298122477783,1,0.873800127023721,-0.126199872976279,0.119946707925,17.7139518245326,56,200,0.416365111216693,8.18132259594809,3.90933850862561,3.91461580727244,0.99841989630587,0.998417650048981,0.976916150084842,0.868697253064805
6,2,3.86083500083886,0.998526683728615,0.873800127023721,-0.124726556704894,0.129040371462708,27.2676458172097,56,200,0.416533167771857,5.29650077052512,3.89605168702752,3.90844330878781,0.99839848453415,0.998397046391908,0.974813356213076,0.868612446892875
6,3,3.8995619833682,0.563263923724127,0.873800127023721,0.310536203299595,0.119999191773484,17.5824414731249,44,192,0.287381651940553,5.67381964613794,3.95379544113493,3.95589738737526,0.997719962885854,0.997711056766057,0.966652978910591,0.542868720665525
6,4,5.85498757294032,0.624159657064194,0.873800127023721,0.249640469959527,0.129138706934823,26.9534030462451,60,212,0.220213802917272,3.29271600651411,5.86368817594268,5.99714848362523,0.996871714040191,0.996864155084505,0.950841903250112,0.452336945426995
7,1,3.48780213961307,1,0.863823800563712,-0.136176199436288,0.127818018760983,19.8001586633541,55,201,0.415045910553417,7.3690128343728,3.52547336181518,3.52739303494906,0.998393104231479,0.998444139700932,0.974135223364633,0.856583469952363
7,2,3.51064166968995,0.99740434091562,0.863823800563712,-0.133580540351908,0.140005996420409,31.3438494618173,55,200,0.416860630030823,4.63842688821275,3.55689022354146,3.54720102310155,0.998366604533972,0.998433269011265,0.971356150442989,0.855864588469246
7,3,3.85737621423184,0.533390309711976,0.863823800563712,0.330433490851737,0.127816941079725,19.5750858434184,41,190,0.298330751796354,5.31854001032228,3.92398186423322,3.90468363097623,0.997722200084878,0.997827795944195,0.96373562373167,0.536114373527104
7,4,5.66097438081272,0.628549571119541,0.863823800563712,0.235274229444172,0.139994448286085,30.6274858185483,54,206,0.225044286225439,2.81653671847685,5.79513960491474,5.68359510825997,0.99681526781593,0.996982973352785,0.944203484817275,0.450177364235493
8,1,3.56485670850732,0.999999999999999,0.863269898823161,-0.136730101176838,0.12472447970025,19.7064704674893,55,201,0.419199085593391,7.34554508416508,3.61444113962189,3.59605450565478,0.998367138405165,0.998408782767334,0.974073560162373,0.857453812203962
8,2,3.6024342216738,0.996931918210072,0.863269898823161,-0.133662019386911,0.136477483155483,28.821768869374,55,200,0.42025222975217,4.90786093933818,3.65030645509067,3.64178991440102,0.998344371249705,0.998379626754761,0.971183201391661,0.857240663861414
8,3,4.02127798132067,0.508018405077738,0.863269898823161,0.355251493745424,0.124740898144019,19.5167986189359,42,189,0.277987822013471,4.88760955025096,4.0730662139245,4.08927812403217,0.997664644964955,0.997726336610864,0.963706333681373,0.521587620852838
8,4,5.7570447631856,0.627883735731269,0.863269898823161,0.235386163091893,0.136493701012339,28.2390920621054,56,207,0.200657675485508,2.89182231370261,5.82705126358786,5.84105459690819,0.996814095790729,0.996895695984573,0.945162410184408,0.453143022624356
9,1,3.26348969540811,1,0.867921993410489,-0.132078006589511,0.127135418423788,19.3601547646776,55.5,201,0.418389990266252,7.59851381854171,3.28015826508869,3.32111542311802,0.998334981606424,0.99839390662099,0.974576894012188,0.862272967135524
9,2,3.29349405654425,0.996645237793685,0.867921993410489,-0.128723244383196,0.139179450463462,29.5130667193187,55,201,0.418737182496986,5.06411010700671,3.31480533925813,3.35189805502093,0.998316894304041,0.998374855587708,0.97211141277503,0.861903745622951
9,3,3.60388928020477,0.53895103949656,0.867921993410489,0.328970953913929,0.127180610563662,19.2140650154411,42,188,0.296422324192916,4.84159524128054,3.65258388354595,3.66359841202873,0.997671663851435,0.997752783169723,0.964427464037549,0.556286039572565
9,4,5.48698861843301,0.631052747510296,0.867921993410489,0.236869245900193,0.139233902235428,28.8898161927712,55,201,0.210703604364398,2.73867620993188,5.55216689221755,5.58118733109944,0.996690760788374,0.996856069422497,0.945232404599316,0.453731898818992
10,1,3.38395520287261,1,0.887533928699126,-0.112466071300874,0.135193514591588,22.6867703417239,56,201,0.415389059459484,6.33017641806135,3.41711633730642,3.42692350536184,0.9983491635399,0.99842974036279,0.975113923996619,0.883020926342616
10,2,3.39749506884097,0.997181035168272,0.887533928699126,-0.109647106469146,0.146637995228264,35.4864214892953,56,200,0.416611456523893,4.02670762017742,3.43292683965695,3.44460661352871,0.9983225086964,0.998400134222681,0.973180627075604,0.882149721369433
10,3,4.05088136673494,0.569052474096992,0.887533928699126,0.318481454602135,0.13523539730145,22.4621413966307,44,191.5,0.277694252707398,4.32519816668508,4.11911222808418,4.10578366432882,0.997537477911286,0.997646554903894,0.961803016935759,0.531923687731941
10,4,5.58599363892999,0.640590371672692,0.887533928699126,0.246943557026434,0.146670531058606,34.8676772178604,59,212,0.212027273667457,2.13811094268619,5.66692250456115,5.67705351790338,0.996746828094765,0.996893983533831,0.946408164234621,0.453836190875118
