network,eta,condition,spectral,biasRatio,goRms,convergence,pr,controlK,observed,expected,r2,prepAdmissible,undefined
1,1,1,-7.03157927131046,0.0982926353024952,1.31261841182475,-0.0830565960939361,3.43857966718901,6,0.317370500727709,0.512042687433079,0.995956657784691,1,0
1,1,2,-7.06973326665221,0.103971468487143,1.38266966990148,-0.129928336983679,6.75789524213918,6,0.317370500727709,0.512042687433079,0.967146121249002,1,0
1,0.75,1,-5.58304793771225,0.134686315416985,1.49238231912511,-0.213645618451327,3.47712354203817,6,0.319262978863114,0.506522455691987,0.988213776380027,1,0
1,0.75,2,-5.62120193305396,0.143154778774689,1.59147716271327,-0.283155106092563,6.76391678071055,6,0.319262978863114,0.506522455691987,0.956808119241254,1,0
1,0.5,1,-4.13451660411404,0.223201454629128,1.7648098557657,-0.423721699364329,3.53393482887055,6,0.325350845795207,0.493127722585644,0.986536387013444,1,0
1,0.5,2,-4.17267059945582,0.23421738433047,1.91325452233502,-0.521477623265979,6.75582765756525,6,0.325350845795207,0.493127722585644,0.920455852004766,1,0
1,0.25,1,-2.68598527051587,0.423006590923349,2.21384919983947,-0.774738661789904,3.56764071183177,6,0.35105778363755,0.46184054868676,0.971451821095863,1,0
1,0.25,2,-2.72413926585761,0.435655583247873,2.45032132146746,-0.924827180834105,6.68098618411515,6,0.35105778363755,0.46184054868676,0.844341273370053,1,0
1,0,1,-1.23745393691769,0.850602236812663,3.01508451138059,-1.40005760938178,3.45326401129051,7,0.402182674751605,0.452525477188499,0.931446807685009,1,0
1,0,2,-1.27560793225942,0.860098279636626,3.41143131989044,-1.62921791789398,6.43805434913065,7,0.402182674751605,0.452525477188499,0.794752350388286,1,0
2,1,1,-6.81176663538013,0.0964533963153903,1.3491161445452,-0.107762264792625,3.90382172766591,6,0.300675851768438,0.526482765883759,0.993983833922136,1,0
2,1,2,-6.80694594356299,0.10179402875289,1.4091855988593,-0.148168695896164,6.80018712106041,6,0.300675851768438,0.526482765883759,0.889382802212955,1,0
2,0.75,1,-5.42898792527939,0.132373431480646,1.52958933777248,-0.232682729100856,3.87704921990377,6,0.304458410065272,0.524975578709814,0.985582283755581,1,0
2,0.75,2,-5.42416723346222,0.142575558628083,1.61308492050736,-0.290224743852612,6.7914064987831,6,0.304458410065272,0.524975578709814,0.963484468663689,1,0
2,0.5,1,-4.04620921517865,0.215228924016305,1.79906703161455,-0.429809903517774,3.81315917705848,6,0.314249413438377,0.519008063730589,0.984942926696222,1,0
2,0.5,2,-4.0413885233615,0.232163374574938,1.92148314564253,-0.514968191112746,6.76243163442789,6,0.314249413438377,0.519008063730589,0.925381704018647,1,0
2,0.25,1,-2.66343050507792,0.395540644834825,2.23331262741991,-0.762738670863717,3.66726440139002,6,0.340416620183054,0.499767254771278,0.962409665764075,1,0
2,0.25,2,-2.6586098132608,0.421418248394043,2.42346323695917,-0.890723089468407,6.6529036634966,6,0.340416620183054,0.499767254771278,0.874708110684562,1,0
2,0,1,-1.28065179497716,0.769026021210227,2.98174068272178,-1.31892333889652,3.40072303272471,6,0.401103096477098,0.456640919593005,0.90311145907776,1,0
2,0,2,-1.27583110316002,0.805927606137434,3.2924066913181,-1.52269624680917,6.30739344843638,6,0.401103096477098,0.456640919593005,0.812541447533184,1,0
3,1,1,-6.79725230421686,0.0922180124261402,1.29133568536711,-0.0664411101443687,3.25011152703259,5,0.335505667223445,0.485603285380704,0.99649478571554,1,0
3,1,2,-7.4281343728978,0.0976770631076528,1.34868863682703,-0.0975447529946341,6.71763165853323,5,0.335505667223445,0.485603285380704,0.877030019156792,1,0
3,0.75,1,-5.25798852078059,0.123112672837146,1.47391912750283,-0.193336404206734,3.29386518553185,5,0.330211333138902,0.480793332962962,0.995932994969823,1,0
3,0.75,2,-5.88887058946159,0.136571079849297,1.55544039109234,-0.2437360960432,6.73763227443271,5,0.330211333138902,0.480793332962962,0.956537312296705,1,0
3,0.5,1,-3.71872473734438,0.198991718760766,1.75496587275805,-0.401803658814187,3.384282733513,6,0.3140540125346,0.522692454569693,0.989568332894807,1,0
3,0.5,2,-4.34960680602537,0.230261809553103,1.87919847075993,-0.482193556462235,6.77644950683005,6,0.3140540125346,0.522692454569693,0.907599495233552,1,0
3,0.25,1,-2.17946095390821,0.37882247051083,2.22823959956543,-0.772135029512648,3.53950054526163,6,0.30751543496543,0.487955794346394,0.960141605969275,1,0
3,0.25,2,-2.81034302258915,0.445856871787041,2.43391223886547,-0.914206464407379,6.8211585380095,6,0.30751543496543,0.487955794346394,0.807066591301781,1,0
3,0,1,-0.640197170471969,0.785387164687015,3.0951081655175,-1.43941967903619,3.64998451556181,6,0.323134542095878,0.414714016259186,0.908632358687344,1,0
3,0,2,-1.27107923915292,0.917103041827173,3.45743150603449,-1.67622520867007,6.74555445316393,6,0.323134542095878,0.414714016259186,0.745392796070619,1,0
4,1,1,-6.81782836097792,0.106608305870692,1.36404078112077,-0.112947307791413,3.34468987266365,5,0.34278365695638,0.482990416585816,0.995103548681221,1,0
4,1,2,-6.66666666666662,0.102958673677642,1.42643860872594,-0.147888683853151,6.71272327114758,5,0.34278365695638,0.482990416585816,0.96082101122247,1,0
4,0.75,1,-5.47119592977044,0.159574520859062,1.55011703148108,-0.247743490804519,3.33308323900451,6,0.336880815543251,0.534841879474932,0.994284656542841,1,0
4,0.75,2,-5.32003423545919,0.147273269847723,1.63745410324051,-0.301550748434427,6.70785736479268,6,0.336880815543251,0.534841879474932,0.951864906126619,1,0
4,0.5,1,-4.124563498563,0.27577845223962,1.82873927775212,-0.462010958320206,3.2788950707406,6,0.342540272031328,0.524934813829689,0.985807353470465,1,0
4,0.5,2,-3.97340180425172,0.243793093666766,1.95806234196089,-0.541649038892637,6.68594895121864,6,0.342540272031328,0.524934813829689,0.873778477426261,1,0
4,0.25,1,-2.77793106735554,0.518748602323119,2.27817997026589,-0.815036012688181,3.09981556756601,6,0.357548703941723,0.49966574260799,0.973905520401743,1,0
4,0.25,2,-2.62676937304428,0.444120023623347,2.48015529997778,-0.930201382130745,6.58330991135588,6,0.357548703941723,0.49966574260799,0.822017231917364,1,0
4,0,1,-1.43129863614806,1.0067486961832,3.04297904681663,-1.4039877046006,2.76748364472982,6,0.38420606667833,0.453889459133364,0.949989858801172,1,0
4,0,2,-1.28013694183682,0.841897051133705,3.372883590926,-1.58002730795365,6.24964568472786,6,0.38420606667833,0.453889459133364,0.772679240638158,1,0
5,1,1,-6.73169794808341,0.101803105575891,1.34267499084403,-0.0930296353855145,3.98170929917181,6,0.293626015359861,0.521700076613373,0.991885424020541,1,0
5,1,2,-6.66666666666667,0.102991329749178,1.40482745418531,-0.129483502877661,6.82485947768546,6,0.293626015359861,0.521700076613373,0.974982729785259,1,0
5,0.75,1,-5.38533559769574,0.131514232478003,1.5160616698458,-0.214977495294254,4.00821773346566,6,0.291977214528771,0.517002139040558,0.991688738653841,1,0
5,0.75,2,-5.32030431627902,0.138768825167234,1.60134950999042,-0.264761080874575,6.83990439733666,6,0.291977214528771,0.517002139040558,0.967198646948961,1,0
5,0.5,1,-4.03897324730812,0.195798143293987,1.77328294851712,-0.404673257966385,4.05526271476976,6,0.287847551419973,0.505051623681015,0.989697809626529,1,0
5,0.5,2,-3.97394196589134,0.217935027487896,1.89593861324249,-0.480639921570463,6.86198812734664,6,0.287847551419973,0.505051623681015,0.946210834046184,1,0
5,0.25,1,-2.69261089692045,0.332916177156444,2.1856336786694,-0.720431848829584,4.13351080833954,6,0.279606116370518,0.473814941859291,0.977293978374881,1,0
5,0.25,2,-2.6275796155037,0.38493131138365,2.37083633176774,-0.834664798138718,6.87110402238727,6,0.279606116370518,0.473814941859291,0.874216098630883,1,0
5,0,1,-1.3462485465328,0.612971112243995,2.89400351746067,-1.24767920200567,4.21222187182446,7,0.28457312676186,0.449928533313416,0.934933773220014,1,0
5,0,2,-1.28121726511605,0.719175532533902,3.18450612759217,-1.41800781649788,6.77099132964506,7,0.28457312676186,0.449928533313416,0.813302959377618,1,0
6,1,1,-6.81771922091773,0.0881275811506373,1.26906876520336,-0.0623490724417447,3.87298122477783,6,0.303571888036046,0.54230973232347,0.995499368189721,1,0
6,1,2,-7.35684101929566,0.0921678541080711,1.31536752311047,-0.0930109058880202,6.78646933508153,6,0.303571888036046,0.54230973232347,0.942184145833001,1,0
6,0.75,1,-5.29928817627749,0.110772345649566,1.43638198258415,-0.17961356473941,3.87575396774083,6,0.306544900252207,0.540959620265816,0.992300079335211,1,0
6,0.75,2,-5.83840997465543,0.123145012149027,1.50157208811238,-0.225228360445755,6.77451996397709,6,0.306544900252207,0.540959620265816,0.965874712309203,1,0
6,0.5,1,-3.78085713163724,0.165032388320154,1.6867010416145,-0.363590209794328,3.86993428393132,6,0.312287977647151,0.536176157872943,0.981198860125845,1,0
6,0.5,2,-4.31997893001522,0.197801969709292,1.78528954229956,-0.436688813320759,6.73366724154304,6,0.312287977647151,0.536176157872943,0.920016383269205,1,0
6,0.25,1,-2.26242608699703,0.294577234841895,2.09588471577488,-0.677383624700224,3.83089058414115,6,0.33227135575094,0.51912189106271,0.961735346213338,1,0
6,0.25,2,-2.80154788537492,0.371305451666026,2.25759284000849,-0.795689329009756,6.56658395424589,6,0.33227135575094,0.51912189106271,0.850560678124399,1,0
6,0,1,-0.743995042356765,0.586782857048702,2.82961492598798,-1.23673153197205,3.69905883968804,6,0.382231544046205,0.470496135436111,0.921490359310613,1,0
6,0,2,-1.28311684073469,0.75499619871893,3.1100112312789,-1.42961495185151,5.98979982485548,6,0.382231544046205,0.470496135436111,0.812762114659248,1,0
7,1,1,-6.81404805150894,0.100185000225638,1.36763533319812,-0.104310389466281,3.48780213961307,6,0.318500299290023,0.525105199186607,0.994257265080799,1,0
7,1,2,-6.66666666666668,0.105792782867079,1.43184409822181,-0.146187785189723,6.75026426777401,6,0.318500299290023,0.525105199186607,0.973771912148676,1,0
7,0.75,1,-5.46596156980923,0.134547318591584,1.55338281570481,-0.230293279806686,3.50422571226941,6,0.317473315921765,0.521201031272807,0.990725914212541,1,0
7,0.75,2,-5.31858018496702,0.147090398165033,1.64326678376063,-0.289134057039863,6.75064387667546,6,0.317473315921765,0.521201031272807,0.965269387950777,1,0
7,0.5,1,-4.11787508810955,0.211084697897616,1.83008673356731,-0.43256657217347,3.52187775950624,6,0.315589097991543,0.510684507880882,0.988854678449098,1,0
7,0.5,2,-3.97049370326728,0.23766389755742,1.9633193989482,-0.517517388714979,6.7346587738466,6,0.315589097991543,0.510684507880882,0.922946897630653,1,0
7,0.25,1,-2.76978860640984,0.374207966064772,2.27335153362488,-0.756855791043477,3.51652615877284,6,0.315336138370233,0.483281631479688,0.967808481889552,1,0
7,0.25,2,-2.6224072215676,0.426789432168691,2.48275967882009,-0.884189577011686,6.63645731199936,6,0.315336138370233,0.483281631479688,0.869497088475809,1,0
7,0,1,-1.42170212471013,0.708697428790388,3.03398004134524,-1.31020930469914,3.42244450183621,6,0.329451948681151,0.425726563999597,0.92149223284695,1,0
7,0,2,-1.2743207398679,0.805695913107441,3.37583143069071,-1.49989619935284,6.31069860158533,6,0.329451948681151,0.425726563999597,0.818722049961046,1,0
8,1,1,-6.8331207420525,0.0986783267343605,1.350399430197,-0.111832752362346,3.56485670850732,6,0.321403346392071,0.533303168172414,0.995855258276917,1,0
8,1,2,-6.66666666666669,0.102535992786814,1.41350603253099,-0.157933988174117,6.78064099840589,6,0.321403346392071,0.533303168172414,0.974690712352195,1,0
8,0.75,1,-5.48623646983065,0.133037881834166,1.53053568329929,-0.246069615089512,3.57075702671191,6,0.323979340533842,0.528224036735494,0.995440048938629,1,0
8,0.75,2,-5.31978239444481,0.144254419858393,1.61947192174858,-0.309279963102332,6.77966396008945,6,0.323979340533842,0.528224036735494,0.966216417628612,1,0
8,0.5,1,-4.13935219760877,0.208893896332512,1.79979047362943,-0.448682732338236,3.57839824420867,6,0.328234011492694,0.514975918094041,0.986735154966588,1,0
8,0.5,2,-3.972898122223,0.23815760411897,1.93250592655024,-0.543947326099699,6.76274356900015,6,0.328234011492694,0.514975918094041,0.955376662871554,1,0
8,0.25,1,-2.79246792538698,0.369234545497224,2.23332599985363,-0.786861583152148,3.5856202131044,6,0.334253437244042,0.480729312250274,0.967751869298071,1,0
8,0.25,2,-2.62601385000116,0.436015870891837,2.44220602053133,-0.930386655810645,6.66893032031491,6,0.334253437244042,0.480729312250274,0.888804071792334,1,0
8,0,1,-1.44558365316515,0.695925188159188,2.97898900707136,-1.35400115602434,3.57256977060387,7,0.341851849229392,0.450394213759027,0.926998787179133,1,0
8,0,2,-1.27912957777933,0.836149939045875,3.32211415759038,-1.56713233752528,6.28838791985133,7,0.341851849229392,0.450394213759027,0.849410853390347,1,0
9,1,1,-6.66708761923484,0.100923244133915,1.35564152664758,-0.0911915741645876,3.26348969540811,6,0.331499742584468,0.546729004318698,0.993707056370833,1,0
9,1,2,-6.66666666666669,0.106169918447885,1.41914038757832,-0.13645677827048,6.70869459802664,6,0.331499742584468,0.546729004318698,0.971631785130592,1,0
9,0.75,1,-5.32028668325044,0.137196599353349,1.53407154189772,-0.213713370123424,3.26797154341965,6,0.33024274763151,0.542606099985852,0.993442224605624,1,0
9,0.75,2,-5.31986573068231,0.146461244620763,1.62353914345057,-0.279965587600473,6.7071299240556,6,0.33024274763151,0.542606099985852,0.961835717361627,1,0
9,0.5,1,-3.9734857472661,0.218397368550318,1.79831342269627,-0.404912248938746,3.26395099695881,6,0.328240377411562,0.531468959696587,0.988445583693178,1,0
9,0.5,2,-3.97306479469795,0.233324837609948,1.93091554664075,-0.504974642319044,6.6923247634013,6,0.328240377411562,0.531468959696587,0.932641148522565,1,0
9,0.25,1,-2.62668481128179,0.39012536771122,2.2198693950205,-0.72170860075833,3.23043153858252,6,0.327617269592134,0.502754335844711,0.974039205807457,1,0
9,0.25,2,-2.62626385871362,0.413612553581469,2.42691371177487,-0.872773467437552,6.61493455366524,6,0.327617269592134,0.502754335844711,0.880205830828817,1,0
