network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
1,1,1,1,0.261279662266163,2.09372550511486,0.124791746400314,1.28564002678727,-0.0653290957412684
1,1,1,2,0.287023475441746,3.26880635101088,0.0878068152776882,1.32220314613361,-0.132980815784207
1,1,1,3,0.294033562739297,2.87292614879749,0.102346370045875,1.30689670950864,-0.0322774498526307
1,1,1,4,0.253927958811157,2.56284545336368,0.0990804804393811,1.30819359998588,-0.0709866352743237
1,1,1,5,0.301964289132384,2.95252255890528,0.102273321577717,1.31622328952107,-0.106452373980931
1,1,1,6,0.286959374101334,2.99177235419865,0.0959161794842495,1.27717046630705,-0.017156552987267
1,1,1,7,0.248974380307718,3.10564112741662,0.0801684322472969,1.36831833113444,-0.128551930310865
1,1,1,8,0.251575762681064,2.67754174221754,0.0939577369474393,1.31630172522004,-0.110717914819996
1,1,2,1,0.29701635795747,2.70869856975397,0.109652790928467,1.35562332770352,-0.121771713776691
1,1,2,2,0.291867133458956,2.82696261476829,0.1032440726079,1.38366939433139,-0.159332741734751
1,1,2,3,0.283871952216952,2.7418082460804,0.103534575265344,1.38374022733751,-0.0891629975421961
1,1,2,4,0.296152178937306,2.6823134333279,0.110409236764652,1.37853403627456,-0.12046406638525
1,1,2,5,0.341746374849863,2.91069827731601,0.117410443230479,1.38578246617912,-0.153815725714191
1,1,2,6,0.281535820994758,2.883066250585,0.0976515267166102,1.34820442804556,-0.0684942950401577
1,1,2,7,0.272442129377187,2.89273334128607,0.0941815567611437,1.44171021010921,-0.185896794729659
1,1,2,8,0.272727396733238,2.85018698054014,0.0956875456225521,1.38409326923095,-0.140488360946536
1,0.75,1,1,0.357305018294784,2.09372550511486,0.170655139569111,1.46151644379527,-0.199951409403743
1,0.75,1,2,0.410082593702332,3.26880635101088,0.125453315267671,1.50475918802695,-0.270091907052334
1,0.75,1,3,0.401859894178891,2.87292614879749,0.139878254213773,1.48754666185991,-0.157675485103038
1,0.75,1,4,0.327706528765267,2.56284545336368,0.12786823658647,1.49080381696956,-0.204138160126632
1,0.75,1,5,0.412213399052394,2.95252255890528,0.139613971046248,1.49666179714458,-0.242300882380623
1,0.75,1,6,0.397718596636324,2.99177235419865,0.132937452971034,1.44709096219231,-0.139119588867473
1,0.75,1,7,0.346348625802723,3.10564112741662,0.111522423742124,1.55504797429126,-0.262452737082694
1,0.75,1,8,0.34690694010679,2.67754174221754,0.129561729939449,1.49563170872101,-0.233434777594081
1,0.75,2,1,0.421905989257883,2.70869856975397,0.1557596677493,1.56139186724444,-0.273667421748727
1,0.75,2,2,0.391738560097616,2.82696261476829,0.138572246428425,1.59123497045947,-0.311560311793352
1,0.75,2,3,0.369565677761377,2.7418082460804,0.134789031395502,1.59506493248424,-0.23158647916317
1,0.75,2,4,0.421147217820658,2.6823134333279,0.157008950776549,1.59102705908232,-0.286137660789408
1,0.75,2,5,0.468532170133244,2.91069827731601,0.160968992830574,1.59493381825007,-0.311343550792505
1,0.75,2,6,0.391200344684732,2.883066250585,0.135688988973234,1.54884247259675,-0.213583401464598
1,0.75,2,7,0.36940710322854,2.89273334128607,0.127701747671047,1.65857550490054,-0.347830337175287
1,0.75,2,8,0.384058717829541,2.85018698054014,0.134748604372882,1.59074667668831,-0.289531685813456
1,0.5,1,1,0.585873635671798,2.09372550511486,0.279823517572165,1.72834973057866,-0.406419942910028
1,0.5,1,2,0.716875392209439,3.26880635101088,0.219308002747775,1.77944524311624,-0.489065304903777
1,0.5,1,3,0.667835342411245,2.87292614879749,0.232458235200644,1.76551420984395,-0.358571893940549
1,0.5,1,4,0.500628282899533,2.56284545336368,0.19534080068795,1.76886851919533,-0.425482436791891
1,0.5,1,5,0.684433089367326,2.95252255890528,0.23181299235224,1.77016092605671,-0.45406869843939
1,0.5,1,6,0.668068535907592,2.99177235419865,0.2233019283603,1.70662719205949,-0.340800691276552
1,0.5,1,7,0.58963839952124,3.10564112741662,0.189860442765234,1.83208495054805,-0.476008773427527
1,0.5,1,8,0.57220597874637,2.67754174221754,0.213705717346714,1.76742807472716,-0.439355853224916
1,0.5,2,1,0.697916278037507,2.70869856975397,0.257657417414629,1.87909101744111,-0.511077660661505
1,0.5,2,2,0.633654287344792,2.82696261476829,0.22414668097644,1.90925909991627,-0.55344729662585
1,0.5,2,3,0.566617198726985,2.7418082460804,0.206658215262501,1.92014433111844,-0.462430555911382
1,0.5,2,4,0.705448192231506,2.6823134333279,0.262999910251453,1.9209548963932,-0.538614661957436
1,0.5,2,5,0.752833476233096,2.91069827731601,0.258643598376433,1.91882503579757,-0.550734188173239
1,0.5,2,6,0.672783611126641,2.883066250585,0.233356972282593,1.86025812166322,-0.438024800435816
1,0.5,2,7,0.595528298097184,2.89273334128607,0.205870444260313,1.98721713940786,-0.598032584730657
1,0.5,2,8,0.639598591609665,2.85018698054014,0.224405835819395,1.91028653694245,-0.519459237631951
1,0.25,1,1,1.09877109772036,2.09372550511486,0.524792335497716,2.1666054059377,-0.748638395484493
1,0.25,1,2,1.40992073846475,3.26880635101088,0.431325868547929,2.22745121817472,-0.85789794471312
1,0.25,1,3,1.27457928820019,2.87292614879749,0.443651950027915,2.23170740719957,-0.714531547859922
1,0.25,1,4,0.89579089452749,2.56284545336368,0.349529813961971,2.22908559174146,-0.788335424006949
1,0.25,1,5,1.30760005892168,2.95252255890528,0.442875552289262,2.22115363215622,-0.794435900148477
1,0.25,1,6,1.26920971347276,2.99177235419865,0.424233385167675,2.14038777451212,-0.687869615768
1,0.25,1,7,1.14269694862366,3.10564112741662,0.367942367370114,2.27864123769614,-0.829748212883491
1,0.25,1,8,1.07021732891363,2.67754174221754,0.399701454524207,2.21576133129787,-0.776452253454783
1,0.25,2,1,1.28972157785978,2.70869856975397,0.476140679609441,2.40686858639355,-0.908741030263517
1,0.25,2,2,1.17969773752783,2.82696261476829,0.41730220674479,2.43522869197353,-0.937013166725327
1,0.25,2,3,1.00574206590817,2.7418082460804,0.366817069481771,2.45885405650248,-0.860072332821805
1,0.25,2,4,1.32939158940203,2.6823134333279,0.495613813391182,2.47532002988031,-0.967284905827973
1,0.25,2,5,1.37713070139709,2.91069827731601,0.473127260262427,2.46469975914132,-0.965908119906629
1,0.25,2,6,1.31386813477146,2.883066250585,0.455719022934302,2.38549564978757,-0.831133605658335
1,0.25,2,7,1.10421129724507,2.89273334128607,0.381719006548371,2.52805820528879,-1.01336339267812
1,0.25,2,8,1.1936742884791,2.85018698054014,0.418805607010698,2.44804559277212,-0.915100892791135
1,0,1,1,2.19595305468016,2.09372550511486,1.04882566951378,2.94206135558015,-1.35458521555364
1,0,1,2,2.91609898688521,3.26880635101088,0.892099033637586,3.029579800559,-1.4937475443535
1,0,1,3,2.58167259914382,2.87292614879749,0.898621289038156,3.06572956301321,-1.33064301849129
1,0,1,4,1.75022411070107,2.56284545336368,0.682922221628283,3.05223754761086,-1.43346473991155
1,0,1,5,2.65118406350818,2.95252255890528,0.897938630650521,3.02289114100806,-1.45489851180721
1,0,1,6,2.54010544376544,2.99177235419865,0.849030321508472,2.94374687415457,-1.33345797619332
1,0,1,7,2.30967865274258,3.10564112741662,0.743704297432414,3.04908595899356,-1.40094478044713
1,0,1,8,2.1197466905789,2.67754174221754,0.791676431092098,3.01534385012533,-1.39871908829661
1,0,2,1,2.51284748621382,2.70869856975397,0.927695504502764,3.33870984160025,-1.60308317300537
1,0,2,2,2.33154552281755,2.82696261476829,0.824752867490132,3.36405928001307,-1.59898246865161
1,0,2,3,1.93311288171474,2.7418082460804,0.705050356631706,3.41509792517633,-1.5284110582491
1,0,2,4,2.67235346219131,2.6823134333279,0.996286798174727,3.47380179700149,-1.71321837184223
1,0,2,5,2.68193212624509,2.91069827731601,0.921405061852763,3.4620314230069,-1.74073676368385
1,0,2,6,2.67098503276353,2.883066250585,0.92643900646458,3.33123435528274,-1.50368293389917
1,0,2,7,2.19280410748166,2.89273334128607,0.758038798870679,3.48792657937982,-1.69390497428521
1,0,2,8,2.34033938590894,2.85018698054014,0.821117843105656,3.41858935766291,-1.65172359953526
