Network,Lambda,PrepPR,Observed,Expected,Deficit,Kref,Klambda,CommonK,ReferenceCaptured,ComparisonCaptured
1,0.1,3.71306541178025,1,0.441690236208327,-0.558309763791673,6,6,6,0.964059275671943,0.964059275671943
1,0.2,3.72522810248442,0.996785562858972,0.441690236208327,-0.555095326650645,6,6,6,0.964059275671943,0.961992892839008
1,0.5,3.70900220576022,0.97740610685064,0.441690236208327,-0.535715870642313,6,6,6,0.964059275671943,0.959077678563303
1,1,3.65957317481218,0.945261348063721,0.441690236208327,-0.503571111855394,6,6,6,0.964059275671943,0.956896732665261
1,2,3.57476696868336,0.897407511182596,0.441690236208327,-0.455717274974269,6,6,6,0.964059275671943,0.95499299420428
1,5,3.42921062897895,0.822242244791461,0.441690236208327,-0.380552008583135,6,6,6,0.964059275671943,0.953317678101969
1,10,3.33357936087167,0.769640635839286,0.441690236208327,-0.32795039963096,6,6,6,0.964059275671943,0.952240155525741
1,100,3.29215249458718,0.67553405012036,0.484388329759144,-0.191145720361216,6,7,7,0.987778325405472,0.970764404114255
2,0.1,3.43047746515163,1,0.498476541048417,-0.501523458951583,6,6,6,0.974323136150572,0.974323136150572
2,0.2,3.42939073297438,0.998614549415139,0.498476541048417,-0.500138008366722,6,6,6,0.974323136150572,0.973568041800597
2,0.5,3.43550211373532,0.991890549647449,0.498476541048417,-0.493414008599032,6,6,6,0.974323136150572,0.972448722445934
2,1,3.44045980174955,0.980887354050256,0.498476541048417,-0.482410813001838,6,6,6,0.974323136150572,0.971349535703668
2,2,3.43799052915152,0.961793715781153,0.498476541048417,-0.463317174732736,6,6,6,0.974323136150572,0.969801801720575
2,5,3.4101734488876,0.922301764723201,0.498476541048417,-0.423825223674784,6,6,6,0.974323136150572,0.966953644792881
2,10,3.36810230615815,0.884929543926653,0.498476541048417,-0.386453002878236,6,6,6,0.974323136150572,0.964562377255093
2,100,3.24503099833649,0.769999874627956,0.498476541048417,-0.271523333579539,6,6,6,0.974323136150572,0.958572532256792
3,0.1,3.67719231382395,0.999999999999999,0.454678564200124,-0.545321435799875,6,6,6,0.96935746300965,0.96935746300965
3,0.2,3.68771930888263,0.997107325073858,0.454678564200124,-0.542428760873734,6,6,6,0.96935746300965,0.968026471341003
3,0.5,3.68076325658799,0.983845070699257,0.454678564200124,-0.529166506499133,6,6,6,0.96935746300965,0.9660070289293
3,1,3.66342027979208,0.965817643999663,0.454678564200124,-0.511139079799539,6,6,6,0.96935746300965,0.964005057882441
3,2,3.64310277141548,0.939341076761556,0.454678564200124,-0.484662512561432,6,6,6,0.96935746300965,0.961431393137201
3,5,3.61523506314005,0.890505753534177,0.454678564200124,-0.435827189334053,6,6,6,0.96935746300965,0.95733416285065
3,10,3.59749348037375,0.846496072406043,0.454678564200124,-0.39181750820592,6,6,6,0.96935746300965,0.954292436846838
3,100,3.62029483594999,0.720853778786275,0.499711565915435,-0.22114221287084,6,7,7,0.983856427882389,0.965901221452271
4,0.1,3.06693364249697,0.999999999999999,0.497793150552583,-0.502206849447416,6,6,6,0.968183038818586,0.968183038818586
4,0.2,3.03281190391049,0.995616838212039,0.497793150552583,-0.497823687659456,6,6,6,0.968183038818586,0.966988791346798
4,0.5,2.96357715097202,0.971428235943928,0.497793150552583,-0.473635085391345,6,6,6,0.968183038818586,0.96461267035891
4,1,2.88648541734786,0.93566473970806,0.497793150552583,-0.437871589155477,6,6,6,0.968183038818586,0.961960949437341
4,2,2.80977419300819,0.887183996355225,0.497793150552583,-0.389390845802642,6,6,6,0.968183038818586,0.958676158838182
4,5,2.7528871958482,0.809858149834038,0.497793150552583,-0.312064999281455,6,6,6,0.968183038818586,0.955144077817123
4,10,2.75618730248503,0.752902749580925,0.497793150552583,-0.255109599028342,6,6,6,0.968183038818586,0.954001292757851
4,100,2.90724590759583,0.665560427029048,0.546535578945415,-0.119024848083633,6,7,7,0.986967983147333,0.970743803176351
5,0.1,4.05427832825067,0.999999999999999,0.462553340749301,-0.537446659250698,6,6,6,0.975042874373578,0.975042874373578
5,0.2,4.05206249934918,0.997997048745871,0.462553340749301,-0.53544370799657,6,6,6,0.975042874373578,0.973877221056675
5,0.5,4.05221101854188,0.988780136085562,0.462553340749301,-0.52622679533626,6,6,6,0.975042874373578,0.971671034217897
5,1,4.05904049830319,0.975215919036827,0.462553340749301,-0.512662578287525,6,6,6,0.975042874373578,0.969124307179782
5,2,4.07025397969967,0.953860627282459,0.462553340749301,-0.491307286533158,6,6,6,0.975042874373578,0.965489470887041
5,5,4.07642109616361,0.91261955571092,0.462553340749301,-0.450066214961618,6,6,6,0.975042874373578,0.958855015410394
5,10,4.06875573971148,0.874255757705771,0.462553340749301,-0.41170241695647,6,6,6,0.975042874373578,0.952727084030207
5,100,4.13950346123242,0.753768277764229,0.509971239077597,-0.243797038686631,6,7,7,0.990898170937111,0.962947373117675
6,0.1,3.6021922602876,1,0.500470498788671,-0.49952950121133,6,6,6,0.96343442238678,0.96343442238678
6,0.2,3.60520382896466,0.998692212970607,0.500470498788671,-0.498221714181936,6,6,6,0.96343442238678,0.963182588595785
6,0.5,3.6258322696885,0.992728391128069,0.500470498788671,-0.492257892339398,6,6,6,0.96343442238678,0.962594905787269
6,1,3.6476493042729,0.983833566212524,0.500470498788671,-0.483363067423852,6,6,6,0.96343442238678,0.961884651838697
6,2,3.66432865605029,0.968908170228455,0.500470498788671,-0.468437671439784,6,6,6,0.96343442238678,0.960868365470998
6,5,3.658933591768,0.936597154388018,0.500470498788671,-0.436126655599346,6,6,6,0.96343442238678,0.958918054085873
6,10,3.62419156225568,0.902626295033348,0.500470498788671,-0.402155796244676,6,6,6,0.96343442238678,0.956928107921314
6,100,3.35782479357985,0.765803944918627,0.500470498788671,-0.265333446129956,6,6,6,0.96343442238678,0.950648760137541
7,0.1,3.55690931993904,0.999999999999999,0.469567891764813,-0.530432108235186,6,6,6,0.970390170409605,0.970390170409605
7,0.2,3.55647725626209,0.997993139007661,0.469567891764813,-0.528425247242848,6,6,6,0.970390170409605,0.969586838279682
7,0.5,3.54810404244683,0.987665151475977,0.469567891764813,-0.518097259711164,6,6,6,0.970390170409605,0.968347921405499
7,1,3.52815601509732,0.970744121754916,0.469567891764813,-0.501176229990103,6,6,6,0.970390170409605,0.967053596857996
7,2,3.48618473088749,0.942590642902137,0.469567891764813,-0.473022751137324,6,6,6,0.970390170409605,0.965237105651281
7,5,3.38951925620107,0.889041886806501,0.469567891764813,-0.419473995041688,6,6,6,0.970390170409605,0.962162031268926
7,10,3.31804139725168,0.843748003415442,0.469567891764813,-0.374180111650629,6,6,6,0.970390170409605,0.959474082115501
7,100,3.39380617205888,0.724450321870938,0.469567891764813,-0.254882430106125,6,6,6,0.970390170409605,0.950060045357165
8,0.1,3.60426869533104,1,0.477513876489203,-0.522486123510797,6,6,6,0.966653638295596,0.966653638295596
8,0.2,3.60455972107827,0.9979920180455,0.477513876489203,-0.520478141556297,6,6,6,0.966653638295596,0.96560679926044
8,0.5,3.60889043957587,0.987306245609491,0.477513876489203,-0.509792369120288,6,6,6,0.966653638295596,0.963260958014492
8,1,3.60541397475237,0.970293326953109,0.477513876489203,-0.492779450463906,6,6,6,0.966653638295596,0.96044793302538
8,2,3.58871076378858,0.943790928074999,0.477513876489203,-0.466277051585796,6,6,6,0.966653638295596,0.956504796119312
8,5,3.55540498308906,0.896717806591981,0.517647756198534,-0.379070050393447,6,7,7,0.99147204645297,0.973059353945963
8,10,3.53492829654081,0.85572599645175,0.517647756198534,-0.338078240253216,6,7,7,0.99147204645297,0.967580362732529
8,100,3.47760306161702,0.712259091339002,0.517647756198534,-0.194611335140468,6,7,7,0.99147204645297,0.95974703943527
9,0.1,3.2738266868018,1,0.482225400291926,-0.517774599708076,6,6,6,0.961109500972975,0.961109500972975
9,0.2,3.25975199576964,0.998249507710665,0.482225400291926,-0.516024107418739,6,6,6,0.961109500972975,0.960537365118194
9,0.5,3.24147043445506,0.988937641561892,0.482225400291926,-0.506712241269966,6,6,6,0.961109500972975,0.959398245785276
9,1,3.22519862823329,0.973346532630726,0.482225400291926,-0.4911211323388,6,6,6,0.961109500972975,0.95807301379978
9,2,3.20028932066596,0.947325323707633,0.482225400291926,-0.465099923415707,6,6,6,0.961109500972975,0.956308467480628
9,5,3.14548703280138,0.896898127882663,0.482225400291926,-0.414672727590737,6,6,6,0.961109500972975,0.953522154332057
9,10,3.0959284774972,0.85164722263718,0.482225400291926,-0.369421822345254,6,6,6,0.961109500972975,0.951137527445343
9,100,3.10843922196941,0.711527111028288,0.524392105647624,-0.187135005380664,6,7,7,0.989908855331655,0.963024473528386
10,0.1,3.39835960971049,1,0.462671606508297,-0.537328393491705,5,5,5,0.952480264863026,0.952480264863026
10,0.2,3.39061355057409,0.998350064897025,0.462671606508297,-0.535678458388728,5,5,5,0.952480264863026,0.951732858704636
10,0.5,3.37294467065345,0.990724753524831,0.462671606508297,-0.528053147016533,5,5,5,0.952480264863026,0.95056438798771
10,1,3.35397790127954,0.978800809335264,0.514999223664752,-0.463801585670512,5,6,6,0.972681104695172,0.969205939763772
10,2,3.33485628217425,0.959476770549086,0.514999223664752,-0.444477546884334,5,6,6,0.972681104695172,0.967395560565935
10,5,3.31611751267512,0.919480313737923,0.514999223664752,-0.404481090073171,5,6,6,0.972681104695172,0.96407308087614
10,10,3.30994597545037,0.880043621774476,0.514999223664752,-0.365044398109724,5,6,6,0.972681104695172,0.961075900710264
10,100,3.32837644271965,0.761216124633025,0.514999223664752,-0.246216900968273,5,6,6,0.972681104695172,0.951872555220866
