Network,Observed,Expected,Kprep,Kmove,CommonK,PrepCaptured,MoveCaptured,PRSlope,DeficitSlope
1,0.537861563540779,0.712339846163434,9,12,12,0.986845661120133,0.950139588273506,-0.172961880225594,0.130837819497652
2,0.547302763598915,0.746349245492426,8,12,12,0.990194568038994,0.955548208538591,-0.0577136780248432,0.077357747572736
3,0.537005585682156,0.707538319249294,9,11,11,0.983988110810559,0.954778132934816,-0.029649320472449,0.10730938905649
4,0.596802750923505,0.733843167094877,8,11,11,0.988285004156309,0.956171457341519,-0.0799279073379895,0.136824944511598
5,0.629608619816547,0.753195932788355,8,13,13,0.992474879862538,0.954672586438797,0.0259538650608694,0.0954441970021833
6,0.589920258499577,0.735406368559707,8,12,12,0.989520472723156,0.951412969304743,-0.0615386294476225,0.0756397546574939
7,0.530880640104699,0.703209854947793,8,11,11,0.985669048648827,0.951657844968249,-0.0797333921840679,0.0955389111159564
8,0.58461397789014,0.732991887720369,8,12,12,0.989992759925856,0.955453759349511,-0.0449828190879807,0.114595525489816
9,0.556115459325853,0.730239234578296,8,12,12,0.987826174331121,0.957384244270259,-0.0662148780410686,0.108801821271571
10,0.630530166550129,0.740619948960281,8,11,11,0.985784288501545,0.95136489818743,-0.0295110341185557,0.101824284513296
