Network,Target,Trial,InitialNorm,InitialActiveChangeFraction
1,1,1,1.39048913815949,0
1,1,2,1.3831091267643,0
1,1,3,1.43770209991179,0
1,1,4,1.4282787895563,0
1,1,5,1.41104777560353,0
1,1,6,1.33322752708952,0
1,1,7,1.39305030538738,0
1,1,8,1.45599988993178,0
1,1,9,1.32249392752192,0
1,1,10,1.33662276656036,0
1,1,11,1.50925515185519,0
1,1,12,1.33009910254242,0
1,1,13,1.45902016985381,0
1,1,14,1.34051085722544,0
1,1,15,1.41387200524014,0
1,1,16,1.46089004139575,0
1,1,17,1.46817866423789,0
1,1,18,1.31040364907163,0
1,1,19,1.4004131888756,0
1,1,20,1.37280377598539,0.005
1,1,21,1.47262433279124,0
1,1,22,1.4461016217092,0
1,1,23,1.25023554775838,0
1,1,24,1.56662972745318,0
1,1,25,1.35227950770743,0
1,1,26,1.52652352780097,0
1,1,27,1.30776933229159,0
1,1,28,1.39617776138703,0
1,1,29,1.36318665014543,0
1,1,30,1.35761506349092,0
1,1,31,1.28814452873949,0
1,1,32,1.52689214057419,0.005
1,1,33,1.35704317687384,0
1,1,34,1.28892062693272,0
1,1,35,1.337181683038,0
1,1,36,1.37147676310346,0
1,1,37,1.52279545011058,0
1,1,38,1.46042741887015,0
1,1,39,1.42761970914001,0
1,1,40,1.33473455901027,0
1,1,41,1.40836402430827,0
1,1,42,1.48819402179671,0
1,1,43,1.51589423921486,0
1,1,44,1.44749302686787,0
1,1,45,1.5670454960338,0
1,1,46,1.45285717679487,0
1,1,47,1.33527113598452,0
1,1,48,1.51578505823786,0
1,1,49,1.41965889375971,0
1,1,50,1.42911113200691,0
1,1,51,1.38188137315204,0
1,1,52,1.39396923323757,0
1,1,53,1.33934807912167,0
1,1,54,1.46895851883225,0
1,1,55,1.41419373133807,0
1,1,56,1.3303228387427,0
1,1,57,1.31603427366487,0
1,1,58,1.38002988821741,0
1,1,59,1.45496546694529,0
1,1,60,1.46155704542386,0
1,1,61,1.41950769547497,0
1,1,62,1.42441574780531,0
1,1,63,1.4462971364334,0
1,1,64,1.29878677000485,0
1,1,65,1.35117537690378,0
1,1,66,1.39728605971822,0
1,1,67,1.43153290243876,0
1,1,68,1.48871201608514,0
1,1,69,1.30345514418216,0
1,1,70,1.27401950687549,0
1,1,71,1.42461716138178,0
1,1,72,1.39231890719137,0
1,1,73,1.39906983693936,0
1,1,74,1.54213204272748,0
1,1,75,1.47158034059508,0
1,1,76,1.59340655890772,0
1,1,77,1.51382139261717,0
1,1,78,1.42652362453094,0
1,1,79,1.45819999761497,0
1,1,80,1.4590640165872,0
1,1,81,1.45737048093021,0
1,1,82,1.29926055852061,0
1,1,83,1.36419206325485,0
1,1,84,1.42096663502036,0
1,1,85,1.46822905881666,0
1,1,86,1.39696139531394,0
1,1,87,1.48405521818416,0
1,1,88,1.39125523726547,0
1,1,89,1.39886230257159,0
1,1,90,1.30827922770259,0
1,1,91,1.25697107144444,0
1,1,92,1.33628405809807,0
1,1,93,1.33429119229616,0
1,1,94,1.56326918823242,0
1,1,95,1.38449367508603,0
1,1,96,1.34657993256524,0
1,1,97,1.44695878350165,0
1,1,98,1.43246282876471,0
1,1,99,1.50840944962134,0
1,1,100,1.36471673172402,0
1,2,1,1.36829912008833,0
1,2,2,1.52694292051502,0
1,2,3,1.44563745108135,0
1,2,4,1.46553218314584,0
1,2,5,1.37379360927079,0
1,2,6,1.44342572937082,0
1,2,7,1.35385443943646,0
1,2,8,1.26797843655591,0
1,2,9,1.37039001578056,0
1,2,10,1.30254428590186,0
1,2,11,1.32273087202943,0
1,2,12,1.38005450389089,0
1,2,13,1.34856883078468,0
1,2,14,1.41080336629836,0
1,2,15,1.41839231356087,0
1,2,16,1.40644690287594,0
1,2,17,1.334882730081,0
1,2,18,1.33838700681569,0
1,2,19,1.39831778109805,0
1,2,20,1.3301568397417,0
1,2,21,1.35198418391044,0
1,2,22,1.4215293939498,0
1,2,23,1.48627780970378,0
1,2,24,1.31520572935614,0
1,2,25,1.45358618107841,0
1,2,26,1.29532937412762,0
1,2,27,1.46613482679704,0
1,2,28,1.4283284406572,0
1,2,29,1.5031555377359,0
1,2,30,1.52741304885845,0
1,2,31,1.39750154333201,0
1,2,32,1.44847443551526,0
1,2,33,1.48047726704633,0
1,2,34,1.31103243962261,0
1,2,35,1.43933076125742,0
1,2,36,1.39141797308002,0
1,2,37,1.45276719226794,0
1,2,38,1.43587565375407,0
1,2,39,1.3294200250494,0
1,2,40,1.30085350909611,0
1,2,41,1.45056680466515,0
1,2,42,1.40142086697879,0
1,2,43,1.36177415796721,0
1,2,44,1.4791799138883,0
1,2,45,1.40051723041306,0
1,2,46,1.4116064303099,0.005
1,2,47,1.43715030323357,0
1,2,48,1.52966210250484,0
1,2,49,1.53122790271889,0.005
1,2,50,1.35266779530475,0
1,2,51,1.43105299511368,0
1,2,52,1.29834029013401,0
1,2,53,1.46318753850153,0
1,2,54,1.43338633887564,0
1,2,55,1.4997490247884,0
1,2,56,1.38941815766673,0
1,2,57,1.45608505447774,0
1,2,58,1.38880818427273,0
1,2,59,1.30381848548019,0
1,2,60,1.419487126817,0
1,2,61,1.39368787912726,0
1,2,62,1.39485822826342,0
1,2,63,1.60445148529937,0.005
1,2,64,1.43544840749313,0
1,2,65,1.21470425800443,0
1,2,66,1.35718847555178,0
1,2,67,1.43065447834176,0
1,2,68,1.42745168602252,0
1,2,69,1.41139532470627,0.005
1,2,70,1.45177315198758,0
1,2,71,1.47240686664832,0
1,2,72,1.43000650397597,0
1,2,73,1.3994764911842,0
1,2,74,1.54927891334367,0
1,2,75,1.28939389857809,0
1,2,76,1.27829725425118,0
1,2,77,1.41013724860988,0
1,2,78,1.43267489489122,0
1,2,79,1.38296838157523,0
1,2,80,1.30263850242118,0
1,2,81,1.3992038989875,0
1,2,82,1.32365158499798,0
1,2,83,1.43992886388735,0
1,2,84,1.4894440621416,0
1,2,85,1.37480180629688,0
1,2,86,1.53220132522174,0
1,2,87,1.36295701394494,0
1,2,88,1.38203744109433,0
1,2,89,1.41873085386657,0
1,2,90,1.39796008050824,0
1,2,91,1.40816887268123,0.005
1,2,92,1.46216579191589,0
1,2,93,1.41701865779767,0
1,2,94,1.43861640617032,0.005
1,2,95,1.3373364677216,0
1,2,96,1.55197935746055,0
1,2,97,1.39322674640535,0
1,2,98,1.43139938346033,0
1,2,99,1.37630369125792,0
1,2,100,1.45968820013503,0
1,3,1,1.35954079318535,0
1,3,2,1.43169287515888,0
1,3,3,1.35733406454081,0
1,3,4,1.39499373596673,0
1,3,5,1.37004015099412,0
1,3,6,1.46363910432875,0.005
