network,direction,gridIndex,alpha,betaNormalized,targetErrorsMM_1,targetErrorsMM_2,targetErrorsMM_3,targetErrorsMM_4,targetErrorsMM_5,targetErrorsMM_6,targetErrorsMM_7,targetErrorsMM_8,finiteMovement,endpointErrorMM_1,endpointErrorMM_2,endpointErrorMM_3,endpointErrorMM_4,endpointErrorMM_5,endpointErrorMM_6,endpointErrorMM_7,endpointErrorMM_8
1,1,5,0.1,1,30.2574397935907,35.9819886305671,32.9970429916531,32.6395968049029,28.0364726535264,27.8335357867809,27.8653646510703,36.7297212513758,1,59.8283804936577,108.535769973851,90.6991298772889,132.780445154558,71.9514795698839,80.3553216424689,93.6699769271778,92.759130225049
1,2,24,0.5,1.25,13.0120717730257,27.5973954456402,23.3615919910247,17.7427570877472,27.5517352447721,25.4487012459899,14.0731419188174,17.7497225411826,1,2.61042430547142,126.57433687884,115.336014495955,58.7913594096571,50.8308430817683,125.372296793849,34.9972245648157,45.9016421099017
1,3,16,0.35,0.75,27.1002619597403,22.6489118402727,25.9137306180334,24.4087465272078,15.1506240807468,29.0774565386841,23.8031170210116,25.1622539291457,1,102.423215364706,75.0640007406668,95.7495228666558,106.717244492805,43.4827432729365,82.5357590116255,61.2759797730421,63.3613944367426
2,1,5,0.1,1,28.2205620975293,29.3347105961102,37.7665902084199,27.471149371367,18.7477367311041,31.7423999641405,27.2297973680294,33.397635768371,1,104.801079489348,95.9816659790373,136.795159456103,107.875962681269,51.5433330874792,119.903076051432,89.6837612886344,78.8949051146018
2,2,24,0.5,1.25,25.9392473641502,15.832195825273,18.8105109932292,29.3214186961378,20.4284207923305,21.698708541757,17.0169075703635,15.7009283033889,1,123.498245233459,60.3102023200435,95.768374900586,100.055386577175,109.989937651797,82.5946564929897,62.1813559039902,25.5833864585423
2,3,16,0.35,0.75,21.8106082528942,21.88145434979,22.7283716992853,20.6709718863116,19.5484949663474,18.1723618682659,21.5084691447676,16.8548489233234,1,55.9476593265892,66.0288453986458,82.5146078183834,57.5469629593089,76.1373895701207,48.3617682596827,72.5133496875456,35.8942256918219
3,1,5,0.1,1,20.5363899012894,35.447591909128,34.1899797727243,36.0899208706701,35.5211601349181,27.920103470099,42.1273670489264,36.5451987321977,1,39.4258542422121,98.7932018957432,125.827146441224,60.6718462164849,142.671546386856,98.857451708061,126.128888097814,126.706684511249
3,2,24,0.5,1.25,19.5099361079214,15.864107190555,25.3431748922833,8.29846034462496,16.9622319400062,26.7120835084258,17.41734984886,19.7740357504375,1,77.0053123689835,48.8322592442159,109.760485244248,29.4423434612189,78.8589622971692,94.5503436705811,42.3285679799314,33.6484598405827
3,3,16,0.35,0.75,28.7431766503158,18.597284667756,26.2789468200342,20.2640072792577,21.507459943211,24.1733038311647,20.6281119913568,23.8118308913703,1,99.8408275329615,47.9669983347761,102.563683837998,44.7661932748923,69.4319333418939,74.7334740414453,64.1395688838843,44.3435316571798
4,1,5,0.1,1,35.9435733622085,25.5357450776073,43.1287567150175,29.2801218348316,37.7044648668906,25.4240500094176,36.5896145540174,31.3695700938129,1,123.796145658054,55.9280922867198,183.455098760245,106.418913813658,125.326323224581,100.374742769276,115.841529616498,98.9245164092942
4,2,24,0.5,1.25,10.1484123838473,13.1388788036401,8.17252682483776,21.7592027216488,21.1713216919882,14.9959240281807,15.8317144011702,11.4921864441713,1,26.3694279610018,19.527636294132,5.92955034234995,72.6830301923731,115.882019493342,71.9963219240825,48.4456109909412,26.2593424547213
4,3,16,0.35,0.75,14.7431964771296,22.3812455901082,20.8926220174562,20.9344540467433,26.1732622874634,20.1469918153479,21.6363434644993,25.4468259165085,1,33.6849065936727,64.1361628307933,79.0104146838794,73.0014325056909,72.2100071736695,33.679279595774,64.7405997762504,84.8593926320818
5,1,5,0.1,1,28.6221624727031,30.344191099525,28.1526850022272,26.4167207211327,31.0169423422698,33.205599009652,36.8296829172099,41.348872831281,1,118.090355745601,88.7573056085527,102.920762683036,87.8901542156305,89.104129678596,75.9280938362216,98.5672565068225,108.34132061333
