network,kappa0,oldKappa,zeroGainWorstPole,residualWorstPole,intactWorstPole,eulerRadius,gainRank,gainK95,strongGainQFraction,isotropicQFraction,careResidual,policyIdentityError,jacobianDifference
1,0.86911880015891,42.6820568207448,-0.872541332273931,-6.66666666666667,-7.04631444925122,0.998666666666667,106,14,0.940864342633006,0.07,1.03076787797804e-14,1.77635683940025e-14,9.1986757880782e-10
2,0.829667226060441,42.7096062338829,-1.13555182626373,-6.66666666666667,-6.952072748141,0.998666763828108,104,13,0.942075875892828,0.065,1.02963259757614e-14,1.06581410364015e-14,9.71060106024816e-10
3,0.923558270061729,42.6623354155143,-0.509611532921804,-6.66666666666667,-7.60389683697939,0.998666848050129,104,13,0.94247366870328,0.065,1.17456300546689e-14,8.88178419700125e-15,9.36042094392605e-10
4,0.807979458724477,42.4626977818629,-1.28013694183682,-6.66666666666667,-6.78661327885689,0.998666708109124,105,12,0.941103692026586,0.06,1.25327176606923e-14,7.105427357601e-15,9.26729597943186e-10
5,0.807817410232593,42.4264726336039,-1.28121726511605,-6.66666666666667,-6.81740922786332,0.998666719584634,105,12,0.937932974447437,0.06,1.41958072447976e-14,1.06581410364015e-14,9.27749904740759e-10
6,0.911058626784145,42.4643991001287,-0.5929424881057,-6.66666666666667,-6.88715140146502,0.998666666666667,102,13,0.949273956658809,0.065,8.85480546851104e-15,1.06581410364015e-14,9.75269427317365e-10
7,0.808851889019815,42.5154489119057,-1.2743207398679,-6.66666666666667,-6.88272759167249,0.998667135100389,105,13,0.94096058115999,0.065,1.43733481165465e-14,7.105427357601e-15,9.35452964866793e-10
8,0.8081305633331,42.3870000350723,-1.27912957777934,-6.66666666666667,-7.0387406216594,0.998666666666667,104,13,0.940445423826981,0.065,1.13485495183562e-14,7.105427357601e-15,9.92932521189881e-10
9,0.808080561590606,42.7198785709248,-1.27946292272929,-6.66666666666667,-6.76877488981269,0.99866701539503,106,13,0.946918082702986,0.065,1.82837367455274e-14,7.105427357601e-15,9.29141568651128e-10
10,0.8080125108364,42.7143516581085,-1.279916594424,-6.66666666666667,-6.93705283880657,0.998666703714182,105,12,0.939969944268025,0.06,1.10482020230629e-14,7.105427357601e-15,9.30373124874457e-10
