network,prIntact,prBlock,observed,expected,K,intactK,blockK,deltaPR,conservativeAlignmentMargin,nullSE,nullHalfDifference,finitePhenotype
1,3.36402199065121,7.00109945390725,0.0199861858737043,0.5646974370753,7,6,7,3.63707746325604,0.512777389857068,0.000736563167779829,0.00153648246215643,1
2,3.84767556896995,7.00228210774252,0.0180424217721503,0.582902388100091,7,5,7,3.15460653877257,0.532926104983413,0.000701387652504889,-0.00105108043878521,1
3,3.20850208109752,7.00239005150757,0.0209085867941831,0.595730250999986,7,5,7,3.79388797041004,0.542887802861275,0.00076249747284464,0.000814531959514753,1
4,3.30606624678421,7.00318390561122,0.020554550239147,0.598889982249603,7,5,7,3.69711765882701,0.546401570665929,0.000791699188764647,0.000154083567613261,1
5,3.93494295751694,7.00362608562161,0.017502032427359,0.577805669031507,7,5,7,3.06868312810467,0.528369775259621,0.000679053477360789,-0.00128438735375369,1
6,3.80161701965552,7.00082631070789,0.0187347762950438,0.590692360412676,7,6,7,3.19920929105237,0.540023722773105,0.000688854313577025,0.00156392757247148,1
7,3.44070722906807,7.0025110747155,0.0196866768406182,0.578301528378308,7,5,7,3.56180384564744,0.526680990193163,0.000726506990847939,0.00262459709880591,1
8,3.51958361761805,7.00362525590301,0.0212337014358652,0.583564683566818,7,6,7,3.48404163828496,0.530397120786425,0.000744485057606196,1.89868538296167e-05,1
9,3.23465024365429,7.00290507313345,0.0198840371168562,0.593522493245183,7,6,7,3.76825482947916,0.5417045947838,0.000762596129804164,0.000432303573397963,1
10,3.35283105213595,7.00200524155815,0.020537924555849,0.629130434608072,7,5,7,3.6491741894222,0.576658648707695,0.000743114367841203,0.00115408779819415,1
