network,direction,gridIndex,alphaIndex,betaIndex,alpha,betaNormalized,beta,rho,rank,normalizedVarianceRatio,rawVarianceRatio,minimumRate,endpointRateMax,endpointStateMax,endpointInputMax,analytical,rhoMargin,rateRealizable,modulationOK,endpointBoundsOK,tested,physical,finitePhenotype,feasible,settle,rateMax,stateMax,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,prIntact,prBlock,analyticPRBlock,analyticAI,kIntact,kBlock,commonK,intactCapture,blockCapture,blockGap,observed,expected,nullSE,nullHalfDifference,alignmentMargin,equilibriumResidual,localMaxReal,localEulerRadius,reason
1,1,1,1,1,0.1,0.1,0.348880539591662,12.1717630905769,7,0.02,0.0173153826844084,0.562864113565732,1.37348431662798,14.3047974538321,149.959161908888,0,-23.9232007281845,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35113155897186,NaN,5.50222905344635,0.598429793474371,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
1,1,2,1,2,0.1,0.25,0.872201348979155,76.0735193161058,7,0.0725,0.0565965856785891,0.555799596733111,1.45445371379816,14.3836767019467,149.959161908888,1,39.9785554973444,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35113155897186,NaN,6.85793596679673,0.231486330524801,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
1,1,3,1,3,0.1,0.5,1.74440269795831,304.294077264423,7,0.26,0.197553601249072,0.507964599460282,1.60363681028056,14.5352910626171,149.959161908888,1,268.199113445662,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35113155897186,NaN,6.98874309223626,0.0749695937979566,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
1,1,4,1,4,0.1,0.75,2.61660404693747,684.661673844952,7,0.5725,0.432871046711447,0.453995659072785,1.75281990676296,14.7114055394827,160.793058496321,1,648.566710026191,1,1,1,1,1,1,1,1.05128239519623e-14,1.75281990676296,14.7114055394827,149.527519177142,150.435689821093,10.404279132953,160.793058496321,149.959161908888,3.35113155897186,6.99767528599753,6.99767528599753,0.035324985456392,6,7,7,1,1,6.07774528830683,0.035324985456392,0.566022633204814,0.00073780541457997,0.00149683975869186,0.498763786403895,0,-285.822653403892,0.94283617800979,certified_feasible
1,1,5,1,5,0.1,1,3.48880539591662,1217.17630905769,7,1.01,0.762548922065717,0.399723094468718,1.90200300324536,14.9111520508141,177.761076427059,1,1181.08134523893,1,1,1,1,1,1,1,7.9839533827467e-15,1.90200300324536,14.9111520508141,165.602511049626,166.353213725601,11.4646376549295,177.761076427059,149.959161908888,3.35113155897186,6.99925290528152,6.99925290528152,0.0203018540275032,6,7,7,1,1,10.7908058528334,0.0203018540275032,0.566022633204814,0.00073780541457997,0.00149683975869186,0.513786917832783,0,-285.822653403892,0.94283617800979,certified_feasible
1,1,6,1,6,0.1,1.25,4.36100674489578,1901.83798290264,7,1.5725,1.18658722731188,0.33830328820631,2.05118609972776,15.1335948763382,197.284898701594,1,1865.74301908388,1,1,1,1,1,1,1,6.34836011747878e-15,2.05118609972776,15.1335948763382,184.052024237687,184.664912604155,12.6869121557049,197.284898701594,149.959161908888,3.35113155897186,6.99969177750182,6.99969177750181,0.0131256095926308,6,7,7,1,1,16.8504551500818,0.0131256095926308,0.566022633204814,0.00073780541457997,0.00149683975869186,0.520963162267656,0,-285.822653403892,0.94283617800979,certified_feasible
1,1,7,2,1,0.2,0.1,0.348880539591662,3.04294077264423,7,0.05,0.0470819309774654,0.530527540138995,1.40999600404196,14.3220623260818,149.959161908888,0,-33.0520230461172,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35113155897186,NaN,4.12526212468351,0.829479033777519,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
1,1,8,2,2,0.2,0.25,0.872201348979155,19.0183798290264,7,0.1025,0.0860129564112314,0.527895055695706,1.47911384002292,14.4005737953644,149.959161908888,0,-17.076583989735,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35113155897186,NaN,6.00435338011818,0.505247124793935,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
1,1,9,2,3,0.2,0.5,1.74440269795831,76.0735193161058,7,0.29,0.226386342714356,0.488400516941968,1.62303633215538,14.5515614831862,149.959161908888,1,39.9785554973444,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35113155897186,NaN,6.85793596679673,0.231486330524801,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope;
1,1,10,2,4,0.2,0.75,2.61660404693747,171.165418461238,7,0.6025,0.461120158909374,0.440565519669139,1.77221942863778,14.7270361385246,149.959161908888,1,135.070454642477,1,1,1,1,1,1,1,1.01351032309332e-14,1.77221942863778,14.7270361385246,138.186609555661,138.97598392057,9.74988680016499,148.530826394611,149.959161908888,3.35113155897186,6.96656576819671,6.96656576819671,0.123604679423314,6,7,7,1,1,6.13203326148211,0.123604679423314,0.566022633204814,0.00073780541457997,0.00149683975869186,0.410484092436972,0,-285.822653403892,0.94283617800979,certified_feasible
