bPresent,nu,endpointGOms,stateError,PR,observed,expected,deficit
1,0,-600,2.81256973076431,NaN,NaN,NaN,NaN
1,0,-500,2.81256973076431,NaN,NaN,NaN,NaN
1,0,-490,0.149085762058539,3.39279414292674,0.999990915694763,0.503767727898802,-0.496223127161418
1,0,-480,0.00816764459848921,3.39292015451076,0.999997331891054,0.504121894303932,-0.495875420974329
1,0,-460,2.56838643685594e-05,3.39271444566535,0.99999937339815,0.504303130667858,-0.49569623884042
1,0,-450,1.45430494885253e-06,3.39264428414148,0.999999606532195,0.50433754396886,-0.495662060107136
1,0,-400,7.72342992017203e-13,3.39247568584906,0.999999905314278,0.50440429121998,-0.49559561349604
1,0,0,1.91961819546416e-14,3.39227136199953,1,0.504468352413929,-0.495531647586071
1,3,-600,2.81256973076431,NaN,NaN,NaN,NaN
1,3,-500,2.81256973076431,NaN,NaN,NaN,NaN
1,3,-490,0.120550035345142,3.39273231515529,1,0.503767727898802,-0.496232272101198
1,3,-480,0.00534115611900133,3.39276070851527,1,0.504121894303932,-0.495878105696068
1,3,-460,1.0987457980552e-05,3.39259209605021,1,0.504303130667858,-0.495696869332143
1,3,-450,5.03166036201968e-07,3.39253979802056,1,0.50433754396886,-0.49566245603114
1,3,-400,9.2633542543249e-14,3.39241712153677,1,0.50440429121998,-0.495595708780019
1,3,0,1.80198414447454e-14,3.39227136199953,1,0.504468352413929,-0.495531647586071
1,6,-600,2.81256973076431,NaN,NaN,NaN,NaN
1,6,-500,2.81256973076431,NaN,NaN,NaN,NaN
1,6,-490,0.0973879039796228,3.39266814320395,0.999994201116083,0.503767727898802,-0.496226434498397
1,6,-480,0.00348648521179325,3.39264194467094,0.999998347177819,0.504121894303932,-0.495876442402715
1,6,-460,4.68341965937983e-06,3.39250555579346,0.999999608946387,0.504303130667858,-0.495696475794616
1,6,-450,1.73301631734397e-07,3.39246635619611,0.999999753535405,0.50433754396886,-0.495662207994289
1,6,-400,1.81099870131807e-14,3.39237633866953,0.999999940244672,0.50440429121998,-0.495595648640039
1,6,0,1.68712583660107e-14,3.39227136199953,1,0.504468352413929,-0.495531647586071
0,0,-600,2.81256973076431,NaN,NaN,NaN,NaN
0,0,-500,2.81256973076431,NaN,NaN,NaN,NaN
0,0,-490,3.39328387959297,6.99923757562533,0.0201783258533101,0.586126027662498,0.567539132129253
0,0,-480,3.46219678603215,6.99967129657711,0.0201310363683621,0.586639724058764,0.567994329889604
0,0,-460,3.4658260377557,6.99960557938455,0.0201066028540067,0.586906337253699,0.568255186831168
0,0,-450,3.46583429149268,6.9995601831376,0.0201018743520322,0.586957341778547,0.568305019088531
0,0,-400,3.46583471088068,6.9994430205077,0.0200926004484511,0.5870566564893,0.568402022468327
0,0,0,3.46583471088077,6.99927010015535,0.0200835640906479,0.587152486994092,0.568495587133215
0,3,-600,2.81256973076431,NaN,NaN,NaN,NaN
0,3,-500,2.81256973076431,NaN,NaN,NaN,NaN
0,3,-490,3.19205880899112,6.99425743219504,0.0548827027939651,0.586126027662498,0.534324228826323
0,3,-480,3.23969482747014,6.99464590365304,0.0548450321695155,0.586639724058764,0.534749639843928
0,3,-460,3.24169586648156,6.99462165900859,0.0548256832934252,0.586906337253699,0.5349679464802
0,3,-450,3.24169885282942,6.99459445856915,0.0548219775974785,0.586957341778547,0.535009477518968
0,3,-400,3.24169897435869,6.99451860932738,0.0548147644078471,0.5870566564893,0.535090101549246
0,3,0,3.2416989743587,6.99441534294242,0.0548078086113789,0.587152486994092,0.535167574454772
0,6,-600,2.81256973076431,NaN,NaN,NaN,NaN
0,6,-500,2.81256973076431,NaN,NaN,NaN,NaN
0,6,-490,3.01112304967331,6.9790059378643,0.101597706074356,0.586126027662498,0.488548538384045
0,6,-480,3.04374001939034,6.97928424536227,0.101587321611393,0.586639724058764,0.488769230422166
0,6,-460,3.04483298091744,6.97927526696541,0.101582202184669,0.586906337253699,0.488877660731949
0,6,-450,3.04483404723646,6.97925883237479,0.101581304094998,0.586957341778547,0.488897581891237
0,6,-400,3.04483408204334,6.97921182696981,0.101579665576793,0.5870566564893,0.488935490259
0,6,0,3.04483408204334,6.97914659739857,0.101578232172484,0.587152486994092,0.488970908812973
