network,direction,declared,nonlinearTested,analytical,physical,empirical,allCriteria
1,1,36,24,14,24,14,11
1,2,36,25,14,25,14,11
1,3,36,20,14,20,13,11
2,1,36,25,15,25,14,11
2,2,36,21,15,21,14,11
2,3,36,25,15,25,14,11
3,1,36,21,15,21,14,11
3,2,36,21,15,21,14,11
3,3,36,21,15,21,14,11
4,1,36,21,15,21,13,11
4,2,36,26,15,26,14,11
4,3,36,25,15,25,14,11
5,1,36,25,15,25,14,11
5,2,36,21,15,21,13,11
5,3,36,25,15,25,14,11
6,1,36,21,15,21,14,11
6,2,36,19,15,19,13,11
6,3,36,20,15,20,13,11
7,1,36,25,15,25,14,11
7,2,36,25,15,25,14,11
7,3,36,24,15,24,14,11
8,1,36,25,15,25,14,11
8,2,36,24,15,24,14,11
8,3,36,26,15,26,14,11
9,1,36,25,15,25,14,11
9,2,36,25,15,25,14,11
9,3,36,23,15,23,14,11
10,1,36,25,17,25,14,13
10,2,36,18,17,18,12,12
10,3,36,25,17,25,14,13
