network,prIntact,prBlock,observed,expected,earlyIntactMM,earlyBlockMM
1,3.35113155897186,6.99925290528152,0.0203018540275032,0.566022633204814,9.66916433046877e-14,31.5426453204334
2,3.87785510591372,6.9994475633372,0.0176545751135446,0.582068350538755,1.2302399816241e-13,29.2388227631339
3,3.19316170308708,6.99918200988136,0.021322930064283,0.597211042302129,1.55831932619297e-13,33.5472139799941
4,3.30701032428276,6.99923378562582,0.020635471813178,0.599871584975338,1.4811923667648e-13,33.1219870642254
5,3.92867988636502,6.99946358557102,0.0174243334514525,0.578727262144898,8.48479684336686e-14,31.9921070495001
6,3.81324198718586,6.9994265778895,0.0179365760209103,0.590265257785427,1.16935829443374e-13,31.8666146339479
7,3.43103117576405,6.99928627797426,0.0198652741537926,0.579206562625205,9.97780413933558e-14,29.1799524085961
8,3.52511497499009,6.99932363600543,0.0193772237008429,0.584039716202758,1.26606480424894e-13,33.8890740122117
9,3.23715368002929,6.99920244806724,0.0210451189551721,0.594234790236303,1.26590693097422e-13,32.0460888728305
10,3.35351154823501,6.99925392233643,0.0203595205275917,0.629441889582223,1.27172981961133e-13,33.4195102995949
