network,rank,minSD,maxSD,eta,etaLower,rhoBound,releaseRelative,handMax,elapsedSeconds
1,7,0.189246694509046,0.626669219128247,0.566022633204814,0.534088771860287,36.0949638187614,1.26954178930862e-15,1.77635683940025e-15,63.3902286
2,7,0.19428188229129,0.492542932469802,0.582068350538755,0.550134489194228,30.414782065291,1.27467023795232e-15,2.44249065417534e-15,68.0403203
3,7,0.192506576731992,0.607618147360516,0.597211042302129,0.565277180957602,31.7411235513359,1.25610166036195e-15,1.79413775502901e-15,72.4824428
4,7,0.19504375046899,0.529553268227632,0.599871584975338,0.567937723630811,27.9145023074771,1.26554610473146e-15,2.42861286636753e-15,76.7022661
5,7,0.188346628377953,0.525502863329917,0.578727262144898,0.546793400800371,31.7021082620756,1.24963960087863e-15,2.07386191553027e-15,81.1464262
6,7,0.181686668498827,0.503361785879273,0.590265257785427,0.5583313964409,31.4969993351177,1.2774386069666e-15,1.56125112837913e-15,85.4578258
7,7,0.194194988402414,0.497581048573607,0.579206562625204,0.547272701280677,33.8710072280175,1.25870400498598e-15,1.99471515693883e-15,89.8452815
8,7,0.195695123590565,0.515299270242586,0.584039716202758,0.552105854858231,29.0678961543836,1.26234795485687e-15,1.88737914186277e-15,94.2545043
9,7,0.200038343738927,0.531797608999724,0.594234790236304,0.562300928891777,31.7022235256806,1.27288647236653e-15,2.28983498828939e-15,98.6013384
10,7,0.180449219592097,0.504366256813685,0.629441889582223,0.597508028237696,27.2454833949382,1.27368361153886e-15,2.19442519711066e-15,102.9276537
