network,direction,alpha,betaNormalized,earlyErrorMM,endpointErrorMM,finiteMovement
1,1,0.1,1,31.5426453204334,91.3224542329918,1
1,2,0.5,1.25,20.817139656025,70.0517677050322,1
1,3,0.35,0.75,24.1581378143553,78.8262324948975,1
2,1,0.1,1,29.2388227631339,98.1848678934881,1
2,2,0.5,1.25,20.5935422608288,82.4976931923228,1
2,3,0.35,0.75,20.3969476363732,61.8681010890123,1
3,1,0.1,1,33.5472139799941,102.385327437456,1
3,2,0.5,1.25,18.7351724478893,64.3033417633663,1
3,3,0.35,0.75,23.0005152593083,68.473276363129,1
4,1,0.1,1,33.1219870642254,113.758170317291,1
4,2,0.5,1.25,14.5887709124355,48.386617456618,1
4,3,0.35,0.75,21.544367701907,63.1652744739765,1
5,1,0.1,1,31.9921070495001,96.1999223609738,1
5,2,0.5,1.25,19.2448612491186,80.1705437308843,1
5,3,0.35,0.75,21.6456771063514,55.1280296578083,1
6,1,0.1,1,31.8666146339479,91.6105081504339,1
6,2,0.5,1.25,14.6474003921764,60.4301994264967,1
6,3,0.35,0.75,22.1606620530364,63.7001322645572,1
7,1,0.1,1,29.1799524085961,86.034090118298,1
7,2,0.5,1.25,18.9604636458167,75.8249248102093,1
7,3,0.35,0.75,22.7588667549824,68.3527416278484,1
8,1,0.1,1,33.8890740122117,94.7388707548592,1
8,2,0.5,1.25,20.3801371119538,77.54818443462,1
8,3,0.35,0.75,21.0417004777952,58.7106067400552,1
9,1,0.1,1,32.0460888728305,104.469717676993,1
9,2,0.5,1.25,17.5911918818558,75.8621274525471,1
9,3,0.35,0.75,21.7124028364633,70.1615764705084,1
10,1,0.1,1,33.4195102995949,85.314437834654,1
10,2,0.35,0.5,21.9078583106033,69.7380104525921,1
10,3,0.5,1.25,17.9344020607272,75.3971035068507,1
